category_L1	category_L2	category_L3
Amino acid metabolism	Alanine / aspartate / glutamate metabolism	
Amino acid metabolism	Amino acid metabolism (other)	
Amino acid metabolism	Aminotransferase / transamination	
Amino acid metabolism	Arginine / proline metabolism	
Amino acid metabolism	Aromatic amino acid metabolism (Phe / Tyr / Trp)	
Amino acid metabolism	Branched-chain amino acid metabolism (Val/Leu/Ile)	
Amino acid metabolism	Cysteine / methionine metabolism	Cysteine biosynthesis / metabolism
Amino acid metabolism	Cysteine / methionine metabolism	Methionine biosynthesis / metabolism
Amino acid metabolism	Cysteine / methionine metabolism	SAM cycle / transmethylation
Amino acid metabolism	Cysteine / methionine metabolism	
Amino acid metabolism	D-amino acid metabolism	
Amino acid metabolism	Glycine / serine / threonine metabolism	
Amino acid metabolism	Histidine metabolism	
Amino acid metabolism	L-threonine biosynthetic process	
Amino acid metabolism	Lysine metabolism	
Amino acid metabolism	Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)	
Amino acid metabolism	Peptide / protein degradation	
Amino acid metabolism	SAM-cycle methyltransferase (DNA / histone / protein)	
Amino acid metabolism		
Aromatic & xenobiotic degradation	Aliphatic hydrocarbon degradation	
Aromatic & xenobiotic degradation	Aromatic / xenobiotic degradation (other)	
Aromatic & xenobiotic degradation	BTEX / monoaromatic hydrocarbon degradation	
Aromatic & xenobiotic degradation	Benzoate / aromatic carboxylic acid degradation	
Aromatic & xenobiotic degradation	Drug / xenobiotic by P450	
Aromatic & xenobiotic degradation	Halogenated aromatic / chlorinated degradation	
Aromatic & xenobiotic degradation	Nitroaromatic / nitrotoluene degradation	
Aromatic & xenobiotic degradation	PAH / polycyclic aromatic degradation	
Aromatic & xenobiotic degradation	Phenol / catechol / protocatechuate degradation	
Carbohydrate metabolism	2-dehydro-3-deoxygalactonokinase activity	
Carbohydrate metabolism	6-phosphofructo-2-kinase activity	
Carbohydrate metabolism	CAZy: auxiliary activity / LPMO (AA)	
Carbohydrate metabolism	CAZy: carbohydrate esterase (CE)	
Carbohydrate metabolism	CAZy: carbohydrate-binding module (CBM)	
Carbohydrate metabolism	CAZy: glycoside hydrolase (GH)	
Carbohydrate metabolism	CAZy: glycosyltransferase (GT)	
Carbohydrate metabolism	CAZy: polysaccharide lyase (PL)	
Carbohydrate metabolism	Carbohydrate metabolism (other)	
Carbohydrate metabolism	Fermentation	Acetogenesis (homo)
Carbohydrate metabolism	Fermentation	Butyric / butanol fermentation
Carbohydrate metabolism	Fermentation	Ethanol fermentation
Carbohydrate metabolism	Fermentation	Lactic acid fermentation
Carbohydrate metabolism	Fermentation	Mixed-acid fermentation
Carbohydrate metabolism	Fermentation	
Carbohydrate metabolism	Gluconeogenesis	
Carbohydrate metabolism	Glycan / glycoside metabolism	
Carbohydrate metabolism	Glycan biosynthesis & metabolism	
Carbohydrate metabolism	Glycolysis / EMP	
Carbohydrate metabolism	Glyoxylate / dicarboxylate metabolism	
Carbohydrate metabolism	Pentose phosphate pathway	
Carbohydrate metabolism	Polysaccharide / complex carbon degradation	
Carbohydrate metabolism	Polysaccharide metabolism	
Carbohydrate metabolism	Pyruvate metabolism	
