id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
K00632	CAMPER	acetyl-CoA acyltransferase [EC:2.3.1.16]	False	False	True	False	False
K02615	CAMPER	3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]	False	True	False	False	False
K07550	CAMPER	benzoylsuccinyl-CoA thiolase BbsB subunit [EC:2.3.1.310]	False	True	False	False	False
K10222	CAMPER	2,6-dioxo-6-phenylhexa-3-enoate hydrolase [EC:3.7.1.8]	False	True	False	False	False
HMMsoil100009	FOAM	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]	True	True	False	False	False
HMMsoil10002	FOAM	METTL6; tRNA N(3)-methylcytidine methyltransferase METTL6 [EC:2.1.1.-]	True	False	False	True	True
HMMsoil100022	FOAM	hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	False	True	False	False	False
HMMsoil10003	FOAM	METTL6; tRNA N(3)-methylcytidine methyltransferase METTL6 [EC:2.1.1.-]	True	False	False	True	True
HMMsoil100038	FOAM	kinB; two-component system, sporulation sensor kinase B [EC:2.7.13.3]	True	False	False	False	False
HMMsoil100041	FOAM	METTL6; tRNA N(3)-methylcytidine methyltransferase METTL6 [EC:2.1.1.-]	True	False	False	True	True
HMMsoil100055	FOAM	holA; DNA polymerase III subunit delta [EC:2.7.7.7]; holB; DNA polymerase III subunit delta' [EC:2.7.7.7]; dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	True	False	False	False	True
HMMsoil100058	FOAM	kinC; two-component system, sporulation sensor kinase C [EC:2.7.13.3]	True	False	False	False	False
HMMsoil100064	FOAM	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	False	False	False	False	True
HMMsoil100072	FOAM	guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	False	False	False	False	True
HMMsoil100073	FOAM	relA; GTP pyrophosphokinase [EC:2.7.6.5]	False	False	False	False	True
HMMsoil100077	FOAM	relA; GTP pyrophosphokinase [EC:2.7.6.5]	False	False	False	False	True
HMMsoil10009	FOAM	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	False	False	False	False	True
HMMsoil100092	FOAM	pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	True	False	False	False	True
HMMsoil100095	FOAM	rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	True	False	False	False	False
HMMsoil100099	FOAM	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	True	False	False	False	False
HMMsoil100102	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]; ADCY1; adenylate cyclase 1 [EC:4.6.1.1]; ADCY2; adenylate cyclase 2 [EC:4.6.1.1]; ADCY8; adenylate cyclase 8 [EC:4.6.1.1]	False	False	False	False	True
HMMsoil100111	FOAM	xdhC; xanthine dehydrogenase accessory factor	False	False	False	False	True
HMMsoil100116	FOAM	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]	True	True	False	False	False
HMMsoil100165	FOAM	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]; PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	False	False	False	False	True
HMMsoil100185	FOAM	pbp2X; penicillin-binding protein 2X	True	True	False	False	False
HMMsoil100185	FOAM	pbp2X; penicillin-binding protein 2X	True	True	False	False	False
HMMsoil100187	FOAM	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	True	True	False	False	True
HMMsoil100187	FOAM	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	True	True	False	False	True
HMMsoil1002	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil100202	FOAM	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	True	True	False	False	False
HMMsoil100202	FOAM	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	True	True	False	False	False
HMMsoil100210	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil100229	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil100236	FOAM	FUCA; alpha-L-fucosidase [EC:3.2.1.51]	True	True	False	False	False
HMMsoil100238	FOAM	pel; pectate lyase [EC:4.2.2.2]	False	True	False	False	False
HMMsoil100240	FOAM	GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	True	True	False	False	False
HMMsoil100243	FOAM	rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7]; ABC.SS.A; simple sugar transport system ATP-binding protein [EC:7.5.2.-]	False	False	False	False	True
HMMsoil100249	FOAM	E3.2.1.6; endo-1,3(4)-beta-glucanase [EC:3.2.1.6]	True	True	False	False	False
HMMsoil100255	FOAM	rbsC; ribose transport system permease protein	False	False	False	False	True
HMMsoil100263	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil100296	FOAM	pyrG, CTPS; CTP synthase [EC:6.3.4.2]	False	False	False	False	True
HMMsoil100298	FOAM	PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	False	False	False	False	True
HMMsoil100299	FOAM	PDE6A; rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha [EC:3.1.4.35]; PDE11; dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 [EC:3.1.4.17] [EC:3.1.4.35]; PDE6B; rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta [EC:3.1.4.35]; PDE6C; cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]; PDE5; cGMP-specific 3',5'-cyclic phosphodiesterase [EC:3.1.4.35]; PDE6N; cGMP-specific 3',5'-cyclic phosphodiesterase, invertebrate [EC:3.1.4.35]	False	False	False	False	True
HMMsoil1003	FOAM	sacC, levB; levanase [EC:3.2.1.65]	True	True	False	False	False
HMMsoil100305	FOAM	E3.5.4.3, guaD; guanine deaminase [EC:3.5.4.3]	False	False	False	False	True
HMMsoil100330	FOAM	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	False	False	False	False	True
HMMsoil100343	FOAM	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	False	False	False	False	True
HMMsoil100351	FOAM	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	False	False	False	False	True
HMMsoil100352	FOAM	cdd, CDA; cytidine deaminase [EC:3.5.4.5]	False	False	False	False	True
HMMsoil100363	FOAM	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]	False	False	False	False	True
HMMsoil100364	FOAM	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	False	False	False	False	True
HMMsoil100367	FOAM	DHX8, PRP22; ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]	True	False	False	False	False
HMMsoil10038	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil100387	FOAM	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	False	False	False	False	True
HMMsoil1004	FOAM	xdhC; xanthine dehydrogenase accessory factor	False	False	False	False	True
HMMsoil100410	FOAM	uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]	True	True	False	False	False
HMMsoil100411	FOAM	RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]	True	False	False	False	False
HMMsoil10042	FOAM	pgmB; beta-phosphoglucomutase [EC:5.4.2.6]; TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]	True	True	False	False	False
HMMsoil100429	FOAM	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	True	False	False	False	True
HMMsoil10043	FOAM	E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]	False	True	False	False	False
HMMsoil100449	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil100458	FOAM	bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein	True	False	False	False	False
HMMsoil10046	FOAM	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	False	True	False	False	True
HMMsoil10046	FOAM	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	False	True	False	False	True
HMMsoil100462	FOAM	ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]	True	False	False	True	False
HMMsoil100488	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil1005	FOAM	TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27] [EC:4.1.1.48] [EC:5.3.1.24]; TRP3; anthranilate synthase / indole-3-glycerol phosphate synthase [EC:4.1.3.27] [EC:4.1.1.48]	False	False	False	False	True
HMMsoil100517	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil100536	FOAM	DHX35; ATP-dependent RNA helicase DDX35 [EC:3.6.4.13]	True	False	False	False	False
HMMsoil100549	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil10055	FOAM	upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]	True	False	False	False	True
HMMsoil100550	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil100556	FOAM	csn; chitosanase [EC:3.2.1.132]	True	True	False	False	False
HMMsoil100559	FOAM	emrB; MFS transporter, DHA2 family, multidrug resistance protein	True	False	False	False	False
HMMsoil10058	FOAM	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [EC:1.8.4.10]	False	False	False	False	True
HMMsoil100585	FOAM	DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	False	False	False	False	True
HMMsoil100586	FOAM	udk, UCK; uridine kinase [EC:2.7.1.48]	False	False	False	False	True
HMMsoil100589	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil100599	FOAM	cmk; CMP/dCMP kinase [EC:2.7.4.25]	False	False	False	False	True
HMMsoil10060	FOAM	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]	False	False	False	False	True
HMMsoil100605	FOAM	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]	False	False	False	False	True
HMMsoil100624	FOAM	polA; DNA polymerase I [EC:2.7.7.7]	True	False	False	False	True
HMMsoil100624	FOAM	polA; DNA polymerase I [EC:2.7.7.7]	True	False	False	False	True
HMMsoil10063	FOAM	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	False	False	False	False	True
HMMsoil100639	FOAM	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	False	True	False	False	True
HMMsoil100639	FOAM	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	False	True	False	False	True
HMMsoil100657	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; MAPK4_6; mitogen-activated protein kinase 4/6 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	True	False	False	False	False
HMMsoil10066	FOAM	CHEK2; serine/threonine-protein kinase CHEK2 [EC:2.7.11.1]	True	False	False	False	False
HMMsoil100660	FOAM	E2.4.1.4; amylosucrase [EC:2.4.1.4]	True	True	False	False	False
HMMsoil100677	FOAM	rfbF, rhlC; rhamnosyltransferase [EC:2.4.1.-]	True	True	False	False	False
HMMsoil100689	FOAM	IMA, malL; oligo-1,6-glucosidase [EC:3.2.1.10]	True	True	False	False	False
HMMsoil100690	FOAM	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]; PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	False	False	False	False	True
HMMsoil1007	FOAM	GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	True	True	False	False	False
HMMsoil10070	FOAM	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]	True	True	False	False	False
HMMsoil100712	FOAM	emrB; MFS transporter, DHA2 family, multidrug resistance protein	True	False	False	False	False
HMMsoil100715	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil10075	FOAM	mapA; maltose phosphorylase [EC:2.4.1.8]	True	True	False	False	False
HMMsoil10076	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil100766	FOAM	POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]	True	True	False	False	False
HMMsoil10077	FOAM	rpoK; DNA-directed RNA polymerase subunit K [EC:2.7.7.6]	True	False	False	False	True
HMMsoil10077	FOAM	rpoK; DNA-directed RNA polymerase subunit K [EC:2.7.7.6]	True	False	False	False	True
HMMsoil100781	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil10079	FOAM	vraS; two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]; liaS; two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]	True	False	False	False	False
HMMsoil100801	FOAM	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]; purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]; GART; phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13] [EC:2.1.2.2] [EC:6.3.3.1]	False	False	False	False	True
HMMsoil100817	FOAM	iunH; purine nucleosidase [EC:3.2.2.1]	True	False	False	False	True
HMMsoil100820	FOAM	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	False	False	False	False	True
HMMsoil100821	FOAM	comEB; dCMP deaminase [EC:3.5.4.12]	False	False	False	False	True
HMMsoil100829	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]; ADCY1; adenylate cyclase 1 [EC:4.6.1.1]; ADCY2; adenylate cyclase 2 [EC:4.6.1.1]; ADCY3; adenylate cyclase 3 [EC:4.6.1.1]; ADCY8; adenylate cyclase 8 [EC:4.6.1.1]; ADCY9; adenylate cyclase 9 [EC:4.6.1.1]	False	False	False	False	True
HMMsoil100832	FOAM	cdd, CDA; cytidine deaminase [EC:3.5.4.5]	False	False	False	False	True
HMMsoil100839	FOAM	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	True	False	False	False	True
HMMsoil100841	FOAM	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	True	False	False	True	False
HMMsoil100846	FOAM	NTH; endonuclease III [EC:4.2.99.18]	True	False	False	False	False
HMMsoil100861	FOAM	PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	False	False	False	False	True
HMMsoil100862	FOAM	E2.1.2.2; phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]; purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	False	False	False	False	True
HMMsoil100873	FOAM	CHEK1; serine/threonine-protein kinase CHEK1 [EC:2.7.11.1]	True	False	False	False	False
HMMsoil10089	FOAM	lacZ; beta-galactosidase [EC:3.2.1.23]	True	True	False	False	False
HMMsoil100903	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil10091	FOAM	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	True	False	False	False	True
HMMsoil10091	FOAM	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	True	False	False	False	True
HMMsoil100911	FOAM	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]	True	True	False	False	False
HMMsoil100912	FOAM	cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16] [EC:3.1.3.6]	False	False	False	False	True
HMMsoil100913	FOAM	E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]	False	True	False	False	False
HMMsoil100914	FOAM	Purine metabolism	False	False	False	False	True
