id	db	name	metabolic_paths	total_paths	path_source	metabolic_ratio	VL-score	AMG_weight	amg_level
K25996	KEGG	frdC, fdrC; succinate dehydrogenase subunit C	5.0	5.0	KEGG	1.0		1.0	very high
K14580	KEGG	nahAd, ndoC, nbzAd, dntAd; naphthalene 1,2-dioxygenase subunit beta [EC:1.14.12.12 1.14.12.23 1.14.12.24]	5.0	5.0	KEGG	1.0		1.0	very high
K14580	CAMPER	naphthalene 1,2-dioxygenase subunit beta [EC:1.14.12.12 1.14.12.23 1.14.12.24]	5.0	5.0	KEGG	1.0		1.0	very high
K27095	KEGG	accE5, accE; acyl-CoA carboxylase epsilon subunit	4.0	4.0	KEGG	1.0		1.0	very high
K27802	KEGG	acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	4.0	4.0	KEGG	1.0		1.0	very high
K20807	KEGG	nthB; nitrile hydratase subunit beta [EC:4.2.1.84]	4.0	4.0	KEGG	1.0		1.0	very high
K18860	KEGG	sdhD, frdD; succinate dehydrogenase subunit D	4.0	4.0	KEGG	1.0		1.0	very high
K18859	KEGG	sdhD, frdD; succinate dehydrogenase subunit D	4.0	4.0	KEGG	1.0		1.0	very high
K28205	KEGG	E2.6.1.52; phosphoserine transaminase [EC:2.6.1.52]	4.0	4.0	KEGG	1.0		1.0	very high
K18089	KEGG	todB, tcbAc; benzene/toluene/chlorobenzene dioxygenase ferredoxin component	4.0	4.0	KEGG	1.0	0.0	1.0	very high
K18089	CAMPER	benzene/toluene/chlorobenzene dioxygenase ferredoxin component	4.0	4.0	KEGG	1.0	0.0	1.0	very high
K00242	KEGG	sdhD, frdD; succinate dehydrogenase membrane anchor subunit	4.0	4.0	KEGG	1.0	0.0	1.0	very high
K00242	METABOLIC	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	4.0	4.0	KEGG	1.0	0.0	1.0	very high
K18364	KEGG	bphH, xylJ, tesE; 2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [EC:4.2.1.80 4.2.1.132]	4.0	4.0	KEGG	1.0	0.0	1.0	very high
K18364	CAMPER	2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [EC:4.2.1.80 4.2.1.132]	4.0	4.0	KEGG	1.0	0.0	1.0	very high
K14029	KEGG	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	4.0	4.0	KEGG	1.0		1.0	very high
K16268	KEGG	todC2, bedC2, tcbAb; benzene/toluene/chlorobenzene dioxygenase subunit beta [EC:1.14.12.3 1.14.12.11 1.14.12.26]	4.0	4.0	KEGG	1.0		1.0	very high
K16268	CAMPER	benzene/toluene/chlorobenzene dioxygenase subunit beta [EC:1.14.12.3 1.14.12.11 1.14.12.26]	4.0	4.0	KEGG	1.0		1.0	very high
K15371	KEGG	GDH2; glutamate dehydrogenase [EC:1.4.1.2]	4.0	4.0	KEGG	1.0		1.0	very high
K01622	KEGG	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	4.0	4.0	KEGG	1.0		1.0	very high
K27797	KEGG	MCSA; 2-methylcitrate synthase [EC:2.3.3.5]	3.0	3.0	KEGG	1.0		1.0	very high
K21672	KEGG	ord; 2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]	3.0	3.0	KEGG	1.0		1.0	very high
K22568	KEGG	pccX; acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]	3.0	3.0	KEGG	1.0		1.0	very high
