category_L1	category_L2	category_L3
Defense & anti-defense systems	Anti-CRISPR / anti-defense protein	
Defense & anti-defense systems	CRISPR-Cas system	
Lysogeny & lytic switch	Lysogeny / lytic switch	
Motility & cell-surface dynamics	Biofilm formation / dispersal	
Motility & cell-surface dynamics	Flagellar assembly / function	
Motility & cell-surface dynamics	Motility (other)	
Other		
Secretion & extracellular processes	Secretion system	
Sporulation & developmental	Sporulation	
Stress response & homeostasis	Cold-shock response	
Stress response & homeostasis	General stress response	
Stress response & homeostasis	Heat-shock response	
Stress response & homeostasis	Oxidative-stress response	
Stress response & homeostasis	Stringent response	
Toxin-antitoxin systems	Antitoxin	
Toxin-antitoxin systems	Toxin	
Toxin-antitoxin systems	Toxin-antitoxin module	
Virulence & host interaction	Virulence factor	
