id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
K00478	KEGG	HR; [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65]	True	False	False	False	False
K00541	KEGG	NNMT; nicotinamide N-methyltransferase [EC:2.1.1.1]	True	False	False	False	False
K00542	KEGG	GAMT; guanidinoacetate N-methyltransferase [EC:2.1.1.2]	True	False	False	False	False
K00543	KEGG	ASMT; acetylserotonin O-methyltransferase [EC:2.1.1.4]	True	False	False	False	False
K00544	KEGG	BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	True	False	False	False	False
K00545	KEGG	COMT; catechol O-methyltransferase [EC:2.1.1.6]	True	False	False	False	False
K00546	KEGG	HNMT; histamine N-methyltransferase [EC:2.1.1.8]	True	False	False	False	False
K00547	KEGG	mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]	True	False	False	False	False
K00548	KEGG	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	True	False	False	False	False
K00549	KEGG	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	True	False	False	False	False
K00550	KEGG	PLMT; phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.71]	True	False	False	False	False
K00551	KEGG	PEMT; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	True	False	False	False	False
K00552	KEGG	GNMT; glycine N-methyltransferase [EC:2.1.1.20]	True	False	False	False	False
K00553	KEGG	PNMT; phenylethanolamine N-methyltransferase [EC:2.1.1.28]	True	False	False	False	False
K00554	KEGG	trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	True	False	False	False	False
K00555	KEGG	TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]	True	False	False	False	False
K00556	KEGG	trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	True	False	False	False	False
K00557	KEGG	trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]	True	False	False	False	False
K00558	KEGG	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	True	False	False	False	False
K00559	KEGG	SMT1, ERG6; sterol 24-C-methyltransferase [EC:2.1.1.41]	True	False	False	False	False
K00561	KEGG	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	True	False	False	False	False
K00562	KEGG	INMT, TEMT; methyltransferase [EC:2.1.1.49 2.1.1.96]	True	False	False	False	False
K00563	KEGG	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	True	False	False	False	False
K00564	KEGG	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	True	False	False	False	False
K00565	KEGG	RNMT; mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]	True	False	False	False	False
K00567	KEGG	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	True	False	False	False	False
K00568	KEGG	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	True	False	False	False	False
K00569	KEGG	TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]	True	False	False	False	False
K00570	KEGG	pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	True	False	False	False	False
K00571	KEGG	E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	True	False	False	False	False
K00573	KEGG	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	True	False	False	False	False
K00575	KEGG	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	True	False	False	False	False
K00577	KEGG	mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:7.2.1.4]	True	False	False	False	False
K00578	KEGG	mtrB; tetrahydromethanopterin S-methyltransferase subunit B [EC:7.2.1.4]	True	False	False	False	False
K00579	KEGG	mtrC; tetrahydromethanopterin S-methyltransferase subunit C [EC:7.2.1.4]	True	False	False	False	False
K00580	KEGG	mtrD; tetrahydromethanopterin S-methyltransferase subunit D [EC:7.2.1.4]	True	False	False	False	False
K00581	KEGG	mtrE; tetrahydromethanopterin S-methyltransferase subunit E [EC:7.2.1.4]	True	False	False	False	False
K00582	KEGG	mtrF; tetrahydromethanopterin S-methyltransferase subunit F [EC:7.2.1.4]	True	False	False	False	False
K00583	KEGG	mtrG; tetrahydromethanopterin S-methyltransferase subunit G [EC:7.2.1.4]	True	False	False	False	False
K00584	KEGG	mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:7.2.1.4]	True	False	False	False	False
K00587	KEGG	ICMT, STE14; protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]	True	False	False	False	False
K00588	KEGG	E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	True	False	False	False	False
K00589	KEGG	MET1; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	True	False	False	False	False
K00590	KEGG	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	True	False	False	False	False
K00591	KEGG	COQ3; polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]	True	False	False	False	False
K00592	KEGG	RBCMT; [ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase [EC:2.1.1.127 2.1.1.259]	True	False	False	False	False
K00595	KEGG	cobL-cbiET; precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]	True	False	False	False	False
K00598	KEGG	tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]	True	False	False	False	False
K00599	KEGG	METTL6; tRNA N(3)-methylcytidine methyltransferase METTL6 [EC:2.1.1.-]	True	False	False	False	False
K00600	KEGG	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	True	False	False	False	False
K00605	KEGG	gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]	True	False	False	False	False
