category_L1	category_L2	category_L3
Chromatin/nucleoid organization & epigenetic regulation	Nucleoid-associated / histone-like	
Other		
Post-transcriptional / RNA-mediated regulation	Attenuation / antitermination	
Post-transcriptional / RNA-mediated regulation	RNA-binding regulator	
Post-transcriptional / RNA-mediated regulation	Riboswitch / aptamer	
Quorum sensing & cell-cell signalling	Quorum sensing	
Regulatory chaperones & coregulators	Regulatory chaperone	
Signal transduction & two-component systems	Environmental sensor	
Signal transduction & two-component systems	Feedback regulation	
Signal transduction & two-component systems	Signalling protein (other)	
Signal transduction & two-component systems	Two-component / sensor-response	
Transcriptional regulation	Activator	
Transcriptional regulation	Coactivator	
Transcriptional regulation	Corepressor	
Transcriptional regulation	DNA-binding transcription factor	
Transcriptional regulation	Enhancer	
Transcriptional regulation	General regulator	
Transcriptional regulation	Helix-turn-helix DNA-binding	
Transcriptional regulation	PHROG: transcription regulation	
Transcriptional regulation	Repressor	
Transcriptional regulation	Sigma factor	
Transcriptional regulation	Silencer	
Transcriptional regulation	Transcription terminator	
Transcriptional regulation	Transcription-associated (other)	
