id,db,name
K04763,KEGG,integrase/recombinase XerD
K14059,KEGG,integrase
K03733,KEGG,integrase/recombinase XerC
K00571,KEGG,site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K06909,KEGG,phage terminase large subunit
K22300,KEGG,"HTH-type transcriptional regulator, cell division transcriptional repressor"
K07319,KEGG,adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K07729,KEGG,putative transcriptional regulator
K13581,KEGG,modification methylase [EC:2.1.1.72]
K24451,KEGG,modification methylase
K02335,KEGG,DNA polymerase I [EC:2.7.7.7]
K00590,KEGG,site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]
K02314,KEGG,replicative DNA helicase [EC:5.6.2.3]
K00558,KEGG,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K06904,KEGG,Escherichia/Staphylococcus phage prohead protease
K22299,KEGG,"HTH-type transcriptional regulator, competence development regulator"
K17680,KEGG,twinkle protein [EC:5.6.2.3]
K07316,KEGG,adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K14440,KEGG,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]
K02316,KEGG,DNA primase [EC:2.7.7.101]
K07358,KEGG,type 1 fimbriae regulatory protein FimE
K02349,KEGG,DNA polymerase theta [EC:2.7.7.7]
K26901,KEGG,Mesyanzhinovviridae DNA helicase
K19789,KEGG,DNA repair protein RadD
K03497,KEGG,"ParB family transcriptional regulator, chromosome partitioning protein"
K03111,KEGG,single-strand DNA-binding protein
K26864,KEGG,Casjensviridae DNA helicase
K26917,KEGG,Phycodnaviridae DNA helicase
K02334,KEGG,DNA polymerase bacteriophage-type [EC:2.7.7.7]
K18830,KEGG,HTH-type transcriptional regulator / antitoxin PezA
K26928,KEGG,Mycobacterium phage DnaB-like replicative helicase
K13884,KEGG,macrophage receptor with collagenous structure
K01185,KEGG,lysozyme [EC:3.2.1.17]
K15773,KEGG,HTH-type transcriptional regulator / antitoxin HipB
K19721,KEGG,"collagen type V/XI/XXIV/XXVII, alpha"
K23779,KEGG,"XRE family transcriptional regulator, regulator of sulfur utilization"
K19719,KEGG,collagen type II alpha
K08131,KEGG,collagen type IX alpha
K07357,KEGG,type 1 fimbriae regulatory protein FimB
K24213,KEGG,complement C1q and tumor necrosis factor-related protein 9
K06236,KEGG,collagen type I alpha
K15711,KEGG,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:5.6.2. 2.3.2.27]
K25861,KEGG,DNA annealing helicase and endonuclease ZRANB3 [EC:5.6.2.- 3.1.-.-]
K06823,KEGG,collagen type XVIII alpha
K06237,KEGG,collagen type IV alpha
K20092,KEGG,chromodomain-helicase-DNA-binding protein 1-like [EC:5.6.2.-]
K01160,KEGG,crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]
K16630,KEGG,collagen type XXII alpha
K15505,KEGG,DNA repair protein RAD5 [EC:5.6.2.-]
K17677,KEGG,ATP-dependent helicase IRC3 [EC:5.6.2.-]
K10062,KEGG,collectin sub-family member 12
K06400,KEGG,site-specific DNA recombinase
K19479,KEGG,collagen type X alpha
K24214,KEGG,otolin-1
K07451,KEGG,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]
K26929,KEGG,Zierdtviridae DNA helicase
K16629,KEGG,collagen type XXI alpha
K20093,KEGG,DNA excision repair protein ERCC-6-like [EC:5.6.2.-]
K14439,KEGG,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:5.6.2.-]
K08135,KEGG,collagen type XV alpha
K01356,KEGG,repressor LexA [EC:3.4.21.88]
K11654,KEGG,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:5.6.2.-]
K21686,KEGG,"XRE family transcriptional regulator, fatty acid utilization regulator"
K10877,KEGG,DNA repair and recombination protein RAD54B [EC:5.6.2.-]
K01447,KEGG,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K23455,KEGG,collagen type VIII alpha
K23619,KEGG,collagen type XXVIII alpha
K26586,KEGG,acetylcholinesterase collagenic tail peptide
K07465,KEGG,putative RecB family exonuclease
K11727,KEGG,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 [EC:5.6.2.-]
K03546,KEGG,DNA repair protein SbcC/Rad50
K19449,KEGG,"XRE family transcriptional regulator, master regulator for biofilm formation"
K16628,KEGG,collagen type VII alpha
K16617,KEGG,collagen type XIII alpha
K21502,KEGG,Autographiviridae DNA primase/helicase [EC:2.7.7.- 5.6.2.3]
K07603,KEGG,collagen type XVII alpha
K06238,KEGG,collagen type VI alpha
K20098,KEGG,DNA excision repair protein ERCC-6-like 2 [EC:5.6.2.-]
K01358,KEGG,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
K24339,KEGG,collagen type XVI alpha
K24355,KEGG,collagen type XXIII alpha
K19001,KEGG,ATP-dependent DNA helicase
K10875,KEGG,DNA repair and recombination protein RAD54 and RAD54-like protein [EC:5.6.2.-]
K26875,KEGG,Herelleviridae DNA helicase
K10068,KEGG,pulmonary surfactant-associated protein D
K01153,KEGG,"type I restriction enzyme, R subunit [EC:3.1.21.3]"
K24358,KEGG,collagen type XXVI alpha (EMI domain-containing protein 2)
K15083,KEGG,DNA repair protein RAD16
K26714,KEGG,Steigviridae DNA polymerase I
K24340,KEGG,collagen type XIX alpha
K15173,KEGG,transcription termination factor 2 [EC:5.6.2.-]
K01156,KEGG,type III restriction enzyme [EC:3.1.21.5]
K08133,KEGG,collagen type XIV alpha
K03580,KEGG,ATP-dependent helicase HepA [EC:5.6.2.-]
K14060,KEGG,putative DNA-invertase from lambdoid prophage Rac
K07474,KEGG,phage terminase small subunit
K24218,KEGG,complement C1q and tumor necrosis factor-related protein 7
K16618,KEGG,DNA polymerase nu [EC:2.7.7.7]
K26645,KEGG,Bacillus phage DNA polymerase
K21507,KEGG,Escherichia phage methyltransferase [EC:2.1.1.-]
K15192,KEGG,TATA-binding protein-associated factor [EC:5.6.2.-]
K07296,KEGG,adiponectin
K10843,KEGG,DNA excision repair protein ERCC-3 [EC:5.6.2.4]
K00525,KEGG,ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K24248,KEGG,EMI domain-containing protein 1
K08640,KEGG,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
K15336,KEGG,tRNA (cytosine38-C5)-methyltransferase [EC:2.1.1.204]
K26640,KEGG,Duinviridae RNA-directed RNA polymerase
K00754,KEGG,L-malate glycosyltransferase [EC:2.4.1.-]
K26706,KEGG,Schitoviridae DNA polymerase
K26879,KEGG,Herelleviridae helicase DnaB-like
K03988,KEGG,complement C1q subcomponent subunit C
K26623,KEGG,Autographiviridae DNA polymerase
K08482,KEGG,circadian clock protein KaiC
K11647,KEGG,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:5.6.2.-]
K08132,KEGG,collagen type XII alpha
K06558,KEGG,macrophage scavenger receptor 1
K10841,KEGG,DNA excision repair protein ERCC-6
K07450,KEGG,putative resolvase
K24357,KEGG,collagen type XX alpha
K03465,KEGG,thymidylate synthase (FAD) [EC:2.1.1.148]
K24356,KEGG,collagen type XXV alpha
K07741,KEGG,anti-repressor protein
K14056,KEGG,"HTH-type transcriptional regulator, repressor for puuD"
K26894,KEGG,Betalipothrixvirus putative helicase
K10421,KEGG,CAP-Gly domain-containing linker protein 1
K15710,KEGG,E3 ubiquitin-protein ligase SHPRH [EC:5.6.2.- 2.3.2.27]
K26890,KEGG,Kyanoviridae DNA helicase
K21314,KEGG,Demerecviridae DNA polymerase [EC:2.7.7.7]
K24211,KEGG,complement C1q and tumor necrosis factor-related protein 2
K19171,KEGG,DNA sulfur modification protein DndD
K07505,KEGG,regulatory protein RepA
K11643,KEGG,chromodomain-helicase-DNA-binding protein 4 [EC:5.6.2.-]
K19002,KEGG,"1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]"
K03986,KEGG,complement C1q subcomponent subunit A
K26631,KEGG,Casjensviridae DNA polymerase
K06223,KEGG,DNA adenine methylase [EC:2.1.1.72]
K03529,KEGG,chromosome segregation protein
K26878,KEGG,Bacillus phage helicase DnaB-like
K01784,KEGG,UDP-glucose 4-epimerase [EC:5.1.3.2]
K15856,KEGG,GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281]
K02315,KEGG,DNA replication protein DnaC
K01710,KEGG,"dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"
K03987,KEGG,complement C1q subcomponent subunit B
K16150,KEGG,glycogen synthase [EC:2.4.1.11]
K26870,KEGG,Demerecviridae probable helicase D10 [EC:3.6.4.-]
K19997,KEGG,GlcNAc-P-P-Und epimerase [EC:5.1.3.26]
K06919,KEGG,putative DNA primase/helicase
K06907,KEGG,Bacteriophage tail sheath protein
K08679,KEGG,UDP-glucuronate 4-epimerase [EC:5.1.3.6]
K19638,KEGG,collagen and calcium-binding EGF domain-containing protein 1
K01520,KEGG,dUTP diphosphatase [EC:3.6.1.23]
K03763,KEGG,"DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"
K03654,KEGG,ATP-dependent DNA helicase RecQ [EC:5.6.2.4]
K26661,KEGG,Mesyanzhinovviridae DNA polymerase
K02473,KEGG,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]
K16364,KEGG,gliomedin
K14436,KEGG,chromodomain-helicase-DNA-binding protein 6 [EC:5.6.2.-]
K21211,KEGG,"NDP-hexose 4,6-dehydratase"
K08678,KEGG,UDP-glucuronate decarboxylase [EC:4.1.1.35]
K21332,KEGG,dTDP-alpha-D-glucuronic acid decarboxylase [EC:1.1.1.-]
K12453,KEGG,CDP-paratose synthetase [EC:1.1.1.342]
