id	db	name
K00001	KEGG	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00002	KEGG	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	KEGG	hom; homoserine dehydrogenase [EC:1.1.1.3]
K00004	KEGG	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	KEGG	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00006	KEGG	GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	KEGG	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	KEGG	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	KEGG	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	KEGG	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	KEGG	AKR1B; aldehyde reductase [EC:1.1.1.21]
K00012	KEGG	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	KEGG	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	KEGG	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	KEGG	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	KEGG	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	KEGG	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	KEGG	BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	KEGG	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	KEGG	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	KEGG	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	KEGG	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	KEGG	mdh; malate dehydrogenase [EC:1.1.1.37]
K00025	KEGG	MDH1; malate dehydrogenase [EC:1.1.1.37]
K00026	KEGG	MDH2; malate dehydrogenase [EC:1.1.1.37]
K00027	KEGG	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	KEGG	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	KEGG	maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	KEGG	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	KEGG	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00032	KEGG	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	KEGG	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	KEGG	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	KEGG	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	KEGG	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	KEGG	AKR1C4; 3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	KEGG	fabG3; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	KEGG	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	KEGG	uxuB; fructuronate reductase [EC:1.1.1.57]
K00041	KEGG	uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042	KEGG	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	KEGG	gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	KEGG	HSD17B1; 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	KEGG	mtlK, MAN; mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	KEGG	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	KEGG	fucO; lactaldehyde reductase [EC:1.1.1.77]
K00049	KEGG	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051	KEGG	E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	KEGG	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	KEGG	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	KEGG	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	KEGG	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	KEGG	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	KEGG	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	KEGG	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	KEGG	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	KEGG	RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	KEGG	ARA2; D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	KEGG	ARA1; D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	KEGG	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	KEGG	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	KEGG	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	KEGG	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	KEGG	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	KEGG	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	KEGG	HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	KEGG	HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	KEGG	SPR; sepiapterin reductase [EC:1.1.1.153]
K00073	KEGG	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	KEGG	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	KEGG	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	KEGG	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	KEGG	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	KEGG	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	KEGG	CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	KEGG	CBR2; carbonyl reductase 2 [EC:1.1.1.184]
K00082	KEGG	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	KEGG	CAD; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	KEGG	CBR3; carbonyl reductase 3 [EC:1.1.1.184]
K00085	KEGG	E1.1.1.200; aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	KEGG	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	KEGG	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	KEGG	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K00089	KEGG	AKR1C2; 3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	KEGG	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	KEGG	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	KEGG	mdh; methanol dehydrogenase [EC:1.1.1.244]
K00094	KEGG	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	KEGG	MTD; mannitol dehydrogenase [EC:1.1.1.255]
K00096	KEGG	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	KEGG	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	KEGG	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	KEGG	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	KEGG	bdhAB; butanol dehydrogenase [EC:1.1.1.-]
K00101	KEGG	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	KEGG	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	KEGG	GULO; L-gulonolactone oxidase [EC:1.1.3.8]
K00104	KEGG	glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
K00105	KEGG	glpO; alpha-glycerophosphate oxidase [EC:1.1.3.21]
