phrog_id	phrog	annot	old_category	new_category	changed_category
1	phrog_1	integrase	integration and excision	lysogeny	true
2	phrog_2	terminase large subunit	head and packaging	head and packaging	false
3	phrog_3	transcriptional repressor	transcription regulation	gene expression	true
4	phrog_4	transcriptional repressor	transcription regulation	gene expression	true
5	phrog_5	tail completion or Neck1 protein	connector	connector	false
6	phrog_6	baseplate wedge subunit	tail	tail	false
7	phrog_7	endolysin	lysis	lysis	false
8	phrog_8	transcriptional regulator	transcription regulation	gene expression	true
9	phrog_9	terminase large subunit	head and packaging	head and packaging	false
10	phrog_10	major head protein	head and packaging	head and packaging	false
11	phrog_11	baseplate spike	tail	tail	false
12	phrog_12	portal protein	head and packaging	head and packaging	false
13	phrog_13	Rz-like spanin	lysis	lysis	false
14	phrog_14	minor tail protein	tail	tail	false
15	phrog_15	terminase large subunit	head and packaging	head and packaging	false
16	phrog_16	DNA helicase	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
17	phrog_17	DNA polymerase	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
18	phrog_18	minor tail protein	tail	tail	false
19	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
20	phrog_20	holin	lysis	lysis	false
21	phrog_21	portal protein	head and packaging	head and packaging	false
22	phrog_22	thioredoxin domain	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
23	phrog_23	tail sheath	tail	tail	false
24	phrog_24	tail length tape measure protein	tail	tail	false
25	phrog_25	head closure Hc1	connector	connector	false
26	phrog_26	tail completion or Neck1 protein	connector	connector	false
27	phrog_27	tail completion or Neck1 protein	connector	connector	false
28	phrog_28	tail length tape measure protein	tail	tail	false
29	phrog_29	major head protein	head and packaging	head and packaging	false
30	phrog_30	minor tail protein	tail	tail	false
31	phrog_31	central tail fiber J	tail	tail	false
32	phrog_32	tail assembly protein	tail	tail	false
33	phrog_33	distal tail protein Dit	tail	tail	false
34	phrog_34	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
35	phrog_35	transcriptional repressor	transcription regulation	gene expression	true
36	phrog_36	transcriptional regulator	transcription regulation	gene expression	true
37	phrog_37	tail terminator	connector	connector	false
38	phrog_38	terminase large subunit	head and packaging	head and packaging	false
39	phrog_39	tail assembly protein	tail	tail	false
40	phrog_40	head-tail adaptor Ad1	connector	connector	false
41	phrog_41	major tail protein	tail	tail	false
42	phrog_42	minor tail protein	tail	tail	false
43	phrog_43	baseplate wedge subunit	tail	tail	false
44	phrog_44	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
45	phrog_45	tail tube	tail	tail	false
46	phrog_46	baseplate hub	tail	tail	false
47	phrog_47	DNA primase	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
48	phrog_48	tail protein	tail	tail	false
49	phrog_49	head decoration	head and packaging	head and packaging	false
50	phrog_50	DnaC-like helicase loader	DNA, RNA and nucleotide metabolism	nucleotide metabolism	true
51	phrog_51	terminase small subunit	head and packaging	head and packaging	false
52	phrog_52	tail protein	tail	tail	false
53	phrog_53	head maturation protease	head and packaging	head and packaging	false
54	phrog_54	DksA-like zinc-finger protein	other	other	false
55	phrog_55	head closure	connector	connector	false
56	phrog_56	DNA methyltransferase	other	other	false
