tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	0	4.6987225e-7
DRAM-V	Mixed metagenomes	8	0.00050041394
DRAM-V	Mixed metagenomes	12	0.001000358
DRAM-V	Mixed metagenomes	15	0.0015003021
DRAM-V	Mixed metagenomes	18	0.0020002462
DRAM-V	Mixed metagenomes	20	0.0025001904
DRAM-V	Mixed metagenomes	22	0.0030001344
DRAM-V	Mixed metagenomes	24	0.0035000786
DRAM-V	Mixed metagenomes	26	0.0040000225
DRAM-V	Mixed metagenomes	28	0.0044999667
DRAM-V	Mixed metagenomes	29	0.004999911
DRAM-V	Mixed metagenomes	31	0.0054998547
DRAM-V	Mixed metagenomes	33	0.005999799
DRAM-V	Mixed metagenomes	34	0.006499743
DRAM-V	Mixed metagenomes	36	0.0069996873
DRAM-V	Mixed metagenomes	38	0.007499631
DRAM-V	Mixed metagenomes	39	0.007999576
DRAM-V	Mixed metagenomes	41	0.008499519
DRAM-V	Mixed metagenomes	42	0.008999463
DRAM-V	Mixed metagenomes	43	0.009499407
DRAM-V	Mixed metagenomes	45	0.009999352
DRAM-V	Mixed metagenomes	46	0.010499296
DRAM-V	Mixed metagenomes	48	0.01099924
DRAM-V	Mixed metagenomes	49	0.011499184
DRAM-V	Mixed metagenomes	50	0.011999127
DRAM-V	Mixed metagenomes	51	0.012499072
DRAM-V	Mixed metagenomes	53	0.012999016
DRAM-V	Mixed metagenomes	54	0.01349896
DRAM-V	Mixed metagenomes	55	0.013998904
DRAM-V	Mixed metagenomes	56	0.0144988485
DRAM-V	Mixed metagenomes	57	0.014998793
DRAM-V	Mixed metagenomes	59	0.015498737
DRAM-V	Mixed metagenomes	60	0.01599868
DRAM-V	Mixed metagenomes	61	0.016498625
DRAM-V	Mixed metagenomes	62	0.016998569
DRAM-V	Mixed metagenomes	63	0.017498514
DRAM-V	Mixed metagenomes	64	0.017998457
DRAM-V	Mixed metagenomes	65	0.0184984
DRAM-V	Mixed metagenomes	66	0.018998345
DRAM-V	Mixed metagenomes	68	0.019498289
DRAM-V	Mixed metagenomes	69	0.019998234
DRAM-V	Mixed metagenomes	70	0.020498177
DRAM-V	Mixed metagenomes	71	0.020998122
DRAM-V	Mixed metagenomes	72	0.021498065
DRAM-V	Mixed metagenomes	73	0.021998009
DRAM-V	Mixed metagenomes	74	0.022497954
DRAM-V	Mixed metagenomes	75	0.022997897
DRAM-V	Mixed metagenomes	76	0.023497842
DRAM-V	Mixed metagenomes	77	0.023997786
DRAM-V	Mixed metagenomes	78	0.02449773
DRAM-V	Mixed metagenomes	79	0.024997674
DRAM-V	Mixed metagenomes	80	0.025497619
DRAM-V	Mixed metagenomes	81	0.025997562
DRAM-V	Mixed metagenomes	82	0.026497506
DRAM-V	Mixed metagenomes	83	0.02699745
DRAM-V	Mixed metagenomes	84	0.027497394
DRAM-V	Mixed metagenomes	85	0.02799734
DRAM-V	Mixed metagenomes	86	0.028497282
DRAM-V	Mixed metagenomes	87	0.028997228
DRAM-V	Mixed metagenomes	88	0.02949717
DRAM-V	Mixed metagenomes	89	0.029997114
DRAM-V	Mixed metagenomes	90	0.03049706
DRAM-V	Mixed metagenomes	91	0.030997002
DRAM-V	Mixed metagenomes	91	0.031496946
DRAM-V	Mixed metagenomes	92	0.03199689
DRAM-V	Mixed metagenomes	93	0.032496836
DRAM-V	Mixed metagenomes	94	0.03299678
DRAM-V	Mixed metagenomes	95	0.033496723
DRAM-V	Mixed metagenomes	96	0.033996668
DRAM-V	Mixed metagenomes	97	0.034496613
DRAM-V	Mixed metagenomes	98	0.034996554
DRAM-V	Mixed metagenomes	99	0.0354965
DRAM-V	Mixed metagenomes	100	0.035996445
DRAM-V	Mixed metagenomes	101	0.03649639
DRAM-V	Mixed metagenomes	101	0.03699633
DRAM-V	Mixed metagenomes	102	0.037496276
DRAM-V	Mixed metagenomes	103	0.03799622
DRAM-V	Mixed metagenomes	104	0.038496163
DRAM-V	Mixed metagenomes	105	0.038996108
DRAM-V	Mixed metagenomes	106	0.039496053
DRAM-V	Mixed metagenomes	106	0.039996
DRAM-V	Mixed metagenomes	107	0.04049594
DRAM-V	Mixed metagenomes	108	0.040995885
DRAM-V	Mixed metagenomes	109	0.04149583
DRAM-V	Mixed metagenomes	110	0.04199577
DRAM-V	Mixed metagenomes	110	0.042495716
DRAM-V	Mixed metagenomes	111	0.04299566
DRAM-V	Mixed metagenomes	112	0.043495607
DRAM-V	Mixed metagenomes	113	0.043995548
DRAM-V	Mixed metagenomes	113	0.044495493
DRAM-V	Mixed metagenomes	114	0.04499544
DRAM-V	Mixed metagenomes	115	0.045495383
DRAM-V	Mixed metagenomes	116	0.045995325
DRAM-V	Mixed metagenomes	116	0.04649527
DRAM-V	Mixed metagenomes	117	0.046995215
DRAM-V	Mixed metagenomes	118	0.047495157
DRAM-V	Mixed metagenomes	119	0.0479951
DRAM-V	Mixed metagenomes	119	0.048495047
DRAM-V	Mixed metagenomes	120	0.048994992
DRAM-V	Mixed metagenomes	121	0.049494933
DRAM-V	Mixed metagenomes	122	0.04999488
DRAM-V	Mixed metagenomes	122	0.050494824
DRAM-V	Mixed metagenomes	123	0.050994765
DRAM-V	Mixed metagenomes	124	0.05149471
DRAM-V	Mixed metagenomes	124	0.051994655
DRAM-V	Mixed metagenomes	125	0.0524946
