lgbm_bin	pst_bin	n	n_viral
0	0	695342	1638
0	1	2787	314
0	2	1255	214
0	3	961	231
0	4	835	208
0	5	808	250
0	6	774	293
0	7	913	482
0	8	1134	722
0	9	10585	9738
1	0	37585	368
1	1	655	105
1	2	358	83
1	3	290	86
1	4	299	103
1	5	269	127
1	6	347	171
1	7	422	256
1	8	555	405
1	9	8004	7642
2	0	17365	239
2	1	429	89
2	2	304	88
2	3	237	81
2	4	208	91
2	5	278	140
2	6	270	167
2	7	336	219
2	8	463	342
2	9	8018	7712
3	0	10755	203
3	1	315	75
3	2	227	86
3	3	186	79
3	4	173	67
3	5	205	107
3	6	223	149
3	7	276	179
3	8	398	314
3	9	8204	7984
4	0	7643	151
4	1	279	71
4	2	175	51
4	3	161	63
4	4	152	73
4	5	163	88
4	6	216	146
4	7	245	174
4	8	380	290
4	9	9630	9368
5	0	6113	186
5	1	272	74
5	2	181	71
5	3	132	62
5	4	161	88
5	5	168	104
5	6	222	146
5	7	299	221
5	8	424	336
5	9	12327	12030
6	0	44930	1018
6	1	1589	406
6	2	904	324
6	3	750	346
6	4	776	396
6	5	873	532
6	6	1097	723
6	7	1431	1033
6	8	2653	2178
6	9	112811	111199
7	0	4483	239
7	1	329	85
7	2	237	83
7	3	226	112
7	4	216	119
7	5	240	145
7	6	284	176
7	7	420	297
7	8	698	583
7	9	26043	25661
8	0	4143	208
8	1	323	106
8	2	227	81
8	3	207	101
8	4	238	130
8	5	268	159
8	6	371	263
8	7	511	402
8	8	1001	831
8	9	49288	48709
9	0	4300	474
9	1	519	203
9	2	392	199
9	3	378	212
9	4	392	232
9	5	527	364
9	6	719	547
9	7	1108	920
9	8	2481	2198
9	9	537832	536231
