klass	lgbm_bin	pst_bin	n	lgbm_p	pst_p
Ground-truth non-viral	0	0	551540	0.01	0.01
Ground-truth non-viral	0	1	509	0.01	0.03
Ground-truth non-viral	0	2	7910	0.01	0.05
Ground-truth non-viral	0	3	450	0.01	0.07
Ground-truth non-viral	0	4	811	0.01	0.09
Ground-truth non-viral	0	5	499	0.01	0.11
Ground-truth non-viral	0	6	225	0.01	0.13
Ground-truth non-viral	0	7	325	0.01	0.15
Ground-truth non-viral	0	8	128	0.01	0.17
Ground-truth non-viral	0	9	168	0.01	0.19
Ground-truth non-viral	0	10	152	0.01	0.21
Ground-truth non-viral	0	11	114	0.01	0.23
Ground-truth non-viral	0	12	132	0.01	0.25
Ground-truth non-viral	0	13	82	0.01	0.27
Ground-truth non-viral	0	14	74	0.01	0.29
Ground-truth non-viral	0	15	83	0.01	0.31
Ground-truth non-viral	0	16	57	0.01	0.33
Ground-truth non-viral	0	17	72	0.01	0.35
Ground-truth non-viral	0	18	60	0.01	0.37
Ground-truth non-viral	0	19	68	0.01	0.39
Ground-truth non-viral	0	20	63	0.01	0.41
Ground-truth non-viral	0	21	46	0.01	0.43
Ground-truth non-viral	0	22	70	0.01	0.45
Ground-truth non-viral	0	23	49	0.01	0.47
Ground-truth non-viral	0	24	45	0.01	0.49
Ground-truth non-viral	0	25	56	0.01	0.51
Ground-truth non-viral	0	26	57	0.01	0.53
Ground-truth non-viral	0	27	56	0.01	0.55
Ground-truth non-viral	0	28	37	0.01	0.57
Ground-truth non-viral	0	29	43	0.01	0.59
Ground-truth non-viral	0	30	38	0.01	0.61
Ground-truth non-viral	0	31	46	0.01	0.63
Ground-truth non-viral	0	32	30	0.01	0.65
Ground-truth non-viral	0	33	38	0.01	0.67
Ground-truth non-viral	0	34	40	0.01	0.69
Ground-truth non-viral	0	35	39	0.01	0.71
Ground-truth non-viral	0	36	33	0.01	0.73
Ground-truth non-viral	0	37	34	0.01	0.75
Ground-truth non-viral	0	38	32	0.01	0.77
Ground-truth non-viral	0	39	39	0.01	0.79
Ground-truth non-viral	0	40	38	0.01	0.81
Ground-truth non-viral	0	41	29	0.01	0.83
Ground-truth non-viral	0	42	47	0.01	0.85
Ground-truth non-viral	0	43	21	0.01	0.87
Ground-truth non-viral	0	44	32	0.01	0.89
Ground-truth non-viral	0	45	44	0.01	0.91
Ground-truth non-viral	0	46	16	0.01	0.93
Ground-truth non-viral	0	47	78	0.01	0.95
Ground-truth non-viral	0	48	9	0.01	0.97
Ground-truth non-viral	0	49	125	0.01	0.99
Ground-truth non-viral	1	0	63774	0.03	0.01
Ground-truth non-viral	1	1	73	0.03	0.03
Ground-truth non-viral	1	2	1353	0.03	0.05
Ground-truth non-viral	1	3	85	0.03	0.07
Ground-truth non-viral	1	4	230	0.03	0.09
Ground-truth non-viral	1	5	137	0.03	0.11
Ground-truth non-viral	1	6	60	0.03	0.13
Ground-truth non-viral	1	7	117	0.03	0.15
Ground-truth non-viral	1	8	54	0.03	0.17
Ground-truth non-viral	1	9	59	0.03	0.19
Ground-truth non-viral	1	10	47	0.03	0.21
Ground-truth non-viral	1	11	41	0.03	0.23
Ground-truth non-viral	1	12	36	0.03	0.25
Ground-truth non-viral	1	13	23	0.03	0.27
Ground-truth non-viral	1	14	27	0.03	0.29
Ground-truth non-viral	1	15	41	0.03	0.31
Ground-truth non-viral	1	16	31	0.03	0.33
Ground-truth non-viral	1	17	30	0.03	0.35
Ground-truth non-viral	1	18	19	0.03	0.37
Ground-truth non-viral	1	19	22	0.03	0.39
Ground-truth non-viral	1	20	28	0.03	0.41
Ground-truth non-viral	1	21	35	0.03	0.43
Ground-truth non-viral	1	22	28	0.03	0.45
Ground-truth non-viral	1	23	26	0.03	0.47
Ground-truth non-viral	1	24	19	0.03	0.49
Ground-truth non-viral	1	25	26	0.03	0.51
Ground-truth non-viral	1	26	24	0.03	0.53
Ground-truth non-viral	1	27	30	0.03	0.55
Ground-truth non-viral	1	28	20	0.03	0.57
Ground-truth non-viral	1	29	17	0.03	0.59
Ground-truth non-viral	1	30	21	0.03	0.61
Ground-truth non-viral	1	31	16	0.03	0.63
Ground-truth non-viral	1	32	23	0.03	0.65
Ground-truth non-viral	1	33	17	0.03	0.67
Ground-truth non-viral	1	34	18	0.03	0.69
Ground-truth non-viral	1	35	23	0.03	0.71
Ground-truth non-viral	1	36	13	0.03	0.73
Ground-truth non-viral	1	37	19	0.03	0.75
Ground-truth non-viral	1	38	19	0.03	0.77
Ground-truth non-viral	1	39	18	0.03	0.79
Ground-truth non-viral	1	40	18	0.03	0.81
Ground-truth non-viral	1	41	15	0.03	0.83
Ground-truth non-viral	1	42	22	0.03	0.85
Ground-truth non-viral	1	43	12	0.03	0.87
Ground-truth non-viral	1	44	23	0.03	0.89
Ground-truth non-viral	1	45	28	0.03	0.91
Ground-truth non-viral	1	46	14	0.03	0.93
Ground-truth non-viral	1	47	48	0.03	0.95
Ground-truth non-viral	1	48	10	0.03	0.97
Ground-truth non-viral	1	49	92	0.03	0.99
Ground-truth non-viral	2	0	32152	0.05	0.01
Ground-truth non-viral	2	1	40	0.05	0.03
Ground-truth non-viral	2	2	831	0.05	0.05
Ground-truth non-viral	2	3	42	0.05	0.07
Ground-truth non-viral	2	4	153	0.05	0.09
Ground-truth non-viral	2	5	72	0.05	0.11
Ground-truth non-viral	2	6	51	0.05	0.13
Ground-truth non-viral	2	7	67	0.05	0.15
Ground-truth non-viral	2	8	36	0.05	0.17
Ground-truth non-viral	2	9	44	0.05	0.19
Ground-truth non-viral	2	10	31	0.05	0.21
Ground-truth non-viral	2	11	23	0.05	0.23
Ground-truth non-viral	2	12	31	0.05	0.25
Ground-truth non-viral	2	13	17	0.05	0.27
Ground-truth non-viral	2	14	18	0.05	0.29
Ground-truth non-viral	2	15	15	0.05	0.31
Ground-truth non-viral	2	16	17	0.05	0.33
Ground-truth non-viral	2	17	27	0.05	0.35
Ground-truth non-viral	2	18	16	0.05	0.37
Ground-truth non-viral	2	19	29	0.05	0.39
Ground-truth non-viral	2	20	13	0.05	0.41
Ground-truth non-viral	2	21	13	0.05	0.43
Ground-truth non-viral	2	22	26	0.05	0.45
Ground-truth non-viral	2	23	18	0.05	0.47
Ground-truth non-viral	2	24	14	0.05	0.49
Ground-truth non-viral	2	25	19	0.05	0.51
Ground-truth non-viral	2	26	17	0.05	0.53
Ground-truth non-viral	2	27	17	0.05	0.55
Ground-truth non-viral	2	28	7	0.05	0.57
Ground-truth non-viral	2	29	16	0.05	0.59
Ground-truth non-viral	2	30	11	0.05	0.61
Ground-truth non-viral	2	31	13	0.05	0.63
Ground-truth non-viral	2	32	24	0.05	0.65
Ground-truth non-viral	2	33	17	0.05	0.67
Ground-truth non-viral	2	34	15	0.05	0.69
Ground-truth non-viral	2	35	14	0.05	0.71
Ground-truth non-viral	2	36	14	0.05	0.73
Ground-truth non-viral	2	37	14	0.05	0.75
