scope	n	pearson_r	spearman_r	mean_abs_diff	rmse
overall	1658606	0.889152128792309	0.8374716693231723	0.1078318960274144	0.22650755208181847
Equal viral/nonviral	380925	0.8793859261967547	0.834752509533235	0.11437526748913496	0.2357778728465785
Half viral/host	632631	0.8781344463181563	0.8335637032219917	0.11416599627544194	0.23724049554355012
Training distribution	953918	0.8810501136207138	0.814657622318612	0.10636275822038391	0.22771352141991022
Equal viral/MGE/host	190143	0.8863192882754806	0.7921493435809926	0.09562093040835991	0.21494646369552914
Virus enriched	425458	0.8664408546934894	0.7683414195975775	0.116688943624561	0.2335735221149167
Integrated proviruses	75260	0.7114185418275625	0.7414745816901531	0.21341000988548228	0.365595460682518
Host enriched	311522	0.8271682028551944	0.6220536415302658	0.0921482961443397	0.2151337016418978
Near all virus	841115	0.8052308705314685	0.5670862870106399	0.1151878057737531	0.2238058332545463
MGE enriched	203361	0.7055437216989923	0.505808018420495	0.08905736350364364	0.21351257699873977
Near all host	665307	0.6206067414278692	0.36211570140197036	0.09276727812308073	0.22062504354432586
