gene_bin_idx	gene_bin	n	n_viral	viral_prevalence	pst_auroc	lgbm_auroc	pst_auprc	lgbm_auprc	pst_norm_auprc	lgbm_norm_auprc	pst_recall_viral	lgbm_recall_viral	pst_specificity_nonviral	lgbm_specificity_nonviral
0	2	29326	12200	0.41601309418263654	0.9942414873942984	0.9388396680916561	0.9905830946232738	0.8962127154643658	0.983874800474257	0.8222780622274898	0.9940983606557378	0.9647540983606557	0.8985752656779166	0.7363657596636692
1	3-5	296450	81845	0.2760836566031371	0.9931161833209651	0.9612353490828549	0.9832357125555204	0.8890839190625078	0.9768422310155124	0.8467832893272776	0.991422811411815	0.9389089131895656	0.9474616155261993	0.8759022389972274
2	6-10	439632	202601	0.46084224988171923	0.9935612522832235	0.9674179366935712	0.9891371441103912	0.9528517368344763	0.9798521751987697	0.9125520069864892	0.9950098962986362	0.9348423749142403	0.9404592648219009	0.8934021288354688
3	11-20	376772	221978	0.5891573683819392	0.9950801584260998	0.9766795018240959	0.9940653624362997	0.9805888312376904	0.9855549616642086	0.9527527883709128	0.9976889601672237	0.9387957365144294	0.947239557088776	0.9085558871790896
4	21-50	316460	216768	0.6849775643051255	0.996176846763245	0.9843409401761974	0.9966840898530868	0.9919864330293586	0.9894740508256212	0.9745619166680459	0.999303402716268	0.9443183495718925	0.9405569152991213	0.9311178429563054
5	51-100	89321	56920	0.6372521579471793	0.9952986125225437	0.9974687692915615	0.9948476122587144	0.9984725511459662	0.9857962277263242	0.9957892269037637	0.9995783555867884	0.9785137034434294	0.9437671676800099	0.9758958056850098
6	101-250	59263	9574	0.16155105208983683	0.9882920701377147	0.9958943195718523	0.970421940472856	0.9799279666088895	0.9647228855127467	0.9760605181255937	0.9814079799456862	0.8984750365573428	0.9343516673710479	0.9929763126647749
7	251-500	36089	1774	0.04915625259774446	0.9375768400755583	0.982219229924496	0.8290369081535833	0.8532045974058869	0.82019854228048	0.8456156408503877	0.8895152198421646	0.640924464487035	0.9321870901937928	0.9968235465539851
8	501-1000	9520	89	0.009348739495798319	0.5325140970669284	0.7835377949125464	0.010747238856745231	0.019562664573094107	0.0014116969479604075	0.010310313512443632	0.12359550561797752	0.0	0.9414696214611388	0.9962888346940939
9	1001-2048	5773	116	0.020093538887926556	0.9252596721791128	0.9727146105222092	0.6740550086265004	0.30028294373377074	0.6673713213365364	0.28593484783013234	0.8706896551724138	0.02586206896551724	0.9094926639561605	0.9918684815273113
