band,band_lo,band_hi,depth,n_truth_classes,embedding,metric,value
no recorded identity,,,category,3,CheckAMG-PST,micro_precision,0.7881944444444444
no recorded identity,,,category,3,CheckAMG-PST,macro_precision,0.7766911362246048
no recorded identity,,,category,3,CheckAMG-PST,n,288.0
no recorded identity,,,category,3,ESM-2,micro_precision,0.9409722222222222
no recorded identity,,,category,3,ESM-2,macro_precision,0.9381580218294214
no recorded identity,,,category,3,ESM-2,n,288.0
no recorded identity,,,category,3,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.1527777777777778
no recorded identity,,,category,3,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.1614668856048166
no recorded identity,,,category,3,ESM-2 minus CheckAMG-PST,n,288.0
no recorded identity,,,L1,24,CheckAMG-PST,micro_precision,0.5431654676258992
no recorded identity,,,L1,24,CheckAMG-PST,macro_precision,0.368450214389912
no recorded identity,,,L1,24,CheckAMG-PST,n,278.0
no recorded identity,,,L1,24,ESM-2,micro_precision,0.8633093525179856
no recorded identity,,,L1,24,ESM-2,macro_precision,0.7141258629989654
no recorded identity,,,L1,24,ESM-2,n,278.0
no recorded identity,,,L1,24,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.32014388489208634
no recorded identity,,,L1,24,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.3456756486090534
no recorded identity,,,L1,24,ESM-2 minus CheckAMG-PST,n,278.0
no recorded identity,,,specific,197,CheckAMG-PST,micro_precision,0.3333333333333333
no recorded identity,,,specific,197,CheckAMG-PST,macro_precision,0.2643743453388124
no recorded identity,,,specific,197,CheckAMG-PST,n,288.0
no recorded identity,,,specific,197,ESM-2,micro_precision,0.6666666666666666
no recorded identity,,,specific,197,ESM-2,macro_precision,0.6048062202884538
no recorded identity,,,specific,197,ESM-2,n,288.0
no recorded identity,,,specific,197,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.3333333333333333
no recorded identity,,,specific,197,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.3404318749496414
no recorded identity,,,specific,197,ESM-2 minus CheckAMG-PST,n,288.0
"[0.00, 0.30)",0.0,0.3,category,3,CheckAMG-PST,micro_precision,0.8113207547169812
"[0.00, 0.30)",0.0,0.3,category,3,CheckAMG-PST,macro_precision,0.7405302517622423
"[0.00, 0.30)",0.0,0.3,category,3,CheckAMG-PST,n,848.0
"[0.00, 0.30)",0.0,0.3,category,3,ESM-2,micro_precision,0.9587264150943396
"[0.00, 0.30)",0.0,0.3,category,3,ESM-2,macro_precision,0.9482832624702663
"[0.00, 0.30)",0.0,0.3,category,3,ESM-2,n,848.0
"[0.00, 0.30)",0.0,0.3,category,3,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.14740566037735847
"[0.00, 0.30)",0.0,0.3,category,3,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.207753010708024
"[0.00, 0.30)",0.0,0.3,category,3,ESM-2 minus CheckAMG-PST,n,848.0
"[0.00, 0.30)",0.0,0.3,L1,28,CheckAMG-PST,micro_precision,0.5378250591016549
"[0.00, 0.30)",0.0,0.3,L1,28,CheckAMG-PST,macro_precision,0.4067540600540854
"[0.00, 0.30)",0.0,0.3,L1,28,CheckAMG-PST,n,846.0
"[0.00, 0.30)",0.0,0.3,L1,28,ESM-2,micro_precision,0.8333333333333334
"[0.00, 0.30)",0.0,0.3,L1,28,ESM-2,macro_precision,0.7709616642045277
"[0.00, 0.30)",0.0,0.3,L1,28,ESM-2,n,846.0
"[0.00, 0.30)",0.0,0.3,L1,28,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.29550827423167847
"[0.00, 0.30)",0.0,0.3,L1,28,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.36420760415044234
"[0.00, 0.30)",0.0,0.3,L1,28,ESM-2 minus CheckAMG-PST,n,846.0
"[0.00, 0.30)",0.0,0.3,specific,417,CheckAMG-PST,micro_precision,0.35141509433962265
"[0.00, 0.30)",0.0,0.3,specific,417,CheckAMG-PST,macro_precision,0.25315955028185244
"[0.00, 0.30)",0.0,0.3,specific,417,CheckAMG-PST,n,848.0
"[0.00, 0.30)",0.0,0.3,specific,417,ESM-2,micro_precision,0.6898584905660378
"[0.00, 0.30)",0.0,0.3,specific,417,ESM-2,macro_precision,0.5953424273568159
"[0.00, 0.30)",0.0,0.3,specific,417,ESM-2,n,848.0
"[0.00, 0.30)",0.0,0.3,specific,417,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.3384433962264151
"[0.00, 0.30)",0.0,0.3,specific,417,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.3421828770749634
"[0.00, 0.30)",0.0,0.3,specific,417,ESM-2 minus CheckAMG-PST,n,848.0
"[0.30, 0.50)",0.3,0.5,category,3,CheckAMG-PST,micro_precision,0.8584470304975923
"[0.30, 0.50)",0.3,0.5,category,3,CheckAMG-PST,macro_precision,0.7993017220468549
"[0.30, 0.50)",0.3,0.5,category,3,CheckAMG-PST,n,19936.0
"[0.30, 0.50)",0.3,0.5,category,3,ESM-2,micro_precision,0.9776785714285714
"[0.30, 0.50)",0.3,0.5,category,3,ESM-2,macro_precision,0.9698442401970965
"[0.30, 0.50)",0.3,0.5,category,3,ESM-2,n,19936.0
"[0.30, 0.50)",0.3,0.5,category,3,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.1192315409309791
"[0.30, 0.50)",0.3,0.5,category,3,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.17054251815024157
"[0.30, 0.50)",0.3,0.5,category,3,ESM-2 minus CheckAMG-PST,n,19936.0
"[0.30, 0.50)",0.3,0.5,L1,28,CheckAMG-PST,micro_precision,0.5515474276527331
"[0.30, 0.50)",0.3,0.5,L1,28,CheckAMG-PST,macro_precision,0.5027900905497462
"[0.30, 0.50)",0.3,0.5,L1,28,CheckAMG-PST,n,19904.0
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2,micro_precision,0.8770096463022508
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2,macro_precision,0.8409194321396904
"[0.30, 0.50)",0.3,0.5,L1,28,ESM-2,n,19904.0
