leiden,n,n_identified,n_unresolved,n_identified_with_theme,dominant_theme,dominant_theme_share,n_identified_with_external_category,dominant_external_category,dominant_external_category_share,n_identified_defensefinder,dominant_df_system,dominant_df_system_share,n_unresolved_labeled,n_unresolved_label_matches_dominant,unresolved_match_rate
30,7583,4877,2706,4807,Other,0.7818,1758,Physiological,0.7207,1072,Armada_type_I,0.1708,905,495,0.547
0,6681,4066,2615,3193,Regulatory,0.8184,3575,Regulatory,0.506,1700,RosmerTA,0.9922,1404,1387,0.9879
11,2939,363,2576,349,Other,0.5874,163,Metabolic,0.5583,31,RosmerTA,0.375,1644,21,0.0128
12,5455,3149,2306,2830,Regulatory,0.9307,3031,Regulatory,0.8159,504,MADS,0.7582,1166,1149,0.9854
19,3584,1696,1888,1675,Regulatory,0.8699,1567,Regulatory,0.9247,32,AbiR,0.6,1324,1316,0.994
7,6054,4358,1696,4344,Regulatory,0.8181,3789,Regulatory,0.9264,71,RosmerTA,0.7857,1485,1481,0.9973
20,3788,2131,1657,1784,Regulatory,0.5818,1788,Physiological,0.6018,886,RosmerTA,0.5033,634,0,0.0
28,2291,856,1435,625,Regulatory,0.5824,641,Regulatory,0.4867,287,RosmerTA,0.8151,829,820,0.9891
15,2031,700,1331,342,Other,0.845,478,Physiological,0.9393,438,acriia7,0.7879,1021,705,0.6905
17,1623,510,1113,429,Regulatory,0.7716,476,Regulatory,0.6492,117,MADS,0.5588,607,257,0.4234
2,1710,619,1091,538,Other,0.5279,380,Physiological,0.7105,189,darb,0.3667,961,956,0.9948
14,1169,92,1077,71,Regulatory,0.7324,78,Regulatory,0.6538,22,RosmerTA,0.8571,595,591,0.9933
3,1510,450,1060,370,Other,0.6784,202,Physiological,0.6733,113,acric5,0.6,550,475,0.8636
22,3302,2381,921,2345,Other,0.4896,1248,Regulatory,0.8109,159,RosmerTA,0.5915,522,482,0.9234
27,1644,768,876,756,Other,0.9511,57,Regulatory,0.5789,21,RosmerTA,0.8571,696,692,0.9943
4,1501,675,826,672,Other,0.7515,176,Regulatory,0.392,13,Dpd,0.25,611,570,0.9329
35,2116,1596,520,1596,Other,0.7826,347,Metabolic,0.9942,0,,,487,1,0.0021
