min_seq_id,leiden,n_unresolved,id30_clusters,id30_universe_singletons,median_id30_clusize,clusters_per_protein,n,n_identified,dominant_external_category
id30,30,2706,1534,1100,2.0,0.567,7583.0,4877.0,Physiological
id30,0,2615,1268,733,4.0,0.485,6681.0,4066.0,Regulatory
id30,11,2576,1231,831,4.0,0.478,2939.0,363.0,Metabolic
id30,12,2306,803,410,11.0,0.348,5455.0,3149.0,Regulatory
id30,19,1888,929,558,4.0,0.492,3584.0,1696.0,Regulatory
id30,7,1696,312,110,34.0,0.184,6054.0,4358.0,Regulatory
id30,20,1657,789,487,4.0,0.476,3788.0,2131.0,Physiological
id30,28,1435,702,419,5.0,0.489,2291.0,856.0,Regulatory
id30,15,1331,733,509,2.0,0.551,2031.0,700.0,Physiological
id30,17,1113,378,170,11.0,0.34,1623.0,510.0,Regulatory
id30,2,1091,565,399,3.0,0.518,1710.0,619.0,Physiological
id30,14,1077,470,300,4.0,0.436,1169.0,92.0,Regulatory
id30,3,1060,668,491,2.0,0.63,1510.0,450.0,Physiological
id30,22,921,500,283,4.0,0.543,3302.0,2381.0,Regulatory
id30,27,876,250,149,12.0,0.285,1644.0,768.0,Regulatory
id30,4,826,340,189,7.0,0.412,1501.0,675.0,Regulatory
id30,35,520,199,113,9.0,0.383,2116.0,1596.0,Metabolic
id30,16,475,97,42,309.0,0.204,1943.0,1468.0,Physiological
id30,40,460,281,189,2.0,0.611,1278.0,818.0,Regulatory
id30,24,452,186,122,8.0,0.412,1036.0,584.0,Physiological
id30,8,428,165,104,9.0,0.386,730.0,302.0,Regulatory
id30,1,321,189,78,5.0,0.589,5417.0,5096.0,Physiological
id30,13,268,218,154,1.0,0.813,2264.0,1996.0,Metabolic
id30,47,253,72,42,19.0,0.285,316.0,63.0,Metabolic
id30,42,248,174,132,1.0,0.702,270.0,22.0,Metabolic
id30,34,206,69,30,15.0,0.335,1796.0,1590.0,Physiological
id30,5,195,116,65,3.0,0.595,4891.0,4696.0,Regulatory
id30,9,168,39,20,300.0,0.232,602.0,434.0,Regulatory
id30,18,158,130,72,2.0,0.823,6676.0,6518.0,Physiological
id30,43,147,103,64,2.0,0.701,2009.0,1862.0,Physiological
id30,33,139,99,60,2.0,0.712,3094.0,2955.0,Physiological
