method,level,identity_stratum,n_report,n_assigned,coverage,micro_precision,micro_ci95_lo,micro_ci95_hi,macro_precision,n_distinct_labels
embedding_1nn,specific,<30%,468,468,1.0,0.2799145299145299,0.24115674987828734,0.32225605645332894,0.2119793786460453,351
cluster_id30,specific,<30%,468,84,0.1794871794871795,0.8571428571428571,0.7666970498084034,0.9163506178114942,0.8307692307692308,65
cluster_id50,specific,<30%,468,0,0.0,,,,,0
cluster_id70,specific,<30%,468,0,0.0,,,,,0
cluster_id90,specific,<30%,468,0,0.0,,,,,0
embedding_calibrated,specific,<30%,468,48,0.10256410256410256,0.875,0.7529927291394518,0.9414302824959915,0.8333333333333334,33
tiered,specific,<30%,468,48,0.10256410256410256,0.875,0.7529927291394518,0.9414302824959915,0.8333333333333334,33
embedding_1nn,L1,<30%,468,468,1.0,0.4658119658119658,0.42107931524707326,0.5111013148626924,0.3774569323089887,26
cluster_id30,L1,<30%,468,84,0.1794871794871795,0.9523809523809523,0.8838651569729798,0.9813285553455571,0.9675264550264551,18
cluster_id50,L1,<30%,468,0,0.0,,,,,0
cluster_id70,L1,<30%,468,0,0.0,,,,,0
cluster_id90,L1,<30%,468,0,0.0,,,,,0
embedding_calibrated,L1,<30%,468,57,0.12179487179487179,0.9473684210526315,0.8563022233952869,0.9819400319037189,0.9458333333333333,12
tiered,L1,<30%,468,127,0.27136752136752135,0.9606299212598425,0.9111425632265358,0.9830684522303219,0.9695707584596475,18
embedding_1nn,category,<30%,468,468,1.0,0.7307692307692307,0.688823223875519,0.7689575228835628,0.7043774700576222,3
cluster_id30,category,<30%,468,84,0.1794871794871795,0.9761904761904762,0.9172839887867145,0.9934462347064822,0.975925925925926,3
cluster_id50,category,<30%,468,0,0.0,,,,,0
cluster_id70,category,<30%,468,0,0.0,,,,,0
cluster_id90,category,<30%,468,0,0.0,,,,,0
embedding_calibrated,category,<30%,468,125,0.2670940170940171,0.84,0.7657523225480249,0.8939724868303125,0.8351482153660013,3
tiered,category,<30%,468,183,0.391025641025641,0.8961748633879781,0.8435383807295037,0.9325200559355645,0.8943157498331425,3
embedding_1nn,specific,30-50%,6411,6411,1.0,0.31243175791608174,0.30120129530889983,0.32388687522363535,0.21185714988120682,2163
cluster_id30,specific,30-50%,6411,4652,0.725627827172048,0.8566208082545141,0.846255388506722,0.8663977223723077,0.8354706939026815,1529
cluster_id50,specific,30-50%,6411,126,0.019653720168460457,0.9523809523809523,0.8999970658645753,0.9779958116107486,0.9537037037037037,108
cluster_id70,specific,30-50%,6411,0,0.0,,,,,0
cluster_id90,specific,30-50%,6411,0,0.0,,,,,0
embedding_calibrated,specific,30-50%,6411,916,0.14287942598658557,0.8951965065502183,0.8736827341659279,0.9134093042893887,0.8272374098294344,326
tiered,specific,30-50%,6411,1026,0.16003743565746373,0.9005847953216374,0.880754419125281,0.9174265826909207,0.8487833594976454,392
embedding_1nn,L1,30-50%,6411,6411,1.0,0.5446888160973327,0.5324751736022189,0.5568489337927323,0.4909048489431013,28
