identity_stratum,level,min_seq_id,n_report,n_matched_coverage,coverage,cluster_micro,cluster_micro_lo,cluster_micro_hi,cluster_macro,cluster_n_labels,embedding_micro,embedding_micro_lo,embedding_micro_hi,embedding_macro,embedding_n_labels,embedding_p_at_cut,macro_delta_cluster_minus_embedding,micro_delta_cluster_minus_embedding
<30%,specific,0.3,468,84,0.1794871794871795,0.8571428571428571,0.7666970498084034,0.9163506178114942,0.8307692307692308,65,0.7619047619047619,0.6606473307381485,0.8402542921831097,0.7105263157894737,57,0.6262705238467554,0.12024291497975714,0.09523809523809523
<30%,L1,0.3,468,84,0.1794871794871795,0.9523809523809523,0.8838651569729798,0.9813285553455571,0.9675264550264551,18,0.8928571428571429,0.8087519975771198,0.9426004368047676,0.8519097222222223,16,0.7653465346534654,0.11561673280423279,0.05952380952380942
<30%,category,0.3,468,84,0.1794871794871795,0.9761904761904762,0.9172839887867145,0.9934462347064822,0.975925925925926,3,0.9404761904761905,0.8681156389946401,0.974309817736567,0.9361111111111112,3,0.930718954248366,0.03981481481481475,0.0357142857142857
30-50%,specific,0.3,6411,4652,0.725627827172048,0.8566208082545141,0.846255388506722,0.8663977223723077,0.8354706939026815,1529,0.4146603611349957,0.40057894688850093,0.42888260523990485,0.2963707739244954,1643,0.07019704433497537,0.5390999199781861,0.44196044711951843
30-50%,specific,0.5,6411,126,0.019653720168460457,0.9523809523809523,0.8999970658645753,0.9779958116107486,0.9537037037037037,108,1.0,0.9704131803674632,1.0,1.0,38,0.9935483870967742,-0.04629629629629628,-0.04761904761904767
30-50%,L1,0.3,6411,4717,0.735766651068476,0.9408522365910537,0.933754537831106,0.9472324455067803,0.935242535991793,28,0.635997456010176,0.6221609021202783,0.6496126731676535,0.5912163193813745,28,0.3339160839160839,0.34402621661041843,0.30485478058087767
30-50%,L1,0.5,6411,127,0.01980970207455935,0.9921259842519685,0.9567449252236082,0.9986087237687615,0.9966666666666667,20,1.0,0.9706393073762475,1.0,1.0,15,0.99734395750332,-0.0033333333333332993,-0.007874015748031482
30-50%,category,0.3,6411,4739,0.7391982530026517,0.9928254906098333,0.989991389654066,0.9948612354051389,0.9898307125636797,3,0.888162059506225,0.8788724577343842,0.8968228553876058,0.8541224844030705,3,0.8274483677548301,0.13570822816060923,0.10466343110360832
30-50%,category,0.5,6411,127,0.01980970207455935,1.0,0.9706393073762475,1.0,1.0,3,1.0,0.9706393073762475,1.0,1.0,3,0.998426435877262,0.0,0.0
<50%,specific,0.3,6879,4736,0.6884721616514028,0.8566300675675675,0.8463598386145896,0.8663222054435915,0.8341114370096566,1545,0.43032094594594594,0.41628164349352026,0.44447319692139997,0.3019056379698672,1667,0.09081196581196581,0.5322057990397895,0.4263091216216216
<50%,specific,0.5,6879,126,0.01831661578717837,0.9523809523809523,0.8999970658645753,0.9779958116107486,0.9537037037037037,108,1.0,0.9704131803674632,1.0,1.0,37,0.9935483870967742,-0.04629629629629628,-0.04761904761904767
<50%,L1,0.3,6879,4801,0.6979212094781219,0.9410539470943553,0.9340323367590578,0.9473702884596381,0.9347657805988144,28,0.643824203290981,0.6301682959097826,0.6572501280399267,0.5976010915342228,28,0.35602094240837684,0.3371646890645916,0.2972297438033743
<50%,L1,0.5,6879,127,0.018461985753743276,0.9921259842519685,0.9567449252236082,0.9986087237687615,0.9966666666666667,20,1.0,0.9706393073762475,1.0,1.0,15,0.99734395750332,-0.0033333333333332993,-0.007874015748031482
<50%,category,0.3,6879,4823,0.7011193487425498,0.9925357661206717,0.9896840952634495,0.9946034355310144,0.9897058680918706,3,0.8874144723201327,0.8781835947687561,0.8960286768748794,0.854782846670569,3,0.8274483677548301,0.13492302142130153,0.10512129380053903
