section,level,stratum_type,stratum,metric,value,n
performance,category,overall,all,micro_precision,0.8952,133744
performance,category,overall,all,macro_precision,0.8491,133744
performance,L1,overall,all,micro_precision,0.5866,133744
performance,L1,overall,all,macro_precision,0.5595,133744
performance,specific,overall,all,micro_precision,0.3813,133744
performance,specific,overall,all,macro_precision,0.2255,133744
performance,category,overall,all,n_distinct_labels,3,133744
performance,L1,overall,all,n_distinct_labels,28,133744
performance,specific,overall,all,n_distinct_labels,6181,133744
performance,L1,reference_frequency_tercile,common,precision,0.6004039238315061,124776
performance,L1,reference_frequency_tercile,mid,precision,0.4043608826217522,7659
performance,L1,reference_frequency_tercile,rare,precision,0.2975352112676056,1136
performance,L1,reference_frequency_tercile,unseen,precision,NA,173
performance,category,reference_frequency_tercile,common,precision,0.8974241841379752,124776
performance,category,reference_frequency_tercile,mid,precision,0.8672150411280846,7659
performance,category,reference_frequency_tercile,rare,precision,0.8573943661971831,1136
performance,category,reference_frequency_tercile,unseen,precision,0.815028901734104,173
performance,specific,reference_frequency_tercile,common,precision,0.39898698467654037,124776
performance,specific,reference_frequency_tercile,mid,precision,0.15028071549810681,7659
performance,specific,reference_frequency_tercile,rare,precision,0.05369718309859155,1136
performance,specific,reference_frequency_tercile,unseen,precision,0.011560693641618497,173
performance,category,identity_to_training,0%-30%,precision,0.8043,1170
performance,L1,identity_to_training,0%-30%,precision,0.5377,1170
performance,specific,identity_to_training,0%-30%,precision,0.3419,1170
performance,category,identity_to_training,30%-40%,precision,0.8492,4158
performance,L1,identity_to_training,30%-40%,precision,0.5529,4158
performance,specific,identity_to_training,30%-40%,precision,0.342,4158
performance,category,identity_to_training,40%-50%,precision,0.8607,15862
performance,L1,identity_to_training,40%-50%,precision,0.5512,15862
performance,specific,identity_to_training,40%-50%,precision,0.3193,15862
performance,category,identity_to_training,50%-60%,precision,0.8741,30168
performance,L1,identity_to_training,50%-60%,precision,0.5501,30168
performance,specific,identity_to_training,50%-60%,precision,0.3221,30168
performance,category,identity_to_training,60%-70%,precision,0.8999,32464
performance,L1,identity_to_training,60%-70%,precision,0.5521,32464
performance,specific,identity_to_training,60%-70%,precision,0.3443,32464
performance,category,identity_to_training,70%-80%,precision,0.9201,23540
performance,L1,identity_to_training,70%-80%,precision,0.585,23540
performance,specific,identity_to_training,70%-80%,precision,0.3894,23540
performance,category,identity_to_training,80%-90%,precision,0.925,11901
performance,L1,identity_to_training,80%-90%,precision,0.6469,11901
performance,specific,identity_to_training,80%-90%,precision,0.4659,11901
performance,category,identity_to_training,90%-101%,precision,0.9226,14481
performance,L1,identity_to_training,90%-101%,precision,0.7452,14481
performance,specific,identity_to_training,90%-101%,precision,0.5873,14481
performance,specific,overall,all,expected_calibration_error,0.0077,NA
performance,L1,overall,all,expected_calibration_error,0.0055,NA
performance,category,overall,all,expected_calibration_error,0.0057,NA
performance,specific,operating_point,target_0.90_tier1_cluster,min_seq_id,0.5,41957
performance,specific,operating_point,target_0.90_tier1_cluster,p_threshold,NA,41957
performance,specific,operating_point,target_0.90_tier1_cluster,coverage,0.5796410610863503,41957
performance,specific,operating_point,target_0.90_tier1_cluster,precision,0.9501644736842105,41957
performance,specific,operating_point,target_0.90_tier2_embedding,min_seq_id,0.5,41957
performance,specific,operating_point,target_0.90_tier2_embedding,p_threshold,0.7774798927613943,41957
performance,specific,operating_point,target_0.90_tier2_embedding,coverage,0.055366208260838476,41957
performance,specific,operating_point,target_0.90_tier2_embedding,precision,0.8945329315540249,41957
performance,L1,operating_point,target_0.90_tier1_cluster,min_seq_id,0.3,41957
performance,L1,operating_point,target_0.90_tier1_cluster,p_threshold,NA,41957
performance,L1,operating_point,target_0.90_tier1_cluster,coverage,0.8902924422623162,41957
performance,L1,operating_point,target_0.90_tier1_cluster,precision,0.9455747711088505,41957
performance,L1,operating_point,target_0.90_tier2_embedding,min_seq_id,0.3,41957
performance,L1,operating_point,target_0.90_tier2_embedding,p_threshold,0.851258581235698,41957
performance,L1,operating_point,target_0.90_tier2_embedding,coverage,0.011035107371833067,41957
performance,L1,operating_point,target_0.90_tier2_embedding,precision,0.9157667386609071,41957
performance,category,operating_point,target_0.90_tier1_cluster,min_seq_id,0.3,41957
performance,category,operating_point,target_0.90_tier1_cluster,p_threshold,NA,41957
performance,category,operating_point,target_0.90_tier1_cluster,coverage,0.8928903401101127,41957
performance,category,operating_point,target_0.90_tier1_cluster,precision,0.9942343111870379,41957
performance,category,operating_point,target_0.90_tier2_embedding,min_seq_id,0.3,41957
performance,category,operating_point,target_0.90_tier2_embedding,p_threshold,0.9129392971246006,41957
performance,category,operating_point,target_0.90_tier2_embedding,coverage,0.028815215577853517,41957
performance,category,operating_point,target_0.90_tier2_embedding,precision,0.8866832092638545,41957
