stratum,ident_lo,ident_hi,method,n_report,n_assigned,coverage,precision,lo,hi,recall
< 50%,0,0.5,cluster_only,6879,4824,0.7012647187091147,0.9409203980099502,0.9339094883208976,0.9472296111889122,0.659834278238116
< 50%,0,0.5,embedding_only,6879,5878,0.8544846634685274,0.8298741068390609,0.8200535981722515,0.8392637149631447,0.7091146969036197
< 50%,0,0.5,tiered,6879,5402,0.7852885593836313,0.9200296186597556,0.9124941120542155,0.9269681466993521,0.7224887338275913
50-90%,0.5,0.9,cluster_only,30434,28213,0.9270224091476638,0.9405593166270868,0.9377397787292963,0.9432588940633382,0.8719195636459223
50-90%,0.5,0.9,embedding_only,30434,27643,0.9082933561148715,0.8691169554679304,0.8650896302281279,0.8730417012003417,0.7894131563383059
50-90%,0.5,0.9,tiered,30434,28785,0.9458171781560097,0.9359388570435991,0.9330515291946714,0.9387098410162095,0.8852270486955379
>= 90%,0.9,1,cluster_only,4644,4456,0.9595176571920758,0.9692549371633752,0.9637681921588461,0.9739332723954106,0.9300172265288544
>= 90%,0.9,1,embedding_only,4644,4229,0.9106373815676141,0.882951052258217,0.8729124301672415,0.8922945645854088,0.8040482342807924
>= 90%,0.9,1,tiered,4644,4510,0.97114556416882,0.9665188470066519,0.9608588753901379,0.9713847372346383,0.9386304909560723
All,0,1,cluster_only,41957,37493,0.8936053578663871,0.9440162163603872,0.9416433717544687,0.9462980808931057,0.8435779488523965
All,0,1,embedding_only,41957,37750,0.8997306766451367,0.8645562913907284,0.8610671499390214,0.8679712428056257,0.7778678170507901
All,0,1,tiered,41957,38697,0.9223014038181948,0.9372819598418483,0.9348225512187606,0.939654555759709,0.8644564673356055
