level,reachable_by,n,pct_of_slice,tier1_precision,tier2_precision
specific,both,6888,16.41680768405749,0.9824332171893148,0.9234901277584204
specific,cluster_only,17432,41.54729842457754,0.937413951353832,0.2440339605323543
specific,embedding_only,2826,6.735467264103725,0,0.8492569002123143
specific,neither,14811,35.300426627261245,0,0.18148673283370467
L1,both,12899,30.74338012727316,0.9739514691061323,0.9103031242731995
L1,cluster_only,24455,58.285864098958456,0.9306072377836844,0.42281741975056225
L1,embedding_only,899,2.142669876301928,0,0.8197997775305895
L1,neither,3704,8.828085897466453,0,0.39011879049676024
category,both,34157,81.40953833686869,0.9942617911409082,0.9114676347454401
category,cluster_only,3306,7.879495674142574,0.9939503932244405,0.7664851784633999
category,embedding_only,3581,8.534928617393998,0,0.8101089081262217
category,neither,913,2.176037371594728,0,0.6812705366922235
