target,level,n,rate_heldout,realized_precision
0.5,specific,38660,0.9214195485854565,0.846456285566477
0.5,L1,2693,0.06418476058822127,0.43594504270330486
0.5,category,602,0.014348022975903901,0.6926910299003323
0.5,unassigned,2,4.766785041828539e-5,NA
0.6,specific,38191,0.9102414376623686,0.8541017517216098
0.6,L1,1731,0.041256524537026,0.561525129982669
0.6,category,2033,0.0484543699501871,0.7304476143630103
0.6,unassigned,2,4.766785041828539e-5,NA
0.7,specific,37870,0.9025907476702338,0.8580406654343807
0.7,L1,1189,0.028338537073670664,0.6812447434819175
0.7,category,2896,0.06902304740567725,0.7372237569060773
0.7,unassigned,2,4.766785041828539e-5,NA
0.75,specific,37736,0.8993970016922087,0.8595505617977528
0.75,L1,877,0.020902352408418142,0.7571265678449259
0.75,category,3342,0.07965297804895488,0.7471573907839617
0.75,unassigned,2,4.766785041828539e-5,NA
0.8,specific,37570,0.895440570107491,0.8610859728506788
0.8,L1,775,0.01847129203708559,0.8025806451612904
0.8,category,2545,0.060657339657268154,0.7827111984282907
0.8,unassigned,1067,0.025430798198155254,NA
0.85,specific,37485,0.8934146864647139,0.8617313592103508
0.85,L1,660,0.015730390638034178,0.8454545454545455
0.85,category,1641,0.03911147126820316,0.8129189518586228
0.85,unassigned,2171,0.05174345162904879,NA
0.9,specific,26643,0.6350072693471888,0.9453139661449537
0.9,L1,11248,0.268083990752437,0.9245199146514936
0.9,category,806,0.019210143718569012,0.8498759305210918
0.9,unassigned,3260,0.07769859618180518,NA
0.95,specific,25795,0.6147961007698358,0.9501066098081024
0.95,L1,1203,0.02867221202659866,0.8935993349958438
0.95,category,11183,0.26653478561384275,0.9891800053652866
0.95,unassigned,3776,0.08999690158972282,NA
0.99,specific,7305,0.17410682365278737,0.9872689938398357
0.99,L1,5640,0.13442333817956478,0.9833333333333333
0.99,category,24824,0.5916533593917582,0.9937963261359974
0.99,unassigned,4188,0.0998164787758896,NA
