level,bin_mid,confidence,accuracy,n
specific,0.025,0.03557641345237062,0.03125574554145983,5439
specific,0.07500000000000001,0.06330283512395524,0.06780595369349504,7256
specific,0.125,0.11847426971063416,0.13221223543055957,3449
specific,0.17500000000000002,0.17824416390925876,0.17946959304983998,4374
specific,0.225,0.22068758180190182,0.25968992248062017,516
specific,0.275,0.2774188979540643,0.2652986441920117,2729
specific,0.32500000000000007,0.32483209114637634,0.328125,832
specific,0.375,0.3706950909694709,0.36069651741293535,1608
specific,0.42500000000000004,0.4141622597022627,0.41611996251171507,1067
specific,0.475,0.46162114138763327,0.491790461297889,1279
specific,0.525,0.5130133405820811,0.5404411764705882,1088
specific,0.5750000000000001,0.5700736883464408,0.5168539325842697,89
specific,0.625,0.6282852120630901,0.6276130286825474,2057
specific,0.675,0.6839666542376612,0.7007633587786259,655
specific,0.7250000000000001,0.7118271819065001,0.7178502879078695,1042
specific,0.775,0.7785726401674269,0.8019925280199253,803
specific,0.8250000000000001,0.8349815568255576,0.8230088495575221,565
specific,0.875,0.8795063394386764,0.8744365743721829,1553
specific,0.925,0.9300620413207431,0.9315992292870906,1038
specific,0.9750000000000001,0.98161319873834,0.9849490925188137,4518
L1,0.17500000000000002,0.19346884296492353,0.2080808080808081,990
L1,0.225,0.23864918454033573,0.24685138539042822,1985
L1,0.275,0.2714397879974015,0.2736879182810849,2839
L1,0.32500000000000007,0.3167657885267879,0.319634703196347,4599
L1,0.375,0.3740666830423467,0.3788691704498556,4846
L1,0.42500000000000004,0.42519804625303037,0.4257191201353638,2955
L1,0.475,0.489222513172625,0.48402215594375797,2347
L1,0.525,0.5126692392990486,0.5293706293706294,1430
L1,0.5750000000000001,0.5574902044923089,0.5598678777869529,2422
L1,0.625,0.6193089696058972,0.622097678142514,1249
L1,0.675,0.6610109458756374,0.6773667029379761,1838
L1,0.7250000000000001,0.7208464424751199,0.7282204020848846,1343
L1,0.775,0.7629077466544816,0.7710651828298887,1887
L1,0.8250000000000001,0.8165651349842271,0.82924168030551,1833
L1,0.875,0.873251198780956,0.88604898828541,1878
L1,0.925,0.9292739638028158,0.9302949061662198,1492
L1,0.9750000000000001,0.9867115138163655,0.9878818061088978,6024
category,0.025,0,0.25,4
category,0.07500000000000001,0.07152514124714264,0,1
category,0.275,0.25,0,1
category,0.375,0.3888888888888889,0.5625,16
category,0.525,0.5125861805890151,0.6382978723404256,47
category,0.5750000000000001,0.5859302436590887,0.5384615384615384,234
category,0.625,0.6182844600587926,0.6627218934911243,169
category,0.675,0.6538362250219382,0.7015873015873015,315
category,0.7250000000000001,0.734008938056674,0.7465475223395613,1231
category,0.775,0.7780093156831349,0.7903802404939877,3077
category,0.8250000000000001,0.8276190105280925,0.8244077691703154,8907
category,0.875,0.8716188760595786,0.8789614356624665,10476
category,0.925,0.9240107687350341,0.9283923098356088,7178
category,0.9750000000000001,0.9832217685896503,0.9829142801669741,10301
