identity_band,d1_bin,d1_lo,d1_hi,n,specific,L1,category
0%-30%,Q3,40.8,78.3,87,0.3103,0.5172,0.7586
0%-30%,Q4,78.3,129.8,125,0.336,0.528,0.784
0%-30%,Q5,129.8,350.7,192,0.2031,0.3906,0.7083
30%-50%,Q1,0,20.3,896,0.423,0.6395,0.8873
30%-50%,Q2,20.3,40.8,1106,0.3508,0.5841,0.8816
30%-50%,Q3,40.8,78.3,1212,0.3069,0.566,0.8746
30%-50%,Q4,78.3,129.8,1405,0.3139,0.5473,0.8448
30%-50%,Q5,129.8,350.7,1792,0.236,0.4565,0.808
50%-70%,Q1,0,20.3,4094,0.4143,0.6422,0.9245
50%-70%,Q2,20.3,40.8,3983,0.3595,0.585,0.8986
50%-70%,Q3,40.8,78.3,3843,0.3203,0.5475,0.8787
50%-70%,Q4,78.3,129.8,3737,0.2994,0.5194,0.8716
50%-70%,Q5,129.8,350.7,3740,0.2476,0.4307,0.8321
70%-90%,Q1,0,20.3,2259,0.5321,0.7016,0.9526
70%-90%,Q2,20.3,40.8,2358,0.4478,0.6349,0.9321
70%-90%,Q3,40.8,78.3,2312,0.4066,0.593,0.9113
70%-90%,Q4,78.3,129.8,2211,0.37,0.5694,0.9077
70%-90%,Q5,129.8,350.7,1897,0.2836,0.4776,0.8619
90%-101%,Q1,0,20.3,1127,0.724,0.8731,0.9627
90%-101%,Q2,20.3,40.8,895,0.5989,0.752,0.9162
90%-101%,Q3,40.8,78.3,938,0.5586,0.6983,0.8913
90%-101%,Q4,78.3,129.8,913,0.4863,0.6451,0.8927
90%-101%,Q5,129.8,350.7,771,0.3774,0.5447,0.8016
