dataset	target	auprc	auroc
Equal viral/nonviral	viral	0.9891639351844788	0.9933624267578125
Equal viral/MGE/host	viral	0.9809445142745972	0.9934144616127014
Half viral/host	viral	0.9937905669212341	0.9956790804862976
Host enriched	viral	0.9749044179916382	0.9948155283927917
Training distribution	viral	0.9890069365501404	0.9949527382850647
MGE enriched	viral	0.7146849632263184	0.9498468637466431
Near all host	viral	0.9372482299804688	0.9891248941421509
Near all virus	viral	0.997765064239502	0.9913076162338257
Integrated proviruses	viral	0.9810872673988342	0.9822981357574463
Virus enriched	viral	0.9949546456336975	0.9933156967163086
Equal viral/nonviral	AVG (AND gate)	0.7387460470199585	0.9366550445556641
Equal viral/MGE/host	AVG (AND gate)	0.7264442443847656	0.9387263059616089
Half viral/host	AVG (AND gate)	0.7478620409965515	0.9363397359848022
Host enriched	AVG (AND gate)	0.7098987102508545	0.9342396259307861
Training distribution	AVG (AND gate)	0.7445059418678284	0.9385627508163452
MGE enriched	AVG (AND gate)	0.5013344287872314	0.8726251125335693
Near all host	AVG (AND gate)	0.5955183506011963	0.9001517295837402
Near all virus	AVG (AND gate)	0.7628182172775269	0.9374693632125854
Integrated proviruses	AVG (AND gate)	0.5653527975082397	0.9170259833335876
Virus enriched	AVG (AND gate)	0.7600748538970947	0.935728132724762
Equal viral/nonviral	AVG	0.8340775966644287	0.9606693983078003
Equal viral/MGE/host	AVG	0.8341043591499329	0.9584242105484009
Half viral/host	AVG	0.8461750745773315	0.9637026190757751
Host enriched	AVG	0.8508977293968201	0.9594881534576416
Training distribution	AVG	0.8458587527275085	0.9615597128868103
MGE enriched	AVG	0.8243959546089172	0.9503030180931091
Near all host	AVG	0.8572937846183777	0.9570948481559753
Near all virus	AVG	0.818216860294342	0.9603142142295837
Integrated proviruses	AVG	0.8333033323287964	0.9627149105072021
Virus enriched	AVG	0.8320295214653015	0.9610350131988525
