dataset	target	confidence	precision	recall	fpr	tpr
Equal viral/nonviral	viral	Very High Confidence	0.9780113510257142	0.9828833326252283	0.021601108867304507	0.9828833326252283
Equal viral/nonviral	viral	High Confidence	0.9429372022476997	0.9954433445213918	0.058885214583473934	0.9954433445213918
Equal viral/nonviral	viral	Medium Confidence	0.9228888877959049	0.996510812762884	0.08138961423254028	0.996510812762884
Equal viral/nonviral	viral	Low Confidence	0.49431252871300124	1.0	1.0	1.0
Equal viral/MGE/host	viral	Very High Confidence	0.9590078080365645	0.9823617387911695	0.020081008170785748	0.9823617387911695
Equal viral/MGE/host	viral	High Confidence	0.8970519213845702	0.9942614689339012	0.05456778797938257	0.9942614689339012
Equal viral/MGE/host	viral	Medium Confidence	0.8593600898119562	0.9955132165035602	0.07791400073078389	0.9955132165035602
Equal viral/MGE/host	viral	Low Confidence	0.32351440757745487	1.0	1.0	1.0
Half viral/host	viral	Very High Confidence	0.9886668358023938	0.9821723678081711	0.011056283973244357	0.9821723678081711
Half viral/host	viral	High Confidence	0.9631799525002239	0.9949688303567441	0.037351379294139765	0.9949688303567441
Half viral/host	viral	Medium Confidence	0.9481688891858322	0.9960694984144	0.053470557826965553	0.9960694984144
Half viral/host	viral	Low Confidence	0.4954641805412634	1.0	1.0	1.0
Host enriched	viral	Very High Confidence	0.9518572825024438	0.9743308510843003	0.009866963587398334	0.9743308510843003
Host enriched	viral	High Confidence	0.8639050282135861	0.9928034020281321	0.03131537682091904	0.9928034020281321
Host enriched	viral	Medium Confidence	0.8062211406464496	0.994477476957417	0.047859204093190985	0.994477476957417
Host enriched	viral	Low Confidence	0.16682288891314256	1.0	1.0	1.0
Training distribution	viral	Very High Confidence	0.9784715356037319	0.9810617418011199	0.013689900036833043	0.9810617418011199
Training distribution	viral	High Confidence	0.9381824388702914	0.9947542294362822	0.04156994423648527	0.9947542294362822
Training distribution	viral	Medium Confidence	0.9134723767102757	0.9960346080393729	0.05983742065905451	0.9960346080393729
Training distribution	viral	Low Confidence	0.3880868166865496	1.0	1.0	1.0
MGE enriched	viral	Very High Confidence	0.6704332488149046	0.8221576314722184	0.031707562829127046	0.8221576314722184
MGE enriched	viral	High Confidence	0.4731570373964579	0.9228065431931864	0.08061325682648608	0.9228065431931864
MGE enriched	viral	Medium Confidence	0.40091631386649657	0.9345680681357307	0.10956317913526757	0.9345680681357307
MGE enriched	viral	Low Confidence	0.0727474786217613	1.0	1.0	1.0
Near all host	viral	Very High Confidence	0.9001117630623079	0.9433105911979152	0.005664209799162172	0.9433105911979152
Near all host	viral	High Confidence	0.7030057001030646	0.9786829082603731	0.02237164821375381	0.9786829082603731
Near all host	viral	Medium Confidence	0.5971935323028705	0.9819917425551228	0.03583900018378974	0.9819917425551228
Near all host	viral	Low Confidence	0.05133118996192735	1.0	1.0	1.0
Near all virus	viral	Very High Confidence	0.9958153842785438	0.9857257413457735	0.029728862661987304	0.9857257413457735
Near all virus	viral	High Confidence	0.9890647303920579	0.9958049554894535	0.0790177226019074	0.9958049554894535
Near all virus	viral	Medium Confidence	0.9855880375353937	0.9967355320405499	0.10460515442870615	0.9967355320405499
Near all virus	viral	Low Confidence	0.8777063778436955	1.0	1.0	1.0
Integrated proviruses	viral	Very High Confidence	0.9664980732177264	0.9448342437370503	0.04242405758204221	0.9448342437370503
Integrated proviruses	viral	High Confidence	0.8927506601925207	0.9870032021096251	0.15359277784555325	0.9870032021096251
Integrated proviruses	viral	Medium Confidence	0.8690842930096967	0.9897108683367866	0.19311943393924608	0.9897108683367866
Integrated proviruses	viral	Low Confidence	0.5643369651873505	1.0	1.0	1.0
Virus enriched	viral	Very High Confidence	0.9896433110226214	0.9858579106573759	0.023644100580270794	0.9858579106573759
Virus enriched	viral	High Confidence	0.9722321110715557	0.9957462323772485	0.06517601547388781	0.9957462323772485
Virus enriched	viral	Medium Confidence	0.9629657412722434	0.9967759142224383	0.08785299806576402	0.9967759142224383
Virus enriched	viral	Low Confidence	0.6962097316303842	1.0	1.0	1.0
Equal viral/nonviral	AVG	Very High Confidence	0.9128722755254839	0.5502808237496657	0.0044756177121645065	0.5502808237496657
Equal viral/nonviral	AVG	High Confidence	0.7068411886361162	0.8683805830435946	0.030691170982271313	0.8683805830435946
Equal viral/nonviral	AVG	Medium Confidence	0.5028173032345494	0.9427320139074619	0.07943580437191784	0.9427320139074619
Equal viral/nonviral	AVG	Low Confidence	0.07852464395878454	1.0	1.0	1.0
Equal viral/MGE/host	AVG	Very High Confidence	0.9117399044317437	0.5292901822137612	0.005484460694698354	0.5292901822137612
Equal viral/MGE/host	AVG	High Confidence	0.7006518100942483	0.8653249932009791	0.039573120320450864	0.8653249932009791
Equal viral/MGE/host	AVG	Medium Confidence	0.500115174200979	0.944737557791678	0.10107826127458401	0.944737557791678
Equal viral/MGE/host	AVG	Low Confidence	0.0966903856571107	1.0	1.0	1.0
Half viral/host	AVG	Very High Confidence	0.9163234855267084	0.5662806137503689	0.004847797485161833	0.5662806137503689
Half viral/host	AVG	High Confidence	0.7115761740093711	0.8766228976099144	0.03331045440321435	0.8766228976099144
Half viral/host	AVG	Medium Confidence	0.5088248082852399	0.9495610799645913	0.08593084108594813	0.9495610799645913
Half viral/host	AVG	Low Confidence	0.08571189208243035	1.0	1.0	1.0
Host enriched	AVG	Very High Confidence	0.9179188345473465	0.5510357062542165	0.007263324996961337	0.5510357062542165
Host enriched	AVG	High Confidence	0.7129079968393541	0.879213412958197	0.05219133631183679	0.879213412958197
Host enriched	AVG	Medium Confidence	0.508512055414946	0.9538492291546938	0.13589636870582428	0.9538492291546938
Host enriched	AVG	Low Confidence	0.12846925738792123	1.0	1.0	1.0
Training distribution	AVG	Very High Confidence	0.9162982243457177	0.5567145425792336	0.005449189643405958	0.5567145425792336
Training distribution	AVG	High Confidence	0.7114297786932868	0.8753818158185481	0.038046834015014	0.8753818158185481
Training distribution	AVG	Medium Confidence	0.5072865020156619	0.9486579580165074	0.09873072762640495	0.9486579580165074
Training distribution	AVG	Low Confidence	0.09678190368564174	1.0	1.0	1.0
MGE enriched	AVG	Very High Confidence	0.9086817210863595	0.5199039720646006	0.0066333796986439535	0.5199039720646006
MGE enriched	AVG	High Confidence	0.6966559097840349	0.8574858140549978	0.04740345024411059	0.8574858140549978
MGE enriched	AVG	Medium Confidence	0.48863558645845206	0.9355739851593191	0.12430521304952591	0.9355739851593191
MGE enriched	AVG	Low Confidence	0.1126568024350785	1.0	1.0	1.0
Near all host	AVG	Very High Confidence	0.9213588771110895	0.5628205382071643	0.00859818715056574	0.5628205382071643
Near all host	AVG	High Confidence	0.7144472966468796	0.881794419912477	0.0630811352017083	0.881794419912477
Near all host	AVG	Medium Confidence	0.5080702049926826	0.9555454347438664	0.16559484675840191	0.9555454347438664
Near all host	AVG	Low Confidence	0.15181262184224725	1.0	1.0	1.0
Near all virus	AVG	Very High Confidence	0.9002426225808272	0.5837907061836809	0.0021725640064636236	0.5837907061836809
Near all virus	AVG	High Confidence	0.7005184417123389	0.8652030735455544	0.012422199966821704	0.8652030735455544
Near all virus	AVG	Medium Confidence	0.5187645639998365	0.928613245517746	0.028930245703717813	0.928613245517746
Near all virus	AVG	Low Confidence	0.03249258424828947	1.0	1.0	1.0
Integrated proviruses	AVG	Very High Confidence	0.9053092501368364	0.5303831970498637	0.005012821813018849	0.5303831970498637
Integrated proviruses	AVG	High Confidence	0.6955914115106085	0.8778258778258778	0.03471306665893977	0.8778258778258778
Integrated proviruses	AVG	Medium Confidence	0.49898734177215187	0.948051948051948	0.08601480665865001	0.948051948051948
Integrated proviruses	AVG	Low Confidence	0.08287270794578794	1.0	1.0	1.0
Virus enriched	AVG	Very High Confidence	0.9119236437644747	0.5689889214870605	0.00311707536367949	0.5689889214870605
Virus enriched	AVG	High Confidence	0.706337877382057	0.8667075360161142	0.02043857622925779	0.8667075360161142
Virus enriched	AVG	Medium Confidence	0.5078048896386229	0.9358935061522967	0.05145285516652137	0.9358935061522967
Virus enriched	AVG	Low Confidence	0.05367627356871889	1.0	1.0	1.0
Equal viral/nonviral	AVG (and gate)	Very High Confidence	0.9016018306636155	0.4256391789701116	0.00034113627468610174	0.4256391789701116
Equal viral/nonviral	AVG (and gate)	High Confidence	0.7427536231884058	0.7382066978754052	0.001877571744396374	0.7382066978754052
Equal viral/nonviral	AVG (and gate)	Medium Confidence	0.5705939629990263	0.8440763413755852	0.004664840221289019	0.8440763413755852
Equal viral/nonviral	AVG (and gate)	Low Confidence	0.007290148979457898	1.0	1.0	1.0
Equal viral/MGE/host	AVG (and gate)	Very High Confidence	0.9075	0.42655699177438305	0.00019546520719311962	0.42655699177438305
Equal viral/MGE/host	AVG (and gate)	High Confidence	0.712	0.7320799059929495	0.0013312765462882741	0.7320799059929495
Equal viral/MGE/host	AVG (and gate)	Medium Confidence	0.5294985250737463	0.8437132784958872	0.0033704541132219008	0.8437132784958872
Equal viral/MGE/host	AVG (and gate)	Low Confidence	0.004475578906402024	1.0	1.0	1.0
Half viral/host	AVG (and gate)	Very High Confidence	0.9197886647454371	0.41351759879075795	0.00026592356687898087	0.41351759879075795
Half viral/host	AVG (and gate)	High Confidence	0.7620876638047899	0.7283524076873246	0.001676751592356688	0.7283524076873246
Half viral/host	AVG (and gate)	Medium Confidence	0.587636695018226	0.8354567048153746	0.004323248407643312	0.8354567048153746
Half viral/host	AVG (and gate)	Low Confidence	0.007320223005195762	1.0	1.0	1.0
Host enriched	AVG (and gate)	Very High Confidence	0.9010989010989011	0.4125786163522013	0.00011585732813691762	0.4125786163522013
Host enriched	AVG (and gate)	High Confidence	0.7006134969325153	0.7182389937106918	0.0007852552240391082	0.7182389937106918
Host enriched	AVG (and gate)	Medium Confidence	0.5011494252873563	0.8226415094339623	0.0020950866838092604	0.8226415094339623
Host enriched	AVG (and gate)	Low Confidence	0.002551986697568711	1.0	1.0	1.0
Training distribution	AVG (and gate)	Very High Confidence	0.9156965074267363	0.42524235645041014	0.00022138960986933795	0.42524235645041014
Training distribution	AVG (and gate)	High Confidence	0.7390412236523036	0.738627889634601	0.00147487649622478	0.738627889634601
Training distribution	AVG (and gate)	Medium Confidence	0.561145703611457	0.8400447427293065	0.003715128500854986	0.8400447427293065
Training distribution	AVG (and gate)	Low Confidence	0.005623124838822624	1.0	1.0	1.0
MGE enriched	AVG (and gate)	Very High Confidence	0.8058252427184466	0.27946127946127947	0.00019727075904856314	0.27946127946127947
MGE enriched	AVG (and gate)	High Confidence	0.5491143317230274	0.5740740740740741	0.001380895313339942	0.5740740740740741
MGE enriched	AVG (and gate)	Medium Confidence	0.36108676599474143	0.6936026936026936	0.003595259583660063	0.6936026936026936
MGE enriched	AVG (and gate)	Low Confidence	0.0029209140395651083	1.0	1.0	1.0
Near all host	AVG (and gate)	Very High Confidence	0.9041095890410958	0.308411214953271	0.00003159486357789262	0.308411214953271
Near all host	AVG (and gate)	High Confidence	0.6121794871794872	0.5950155763239875	0.00036409318980238167	0.5950155763239875
Near all host	AVG (and gate)	Medium Confidence	0.36736272235112144	0.7398753894080997	0.0012306951622245792	0.7398753894080997
Near all host	AVG (and gate)	Low Confidence	0.000964968052342753	1.0	1.0	1.0
Near all virus	AVG (and gate)	Very High Confidence	0.9219474497681608	0.4418927678488749	0.0004865617427581788	0.4418927678488749
Near all virus	AVG (and gate)	High Confidence	0.7692162059825823	0.7524770812112233	0.002936231507040693	0.7524770812112233
Near all virus	AVG (and gate)	Medium Confidence	0.6184771573604061	0.846189461987221	0.006788981544375876	0.846189461987221
Near all virus	AVG (and gate)	Low Confidence	0.0128389102560292	1.0	1.0	1.0
Integrated proviruses	AVG (and gate)	Very High Confidence	0.8951612903225806	0.16517857142857142	0.00017429077063334583	0.16517857142857142
Integrated proviruses	AVG (and gate)	High Confidence	0.6435452793834296	0.49702380952380953	0.0024802917359360755	0.49702380952380953
Integrated proviruses	AVG (and gate)	Medium Confidence	0.36330409356725146	0.7395833333333334	0.011677481632434171	0.7395833333333334
Integrated proviruses	AVG (and gate)	Low Confidence	0.00892904597395695	1.0	1.0	1.0
Virus enriched	AVG (and gate)	Very High Confidence	0.9340875553369404	0.438568129330254	0.0003181930434452233	0.438568129330254
Virus enriched	AVG (and gate)	High Confidence	0.7594876660341556	0.7394919168591224	0.0024078190003989286	0.7394919168591224
Virus enriched	AVG (and gate)	Medium Confidence	0.5916938110749186	0.8390300230946882	0.005953059402366977	0.8390300230946882
Virus enriched	AVG (and gate)	Low Confidence	0.01017726779141537	1.0	1.0	1.0
