level,category,soil,gut,tot,soil_rate,gut_rate,odds_ratio_soil_gut,log2_OR,p,fdr_q,one_biome_only,enrichment,or_cmh_genecount,log2_OR_cmh_genecount,p_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,degenerate_estimate_genecount,n_strata_genecount,L1_group,n_L1_parents
L2,3HP / 4HB / DC4HB cycle,240,181,421,0.31258710109327337,0.7603955737415663,0.4109007061077326,-1.283138285196471,2.8970607547080583e-18,6.759808427652136e-18,FALSE,gut-enriched,0.6055328655274196,-0.723722830018676,1.2091851375230081e-7,2.1545480632228146e-7,gut-enriched,FALSE,5,Carbon fixation & C1 metabolism,1
L2,ABC transporters,40,120,160,0.05209785018221223,0.5041296621491047,0.10329544753950741,-3.2751514220677724,1.50742682538174e-42,6.714901313064115e-42,FALSE,gut-enriched,0.14794751480115437,-2.7568426323140507,3.224474825880359e-34,1.3166605539011464e-33,gut-enriched,FALSE,5,Metabolic substrate transport,1
L2,ABC-type transport,556,889,1445,0.72416011753275,3.7347605804212844,0.19331316299251156,-2.3709882186549778,4.2347762441337463e-206,5.9286867417872445e-205,FALSE,gut-enriched,0.288293601977176,-1.7943892750445627,3.9339278513588343e-135,3.212707745276381e-134,gut-enriched,FALSE,5,Metabolic substrate transport,1
L2,Alanine / aspartate / glutamate metabolism,707,1036,1743,0.9208295019706012,4.352319416553938,0.21084545610246355,-2.2457421642310913,5.320344464129172e-223,8.689895958077646e-222,FALSE,gut-enriched,0.2990571115048081,-1.7415070699397417,1.6242591434781726e-147,1.7686377340095658e-146,gut-enriched,FALSE,5,Amino acid metabolism,1
L2,Aliphatic hydrocarbon degradation,68,36,104,0.08856634530976079,0.15123889864473142,0.5855688908919392,-0.7720891842778459,0.010966985529354312,0.013434557273459033,FALSE,gut-enriched,0.7358621407656265,-0.44249258331011,0.17198776477769362,0.2106850118526747,not different,FALSE,5,Aromatic & xenobiotic degradation,1
L2,Alkaloid biosynthesis,166,79,245,0.21620607825618077,0.3318853609148273,0.6513726959442947,-0.6184448483671628,0.002535523761718844,0.0033130843819792893,FALSE,gut-enriched,0.9366047103348176,-0.09448780128814407,0.6743044006578247,0.7324411115076647,not different,FALSE,5,Secondary metabolite metabolism,1
L2,Amino-acid / peptide transport,146,49,195,0.19015715316507464,0.2058529453775511,0.9237379022267027,-0.11444452982270732,0.6139048248228707,0.6400284343898014,FALSE,not different,1.422308214205298,0.5082341308667643,0.03316978025523166,0.045783640352291585,not different,FALSE,4,Metabolic substrate transport,1
L2,Aminotransferase / transamination,4085,342,4427,5.320492949858424,1.4367695371249485,3.717552928291162,1.8943532826514937,8.613720967908441e-173,1.055180818568784e-171,FALSE,soil-enriched,5.2366357456622525,2.3886402560755724,3.88290204843773e-237,5.436062867812822e-236,soil-enriched,FALSE,5,Amino acid metabolism,1
L2,Ammonia assimilation (GS-GOGAT),497,212,709,0.647315788513987,0.8906290697967517,0.7266304322567494,-0.46070630586601286,1.4014475828613544e-4,2.1129517403140419e-4,FALSE,not different,1.0049193096003806,0.007079664276927402,0.9853030487940947,0.9853030487940947,not different,FALSE,5,Nitrogen metabolism,1
L2,Arginine / proline metabolism,731,276,1007,0.9520882120799286,1.159498222942941,0.8209504184033816,-0.28463300234054445,0.006022080236240002,0.0076644657552145485,FALSE,not different,1.2144060216034522,0.2802508494528917,0.006251050126504316,0.009723855752340048,not different,FALSE,5,Amino acid metabolism,1
L2,Aromatic / xenobiotic degradation (other),15,91,106,0.019536693818329585,0.38229832712973777,0.051084729204897844,-4.290964100038885,1.3023072804608727e-41,5.548961455876762e-41,FALSE,gut-enriched,0.07457769447125813,-3.745111992103978,2.6019536820792154e-33,1.0199658433750524e-32,gut-enriched,FALSE,4,Aromatic & xenobiotic degradation,1
L2,Aromatic amino acid metabolism (Phe / Tyr / Trp),1548,664,2212,2.0161868020516134,2.789517463891713,0.722212532851396,-0.4695046387026206,7.36588291084832e-12,1.503867760964865e-11,FALSE,not different,1.051947288705792,0.07306241544010394,0.28121950884762525,0.324229551377262,not different,FALSE,5,Amino acid metabolism,1
L2,Arsenic (As) cycling / detoxification,8,28,36,0.010419570036442446,0.11763025450145778,0.08856950093088664,-3.497046200145442,1.137058140395807e-11,2.274116280791614e-11,FALSE,gut-enriched,0.12393654407023254,-3.012326449981024,5.603045940423448e-10,1.0766637297284272e-9,gut-enriched,FALSE,4,Other inorganic element cycling,1
L2,BTEX / monoaromatic hydrocarbon degradation,39,14,53,0.050795403927656926,0.05881512725072889,0.8636383004892423,-0.21150086970592166,0.6289679207817765,0.6488300656485696,FALSE,not different,1.1335555815457814,0.18085513237073647,0.8053314447636085,0.8486288342670283,not different,FALSE,5,Aromatic & xenobiotic degradation,1
L2,Benzoate / aromatic carboxylic acid degradation,362,289,651,0.47148554414902066,1.2141122696757607,0.38804915573935356,-1.365688678945183,4.1385216994016715e-31,1.308306859810851e-30,FALSE,gut-enriched,0.5636498088557681,-0.8271289888926127,3.8450766758554377e-13,8.564034414405292e-13,gut-enriched,FALSE,5,Aromatic & xenobiotic degradation,1
L2,Bile / wax / mycolic / lipopolysaccharide,285,44,329,0.3711971825482622,0.18484754278800508,2.008500492329829,1.0061188150212765,4.827494270532514e-6,7.884907308536439e-6,FALSE,soil-enriched,2.9072956887289227,1.539677809337537,1.570643833964233e-12,3.2749594835849967e-12,soil-enriched,FALSE,5,Lipid & fatty acid metabolism,1
L2,Biotin metabolism,248,103,351,0.3230066711297158,0.43271129334464825,0.7463896351281504,-0.42199914279876594,0.014211545931676802,0.0169845305037113,FALSE,not different,1.062553943652977,0.08753608573515491,0.6488836759422305,0.7145011263184111,not different,FALSE,5,Cofactor & vitamin metabolism,1
L2,Branched-chain amino acid metabolism (Val/Leu/Ile),362,95,457,0.47148554414902066,0.3991026492013746,1.1814496563211883,0.24055815481053333,0.15263795363318097,0.16998317563695153,FALSE,not different,1.6329682293095207,0.7074967223977834,1.4742380265386983e-5,2.407922110013207e-5,soil-enriched,FALSE,5,Amino acid metabolism,1
L2,CAZy: auxiliary activity / LPMO (AA),51,0,51,0.0664247589823206,0,31.93489619797443,4.997061856032484,1.4165665928215735e-6,2.3529411202799017e-6,TRUE,soil-enriched,8.578194900674196,3.100674095064377,3.5352610458288902e-6,5.97337211191778e-6,soil-enriched,TRUE,5,Carbohydrate metabolism,1
L2,CAZy: carbohydrate esterase (CE),353,138,491,0.45976352785802294,0.5797491114714705,0.7929435826499096,-0.3347098719929811,0.022361523139482014,0.025781520796108674,FALSE,not different,1.2106605713192455,0.2757944383479521,0.05992792945796173,0.08045119297096233,not different,FALSE,5,Carbohydrate metabolism,1
L2,CAZy: polysaccharide lyase (PL),662,88,750,0.8622194205156124,0.36969508557601016,2.3333944233740094,1.222430192684309,1.675865220518208e-16,3.732608900245099e-16,FALSE,soil-enriched,3.2921806692798463,1.7190435105839346,1.957176391212645e-29,7.103825419957009e-29,soil-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Calvin-Benson-Bassham (CBB) cycle,392,267,659,0.5105589317856799,1.121688498281758,0.4548916704805863,-1.136405077198599,9.56201063249501e-22,2.5326406540121916e-21,FALSE,gut-enriched,0.6601675317950967,-0.5990959088716891,7.332938385833916e-8,1.3559018147391015e-7,gut-enriched,FALSE,5,Carbon fixation & C1 metabolism,1
L2,Carbohydrate metabolism (other),615,43,658,0.801004446551513,0.18064646227009587,4.436852758305332,2.1495366765776898,1.4220519827629676e-31,4.645369810359027e-31,FALSE,soil-enriched,6.5333894851468415,2.707831647934459,1.789382299019418e-42,8.76797326519515e-42,soil-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Cobalamin (B12) metabolism,1917,620,2537,2.496789469982521,2.604669921103708,0.9584782397090651,-0.06118241606663298,0.36175730268339623,0.39311593227605485,FALSE,not different,1.4103868659257353,0.49609094489265804,1.9488575634291945e-13,4.547334314668121e-13,not different,FALSE,5,Cofactor & vitamin metabolism,1
L2,Cysteine / methionine metabolism,680,3001,3681,0.885663453097608,12.607442634245528,0.06942507884849676,-3.8483992792103203,0,0,FALSE,gut-enriched,0.09901319396859909,-3.336235405948452,0,0,gut-enriched,FALSE,5,Amino acid metabolism,1
L2,D-amino acid metabolism,253,27,280,0.3295189024024924,0.11342917398354857,2.9056910135990774,1.5388812973104429,2.1691127452600522e-9,4.087943250682406e-9,FALSE,soil-enriched,4.317098016363756,2.11006184844371,4.676454902482912e-15,1.1457314511083134e-14,soil-enriched,FALSE,5,Amino acid metabolism,1
L2,Denitrification (NO3 → N2),908,205,1113,1.1826211991362177,0.8612215061713873,1.3736323753980266,0.45799594800229365,2.615222410560908e-5,4.0681237497614124e-5,FALSE,not different,2.046313343484081,1.0330270759130773,5.4888736947559895e-21,1.536884634531677e-20,soil-enriched,FALSE,5,Multiple L1 categories,2
L2,Fatty acid biosynthesis,2907,772,3679,3.786211261992274,3.2432341598259073,1.168054699321977,0.22410783636927314,1.096968781065888e-4,1.679733446007141e-4,FALSE,not different,1.690954329415968,0.7578376948662428,1.1865960328386455e-39,5.5374481532470126e-39,soil-enriched,FALSE,5,Lipid & fatty acid metabolism,1
L2,Fatty acid degradation (β-oxidation),172,214,386,0.2240207557835126,0.8990312308325701,0.2490119340306091,-2.0057132090028413,6.820588780728487e-41,2.7850737521307986e-40,FALSE,gut-enriched,0.34595661023977486,-1.5313369880001024,1.9272178975920934e-27,6.745262641572327e-27,gut-enriched,FALSE,5,Lipid & fatty acid metabolism,1
L2,Fermentation,720,371,1091,0.9377613032798202,1.5586008721443154,0.6012947729143561,-0.7338556777192794,1.3015600907092108e-14,2.834508641988948e-14,FALSE,gut-enriched,0.8641927867070579,-0.2105749058775438,0.022922766638730104,0.033528822844709705,not different,FALSE,5,Multiple L1 categories,2
L2,Folate / one-carbon pool metabolism,3632,1317,4949,4.730484796544871,5.532823042086425,0.8542964906104699,-0.22719123897777102,1.367701720128994e-6,2.310944285735197e-6,FALSE,not different,1.2340427962659575,0.30339242762351876,1.3407990806049763e-10,2.6815981612099525e-10,not different,FALSE,5,Cofactor & vitamin metabolism,1
L2,Formaldehyde oxidation / fixation,75,380,455,0.09768346909164793,1.5964105968054985,0.06109772393106534,-4.032737553340003,2.8693736992699363e-160,2.811986225284538e-159,FALSE,gut-enriched,0.09088869502530891,-3.459755330396041,5.492668171723997e-125,4.140626775607321e-124,gut-enriched,FALSE,5,Carbon fixation & C1 metabolism,1
L2,Gluconeogenesis,1374,226,1600,1.7895611537589902,0.9494441970474806,1.886437660392832,0.9156644253385156,2.6793553589067637e-21,6.909916451917443e-21,FALSE,soil-enriched,2.5909361260068633,1.3734734493933374,1.6200620066654487e-43,8.356109297537578e-43,soil-enriched,FALSE,5,Carbohydrate metabolism,1
