lab,source,ecosystem,category,category_L1,n_avgs,n_genomes
Amino acid metabolism___metabolic,annotate,Soil,metabolic,Amino acid metabolism,7135,6725
Amino acid metabolism___metabolic,annotate,Gut,metabolic,Amino acid metabolism,6473,5764
Amino acid metabolism___metabolic,de-novo (propagated),Soil,metabolic,Amino acid metabolism,5078,4896
Amino acid metabolism___metabolic,de-novo (propagated),Gut,metabolic,Amino acid metabolism,8306,7458
Aromatic & xenobiotic degradation___metabolic,annotate,Soil,metabolic,Aromatic & xenobiotic degradation,617,612
Aromatic & xenobiotic degradation___metabolic,annotate,Gut,metabolic,Aromatic & xenobiotic degradation,483,482
Aromatic & xenobiotic degradation___metabolic,de-novo (propagated),Soil,metabolic,Aromatic & xenobiotic degradation,461,458
Aromatic & xenobiotic degradation___metabolic,de-novo (propagated),Gut,metabolic,Aromatic & xenobiotic degradation,360,359
Carbohydrate metabolism___metabolic,annotate,Soil,metabolic,Carbohydrate metabolism,8660,7880
Carbohydrate metabolism___metabolic,annotate,Gut,metabolic,Carbohydrate metabolism,2406,2333
Carbohydrate metabolism___metabolic,de-novo (propagated),Soil,metabolic,Carbohydrate metabolism,11015,9857
Carbohydrate metabolism___metabolic,de-novo (propagated),Gut,metabolic,Carbohydrate metabolism,2829,2699
Carbon fixation & C1 metabolism___metabolic,annotate,Soil,metabolic,Carbon fixation & C1 metabolism,1460,1376
Carbon fixation & C1 metabolism___metabolic,annotate,Gut,metabolic,Carbon fixation & C1 metabolism,665,652
Carbon fixation & C1 metabolism___metabolic,de-novo (propagated),Soil,metabolic,Carbon fixation & C1 metabolism,96,96
Carbon fixation & C1 metabolism___metabolic,de-novo (propagated),Gut,metabolic,Carbon fixation & C1 metabolism,116,115
Chromatin/nucleoid organization___regulatory,annotate,Soil,regulatory,Chromatin/nucleoid organization & epigenetic regulation,1334,1298
Chromatin/nucleoid organization___regulatory,annotate,Gut,regulatory,Chromatin/nucleoid organization & epigenetic regulation,402,401
Chromatin/nucleoid organization___regulatory,de-novo (propagated),Soil,regulatory,Chromatin/nucleoid organization & epigenetic regulation,1245,1232
Chromatin/nucleoid organization___regulatory,de-novo (propagated),Gut,regulatory,Chromatin/nucleoid organization & epigenetic regulation,518,514
Cofactor & vitamin metabolism___metabolic,annotate,Soil,metabolic,Cofactor & vitamin metabolism,7697,6844
Cofactor & vitamin metabolism___metabolic,annotate,Gut,metabolic,Cofactor & vitamin metabolism,4391,3826
Cofactor & vitamin metabolism___metabolic,de-novo (propagated),Soil,metabolic,Cofactor & vitamin metabolism,7247,7045
Cofactor & vitamin metabolism___metabolic,de-novo (propagated),Gut,metabolic,Cofactor & vitamin metabolism,3679,3376
Defense / anti-defense___physiological,annotate,Soil,physiological,Defense & anti-defense systems,8663,8328
Defense / anti-defense___physiological,annotate,Gut,physiological,Defense & anti-defense systems,9229,8586
Defense / anti-defense___physiological,de-novo (propagated),Soil,physiological,Defense & anti-defense systems,12409,11999
Defense / anti-defense___physiological,de-novo (propagated),Gut,physiological,Defense & anti-defense systems,10505,9783
Energy metabolism___metabolic,annotate,Soil,metabolic,Energy metabolism,3321,3190
Energy metabolism___metabolic,annotate,Gut,metabolic,Energy metabolism,1490,1434
Energy metabolism___metabolic,de-novo (propagated),Soil,metabolic,Energy metabolism,911,896
Energy metabolism___metabolic,de-novo (propagated),Gut,metabolic,Energy metabolism,369,365
Lipid & fatty acid metabolism___metabolic,annotate,Soil,metabolic,Lipid & fatty acid metabolism,4813,4641
Lipid & fatty acid metabolism___metabolic,annotate,Gut,metabolic,Lipid & fatty acid metabolism,846,831
Lipid & fatty acid metabolism___metabolic,de-novo (propagated),Soil,metabolic,Lipid & fatty acid metabolism,5203,4987
Lipid & fatty acid metabolism___metabolic,de-novo (propagated),Gut,metabolic,Lipid & fatty acid metabolism,1019,1002
Lysogeny & lytic switch___physiological,annotate,Soil,physiological,Lysogeny & lytic switch,4,4
Lysogeny & lytic switch___physiological,annotate,Gut,physiological,NA,0,0
Lysogeny & lytic switch___physiological,de-novo (propagated),Soil,physiological,NA,0,0
Lysogeny & lytic switch___physiological,de-novo (propagated),Gut,physiological,Lysogeny & lytic switch,1,1
Metabolic substrate transport___metabolic,annotate,Soil,metabolic,Metabolic substrate transport,1050,923
Metabolic substrate transport___metabolic,annotate,Gut,metabolic,Metabolic substrate transport,2207,1961
Metabolic substrate transport___metabolic,de-novo (propagated),Soil,metabolic,Metabolic substrate transport,1009,939
Metabolic substrate transport___metabolic,de-novo (propagated),Gut,metabolic,Metabolic substrate transport,2545,2321
Motility & cell-surface dynamics___physiological,annotate,Soil,physiological,Motility & cell-surface dynamics,22,21
Motility & cell-surface dynamics___physiological,annotate,Gut,physiological,Motility & cell-surface dynamics,43,42
Motility & cell-surface dynamics___physiological,de-novo (propagated),Soil,physiological,Motility & cell-surface dynamics,39,39
Motility & cell-surface dynamics___physiological,de-novo (propagated),Gut,physiological,Motility & cell-surface dynamics,100,100
Other___metabolic,annotate,Soil,metabolic,Other,7871,7393
Other___metabolic,annotate,Gut,metabolic,Other,4255,4074
Other___metabolic,de-novo (propagated),Soil,metabolic,Other,11262,10578
Other___metabolic,de-novo (propagated),Gut,metabolic,Other,4638,4403
Other___regulatory,annotate,Soil,regulatory,Other,2870,2840
Other___regulatory,annotate,Gut,regulatory,Other,294,284
Other___regulatory,de-novo (propagated),Soil,regulatory,Other,2794,2765
Other___regulatory,de-novo (propagated),Gut,regulatory,Other,454,454
Phosphorus metabolism___metabolic,annotate,Soil,metabolic,Phosphorus metabolism,1561,1479
Phosphorus metabolism___metabolic,annotate,Gut,metabolic,Phosphorus metabolism,470,470
Phosphorus metabolism___metabolic,de-novo (propagated),Soil,metabolic,Phosphorus metabolism,2162,2089
Phosphorus metabolism___metabolic,de-novo (propagated),Gut,metabolic,Phosphorus metabolism,574,572
Post-transcriptional regulation___regulatory,annotate,Soil,regulatory,Post-transcriptional / RNA-mediated regulation,4068,4027
Post-transcriptional regulation___regulatory,annotate,Gut,regulatory,Post-transcriptional / RNA-mediated regulation,4571,4409
Post-transcriptional regulation___regulatory,de-novo (propagated),Soil,regulatory,Post-transcriptional / RNA-mediated regulation,2559,2546
Post-transcriptional regulation___regulatory,de-novo (propagated),Gut,regulatory,Post-transcriptional / RNA-mediated regulation,4310,4160
Quorum sensing___regulatory,annotate,Soil,regulatory,Quorum sensing & cell-cell signalling,39,36
Quorum sensing___regulatory,annotate,Gut,regulatory,Quorum sensing & cell-cell signalling,337,337
Quorum sensing___regulatory,de-novo (propagated),Soil,regulatory,Quorum sensing & cell-cell signalling,2,2
Quorum sensing___regulatory,de-novo (propagated),Gut,regulatory,Quorum sensing & cell-cell signalling,321,321
Regulatory chaperones___regulatory,annotate,Soil,regulatory,Regulatory chaperones & coregulators,6359,5996
Regulatory chaperones___regulatory,annotate,Gut,regulatory,Regulatory chaperones & coregulators,3508,3383
Regulatory chaperones___regulatory,de-novo (propagated),Soil,regulatory,Regulatory chaperones & coregulators,7335,7006
Regulatory chaperones___regulatory,de-novo (propagated),Gut,regulatory,Regulatory chaperones & coregulators,4389,4241
Secondary metabolite metabolism___metabolic,annotate,Soil,metabolic,Secondary metabolite metabolism,4397,4173
Secondary metabolite metabolism___metabolic,annotate,Gut,metabolic,Secondary metabolite metabolism,384,379
Secondary metabolite metabolism___metabolic,de-novo (propagated),Soil,metabolic,Secondary metabolite metabolism,2918,2855
Secondary metabolite metabolism___metabolic,de-novo (propagated),Gut,metabolic,Secondary metabolite metabolism,270,270
Secretion & extracellular processes___physiological,annotate,Soil,physiological,Secretion & extracellular processes,593,561
Secretion & extracellular processes___physiological,annotate,Gut,physiological,Secretion & extracellular processes,938,926
Secretion & extracellular processes___physiological,de-novo (propagated),Soil,physiological,Secretion & extracellular processes,334,330
Secretion & extracellular processes___physiological,de-novo (propagated),Gut,physiological,Secretion & extracellular processes,996,989
Signal transduction___regulatory,annotate,Soil,regulatory,Signal transduction & two-component systems,4784,4482
Signal transduction___regulatory,annotate,Gut,regulatory,Signal transduction & two-component systems,1402,1294
Signal transduction___regulatory,de-novo (propagated),Soil,regulatory,Signal transduction & two-component systems,4229,4063
Signal transduction___regulatory,de-novo (propagated),Gut,regulatory,Signal transduction & two-component systems,2231,2090
Sporulation & developmental___physiological,annotate,Soil,physiological,Sporulation & developmental,1077,1059
Sporulation & developmental___physiological,annotate,Gut,physiological,Sporulation & developmental,594,586
Sporulation & developmental___physiological,de-novo (propagated),Soil,physiological,Sporulation & developmental,641,641
Sporulation & developmental___physiological,de-novo (propagated),Gut,physiological,Sporulation & developmental,604,600
Stress response & homeostasis___physiological,annotate,Soil,physiological,Stress response & homeostasis,1576,1559
Stress response & homeostasis___physiological,annotate,Gut,physiological,Stress response & homeostasis,483,455
Stress response & homeostasis___physiological,de-novo (propagated),Soil,physiological,Stress response & homeostasis,2044,2022
Stress response & homeostasis___physiological,de-novo (propagated),Gut,physiological,Stress response & homeostasis,910,745
Toxin-antitoxin systems___physiological,annotate,Soil,physiological,Toxin-antitoxin systems,8524,7325
Toxin-antitoxin systems___physiological,annotate,Gut,physiological,Toxin-antitoxin systems,15538,13789
Toxin-antitoxin systems___physiological,de-novo (propagated),Soil,physiological,Toxin-antitoxin systems,9711,8322
Toxin-antitoxin systems___physiological,de-novo (propagated),Gut,physiological,Toxin-antitoxin systems,19456,16605
Transcriptional regulation___regulatory,annotate,Soil,regulatory,Transcriptional regulation,94026,68142
Transcriptional regulation___regulatory,annotate,Gut,regulatory,Transcriptional regulation,118989,75521
Transcriptional regulation___regulatory,de-novo (propagated),Soil,regulatory,Transcriptional regulation,108071,79642
Transcriptional regulation___regulatory,de-novo (propagated),Gut,regulatory,Transcriptional regulation,138887,86801
Unresolved metabolic___metabolic,annotate,Soil,metabolic,NA,0,0
