category_L2,gut,soil,tot,soil_rate,gut_rate,p,one_biome_only,odds_ratio_soil_gut,log2_OR,fdr_q,enrichment,n_L1_parents,L1_group,n_strata_genecount,or_cmh_genecount,p_cmh_genecount,degenerate_estimate_genecount,log2_OR_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,neglog10q,sig
3HP / 4HB / DC4HB cycle,181,240,421,0.31258710109327337,0.7603955737415663,2.8970607547080583e-18,FALSE,0.4109007061077326,-1.283138285196471,6.759808427652136e-18,gut-enriched,1,Carbon fixation & C1 metabolism,5,0.6055328655274196,1.2091851375230081e-7,FALSE,-0.723722830018676,2.1545480632228146e-7,gut-enriched,6.666643813314009,TRUE
ABC transporters,120,40,160,0.05209785018221223,0.5041296621491047,1.50742682538174e-42,FALSE,0.10329544753950741,-3.2751514220677724,6.714901313064115e-42,gut-enriched,1,Metabolic substrate transport,5,0.14794751480115437,3.224474825880359e-34,FALSE,-2.7568426323140507,1.3166605539011464e-33,gut-enriched,32.880526175356366,TRUE
ABC-type transport,889,556,1445,0.72416011753275,3.7347605804212844,4.2347762441337463e-206,FALSE,0.19331316299251156,-2.3709882186549778,5.9286867417872445e-205,gut-enriched,1,Metabolic substrate transport,5,0.288293601977176,3.9339278513588343e-135,FALSE,-1.7943892750445627,3.212707745276381e-134,gut-enriched,133.49312877970422,TRUE
Alanine / aspartate / glutamate metabolism,1036,707,1743,0.9208295019706012,4.352319416553938,5.320344464129172e-223,FALSE,0.21084545610246355,-2.2457421642310913,8.689895958077646e-222,gut-enriched,1,Amino acid metabolism,5,0.2990571115048081,1.6242591434781726e-147,FALSE,-1.7415070699397417,1.7686377340095658e-146,gut-enriched,145.75236111351893,TRUE
Aliphatic hydrocarbon degradation,36,68,104,0.08856634530976079,0.15123889864473142,0.010966985529354312,FALSE,0.5855688908919392,-0.7720891842778459,0.013434557273459033,gut-enriched,1,Aromatic & xenobiotic degradation,5,0.7358621407656265,0.17198776477769362,FALSE,-0.44249258331011,0.2106850118526747,not different,0.676366359034552,FALSE
Alkaloid biosynthesis,79,166,245,0.21620607825618077,0.3318853609148273,0.002535523761718844,FALSE,0.6513726959442947,-0.6184448483671628,0.0033130843819792893,gut-enriched,1,Secondary metabolite metabolism,5,0.9366047103348176,0.6743044006578247,FALSE,-0.09448780128814407,0.7324411115076647,not different,0.13522728698116776,FALSE
Amino-acid / peptide transport,49,146,195,0.19015715316507464,0.2058529453775511,0.6139048248228707,FALSE,0.9237379022267027,-0.11444452982270732,0.6400284343898014,not different,1,Metabolic substrate transport,4,1.422308214205298,0.03316978025523166,FALSE,0.5082341308667643,0.045783640352291585,not different,1.3392896786327066,FALSE
Aminotransferase / transamination,342,4085,4427,5.320492949858424,1.4367695371249485,8.613720967908441e-173,FALSE,3.717552928291162,1.8943532826514937,1.055180818568784e-171,soil-enriched,1,Amino acid metabolism,5,5.2366357456622525,3.88290204843773e-237,FALSE,2.3886402560755724,5.436062867812822e-236,soil-enriched,235.26471552931514,TRUE
Ammonia assimilation (GS-GOGAT),212,497,709,0.647315788513987,0.8906290697967517,1.4014475828613544e-4,FALSE,0.7266304322567494,-0.46070630586601286,2.1129517403140419e-4,not different,1,Nitrogen metabolism,5,1.0049193096003806,0.9853030487940947,FALSE,0.007079664276927402,0.9853030487940947,not different,0.00643017338361744,FALSE
Arginine / proline metabolism,276,731,1007,0.9520882120799286,1.159498222942941,0.006022080236240002,FALSE,0.8209504184033816,-0.28463300234054445,0.0076644657552145485,not different,1,Amino acid metabolism,5,1.2144060216034522,0.006251050126504316,FALSE,0.2802508494528917,0.009723855752340048,not different,2.0121614922831856,FALSE
Aromatic / xenobiotic degradation (other),91,15,106,0.019536693818329585,0.38229832712973777,1.3023072804608727e-41,FALSE,0.051084729204897844,-4.290964100038885,5.548961455876762e-41,gut-enriched,1,Aromatic & xenobiotic degradation,4,0.07457769447125813,2.6019536820792154e-33,FALSE,-3.745111992103978,1.0199658433750524e-32,gut-enriched,31.99141437165192,TRUE
Aromatic amino acid metabolism (Phe / Tyr / Trp),664,1548,2212,2.0161868020516134,2.789517463891713,7.36588291084832e-12,FALSE,0.722212532851396,-0.4695046387026206,1.503867760964865e-11,not different,1,Amino acid metabolism,5,1.051947288705792,0.28121950884762525,FALSE,0.07306241544010394,0.324229551377262,not different,0.4891474046164592,FALSE
Arsenic (As) cycling / detoxification,28,8,36,0.010419570036442446,0.11763025450145778,1.137058140395807e-11,FALSE,0.08856950093088664,-3.497046200145442,2.274116280791614e-11,gut-enriched,1,Other inorganic element cycling,4,0.12393654407023254,5.603045940423448e-10,FALSE,-3.012326449981024,1.0766637297284272e-9,gut-enriched,8.96791991706145,TRUE
BTEX / monoaromatic hydrocarbon degradation,14,39,53,0.050795403927656926,0.05881512725072889,0.6289679207817765,FALSE,0.8636383004892423,-0.21150086970592166,0.6488300656485696,not different,1,Aromatic & xenobiotic degradation,5,1.1335555815457814,0.8053314447636085,FALSE,0.18085513237073647,0.8486288342670283,not different,0.07128221608776829,FALSE
