Protein	Contig	Genome	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	category_L1	category_L2	category_L3
vRhyme_bin_11__LABRr1A1B1C_000000110784_13	vRhyme_bin_11__LABRr1A1B1C_000000110784	LABRr1A1B1C_vRhyme_bin_11	high	true	anti-restriction protein	Defense & anti-defense systems	Anti-CRISPR / anti-defense protein	
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_1	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	high	true	Thoeris anti-defense 2-like domain	Defense & anti-defense systems	Anti-CRISPR / anti-defense protein	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_3	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	high	true	anti-restriction protein	Defense & anti-defense systems	Anti-CRISPR / anti-defense protein	
vRhyme_unbinned_78__MGr3G3H3I_000000231783_12	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	high	true	cspA; cold shock protein	Stress response & homeostasis	Cold-shock response	
vRhyme_unbinned_78__MGr3G3H3I_000000231783_20	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	high	true	Virulence-associated protein E-like domain	Virulence & host interaction	Virulence factor	
vRhyme_bin_12__LABRr1A1B1C_000000124220_14	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	medium	true	higB-1; toxin HigB-1	Toxin-antitoxin systems	Toxin	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_21	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	medium	true	higA-1; antitoxin HigA-1	Toxin-antitoxin systems	Antitoxin	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_21	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	medium	true	higA-1; antitoxin HigA-1	Toxin-antitoxin systems	Toxin-antitoxin module	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_22	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	medium	true	higB-1; toxin HigB-1	Toxin-antitoxin systems	Toxin	
vRhyme_unbinned_43__MGr3G3H3I_000000145042_20	vRhyme_unbinned_43__MGr3G3H3I_000000145042	vRhyme_unbinned_43__MGr3G3H3I_000000145042	medium	false	BstA abortive infection system, replication inhibitor	Defense & anti-defense systems	Anti-CRISPR / anti-defense protein	
vRhyme_unbinned_60__MGr3G3H3I_000000180455_4	vRhyme_unbinned_60__MGr3G3H3I_000000180455	vRhyme_unbinned_60__MGr3G3H3I_000000180455	medium	true	anti-restriction protein	Defense & anti-defense systems	Anti-CRISPR / anti-defense protein	
vRhyme_unbinned_11__MGr3G3H3I_000000030488_6	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	low	false	SERGEF; secretion-regulating guanine nucleotide exchange factor	Secretion & extracellular processes	Secretion system	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_1	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	low	false	AcrB/AcrD/AcrF family	Defense & anti-defense systems	Anti-CRISPR / anti-defense protein	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_5	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	low	false	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system	Toxin-antitoxin systems	Toxin-antitoxin module	
vRhyme_unbinned_27__MGr3G3H3I_000000077811_18	vRhyme_unbinned_27__MGr3G3H3I_000000077811	vRhyme_unbinned_27__MGr3G3H3I_000000077811	low	false	Antitoxin TacA 1-like	Toxin-antitoxin systems	Antitoxin	
vRhyme_unbinned_27__MGr3G3H3I_000000077811_18	vRhyme_unbinned_27__MGr3G3H3I_000000077811	vRhyme_unbinned_27__MGr3G3H3I_000000077811	low	false	Antitoxin TacA 1-like	Toxin-antitoxin systems	Toxin-antitoxin module	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_25	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	low	false	cspA; cold shock protein	Stress response & homeostasis	Cold-shock response	
