id	V-score	VL-score	db	name
K00373			KEGG	narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
K00375	10.0	3.148910993	KEGG	K00375; GntR family transcriptional regulator / MocR family aminotransferase
K00478			KEGG	HR; [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65]
K00610	0.03	0.477121255	KEGG	pyrI; aspartate carbamoyltransferase regulatory subunit
K00936	3.74	2.572871602	KEGG	pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]
K01343	0.73	1.86332286	KEGG	PLAT; tissue plasminogen activator [EC:3.4.21.68]
K01348	0.89	1.949390007	KEGG	PLAU; urokinase plasminogen activator [EC:3.4.21.73]
K01356	10.0	4.349763044	KEGG	lexA; repressor LexA [EC:3.4.21.88]
K01420	1.97	2.294466226	KEGG	fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein
K01538			KEGG	FXYD2, ATP1G1; sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)
K01926	0.1	1.0	KEGG	rex; redox-sensing transcriptional repressor
K01983			KEGG	ffs; signal recognition particle 4.5S RNA
K01994	10.0	3.588943643	KEGG	gerE; LuxR family transcriptional regulator, transcriptional regulator of spore coat protein
K02019	0.28	1.447158031	KEGG	modE; molybdate transport system regulatory protein
K02043	10.0	3.150142162	KEGG	phnF; GntR family transcriptional regulator, phosphonate transport system regulatory protein
K02076	0.32	1.505149978	KEGG	zurR, zur; Fur family transcriptional regulator, zinc uptake regulator
K02081	0.58	1.763427994	KEGG	agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor
K02099	5.93	2.773054693	KEGG	araC; AraC family transcriptional regulator, arabinose operon regulatory protein
K02103	10.0	3.171726454	KEGG	araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor
K02159	0.13	1.113943352	KEGG	BAX; apoptosis regulator BAX
K02161	0.12	1.079181246	KEGG	BCL2; apoptosis regulator Bcl-2
K02163	0.15	1.176091259	KEGG	BCLW; apoptosis regulator BCL-W
K02167	3.56	2.551449998	KEGG	betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes
K02171	1.07	2.029383778	KEGG	blaI; BlaI family transcriptional regulator, penicillinase repressor
K02172	0.44	1.643452676	KEGG	blaR1; bla regulator protein blaR1
K02219	0.02	0.301029996	KEGG	CKS1; cyclin-dependent kinase regulatory subunit CKS1
K02309			KEGG	DBF4; regulatory subunit for Cdc7p protein kinase
K02398	0.01	0.0	KEGG	flgM; negative regulator of flagellin synthesis FlgM
K02402	0.07	0.84509804	KEGG	flhC; flagellar transcriptional activator FlhC
K02403	0.04	0.602059991	KEGG	flhD; flagellar transcriptional activator FlhD
K02405	10.0	3.83511959	KEGG	fliA, whiG; RNA polymerase sigma factor FliA
K02422	0.09	0.954242509	KEGG	fliS; flagellar secretion chaperone FliS
