Accession,Protein Function,V-Score,Log10[Hit Number],Database Origin
K04763,integrase/recombinase XerD,10,4.890951685,KEGG
K14059,integrase,10,4.882296801,KEGG
K03733,integrase/recombinase XerC,10,4.875391202,KEGG
K00571,site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],10,4.829278036,KEGG
K06909,phage terminase large subunit,10,4.826871359,KEGG
K22300,"HTH-type transcriptional regulator, cell division transcriptional repressor",10,4.775552198,KEGG
K07319,adenine-specific DNA-methyltransferase [EC:2.1.1.72],10,4.713700499,KEGG
K07729,putative transcriptional regulator,10,4.700201653,KEGG
K13581,modification methylase [EC:2.1.1.72],10,4.683632311,KEGG
K24451,modification methylase,10,4.671644847,KEGG
K02335,DNA polymerase I [EC:2.7.7.7],10,4.667135288,KEGG
K00590,site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113],10,4.648945182,KEGG
K02314,replicative DNA helicase [EC:5.6.2.3],10,4.6271712,KEGG
K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],10,4.62606307,KEGG
K06904,Escherichia/Staphylococcus phage prohead protease,10,4.58232477,KEGG
K22299,"HTH-type transcriptional regulator, competence development regulator",10,4.563291188,KEGG
K17680,twinkle protein [EC:5.6.2.3],10,4.5488192,KEGG
K07316,adenine-specific DNA-methyltransferase [EC:2.1.1.72],10,4.535863521,KEGG
K14440,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-],10,4.52045733,KEGG
K02316,DNA primase [EC:2.7.7.101],10,4.505367071,KEGG
K07358,type 1 fimbriae regulatory protein FimE,10,4.495530462,KEGG
K02349,DNA polymerase theta [EC:2.7.7.7],10,4.49310936,KEGG
K26901,Mesyanzhinovviridae DNA helicase,10,4.488226285,KEGG
K19789,DNA repair protein RadD,10,4.488071036,KEGG
K03497,"ParB family transcriptional regulator, chromosome partitioning protein",10,4.484769478,KEGG
K03111,single-strand DNA-binding protein,10,4.473968441,KEGG
K26864,Casjensviridae DNA helicase,10,4.471790277,KEGG
K26917,Phycodnaviridae DNA helicase,10,4.466422722,KEGG
K02334,DNA polymerase bacteriophage-type [EC:2.7.7.7],10,4.460972974,KEGG
K18830,HTH-type transcriptional regulator / antitoxin PezA,10,4.44836617,KEGG
K26928,Mycobacterium phage DnaB-like replicative helicase,10,4.442808893,KEGG
K13884,macrophage receptor with collagenous structure,10,4.440578515,KEGG
K01185,lysozyme [EC:3.2.1.17],10,4.439948166,KEGG
K15773,HTH-type transcriptional regulator / antitoxin HipB,10,4.438194141,KEGG
K19721,"collagen type V/XI/XXIV/XXVII, alpha",10,4.429138345,KEGG
K23779,"XRE family transcriptional regulator, regulator of sulfur utilization",10,4.422540597,KEGG
K19719,collagen type II alpha,10,4.42078062,KEGG
K08131,collagen type IX alpha,10,4.417471693,KEGG
K07357,type 1 fimbriae regulatory protein FimB,10,4.416939918,KEGG
K24213,complement C1q and tumor necrosis factor-related protein 9,10,4.405312203,KEGG
K06236,collagen type I alpha,10,4.404183498,KEGG
K15711,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:5.6.2. 2.3.2.27],10,4.400192489,KEGG
K25861,DNA annealing helicase and endonuclease ZRANB3 [EC:5.6.2.- 3.1.-.-],10,4.397731497,KEGG
K06823,collagen type XVIII alpha,10,4.395221521,KEGG
K06237,collagen type IV alpha,10,4.391429145,KEGG
K20092,chromodomain-helicase-DNA-binding protein 1-like [EC:5.6.2.-],10,4.39104102,KEGG
K01160,crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10],10,4.384156207,KEGG
K16630,collagen type XXII alpha,10,4.380627241,KEGG
K15505,DNA repair protein RAD5 [EC:5.6.2.-],10,4.377470174,KEGG
K17677,ATP-dependent helicase IRC3 [EC:5.6.2.-],10,4.37485828,KEGG
K10062,collectin sub-family member 12,10,4.374345016,KEGG
K06400,site-specific DNA recombinase,10,4.37329828,KEGG
K19479,collagen type X alpha,10,4.373095987,KEGG
K24214,otolin-1,10,4.370864528,KEGG
K07451,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],10,4.368547198,KEGG
K26929,Zierdtviridae DNA helicase,10,4.368491429,KEGG
K16629,collagen type XXI alpha,10,4.368379872,KEGG
K20093,DNA excision repair protein ERCC-6-like [EC:5.6.2.-],10,4.363574377,KEGG
K14439,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:5.6.2.-],10,4.361236617,KEGG
K08135,collagen type XV alpha,10,4.350616237,KEGG
K01356,repressor LexA [EC:3.4.21.88],10,4.349763044,KEGG
K11654,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:5.6.2.-],10,4.348246434,KEGG
K21686,"XRE family transcriptional regulator, fatty acid utilization regulator",10,4.346939463,KEGG
K10877,DNA repair and recombination protein RAD54B [EC:5.6.2.-],10,4.345844043,KEGG
K01447,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],10,4.342876479,KEGG
K23455,collagen type VIII alpha,10,4.341968408,KEGG
K23619,collagen type XXVIII alpha,10,4.341474094,KEGG
K26586,acetylcholinesterase collagenic tail peptide,10,4.340364784,KEGG
K07465,putative RecB family exonuclease,10,4.337019753,KEGG
K11727,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 [EC:5.6.2.-],10,4.336899809,KEGG
K03546,DNA repair protein SbcC/Rad50,10,4.33543784,KEGG
K19449,"XRE family transcriptional regulator, master regulator for biofilm formation",10,4.335217116,KEGG
K16628,collagen type VII alpha,10,4.331791587,KEGG
K16617,collagen type XIII alpha,10,4.330048325,KEGG
K21502,Autographiviridae DNA primase/helicase [EC:2.7.7.- 5.6.2.3],10,4.32446766,KEGG
K07603,collagen type XVII alpha,10,4.322653372,KEGG
K06238,collagen type VI alpha,10,4.322364035,KEGG
K20098,DNA excision repair protein ERCC-6-like 2 [EC:5.6.2.-],10,4.322343361,KEGG
