Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_nonviral_region	nonviral_region_pos
vRhyme_bin_12__LABRr1A1B1C_000000137286_10	vRhyme_bin_12__LABRr1A1B1C_000000137286	LABRr1A1B1C_vRhyme_bin_12	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]		HMMsoil126565	PF09479.17						24.984093	47.793934						0.6682926829268293	1.0						10.0		2859.0	NaN	NaN	4743.0	high		nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]	Listeria-Bacteroides repeat domain (List_Bact_rpt)					PF09479	Listeria-Bacteroides repeat domain (List_Bact_rpt)	Pfam	false		false		true	false	
vRhyme_bin_11__MGr3G3H3I_000000044066_1	vRhyme_bin_11__MGr3G3H3I_000000044066	MGr3G3H3I_vRhyme_bin_11	ABC.CD.P; putative ABC transport system permease protein		HMMsoil78089	PF02687.28						158.37764	80.085152						0.8873239436619719	0.9916666666666667						1.71		NaN	2445.0	NaN	2646.0	medium		ABC.CD.P; putative ABC transport system permease protein	FtsX-like permease C-terminal					HMMsoil78089	ABC.CD.P; putative ABC transport system permease protein	FOAM	false		false		false	true	
vRhyme_bin_11__MHr2D2E2F_000000047197_2	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [EC:1.8.4.10]		HMMsoil57593	PF01507.26				phrog_424		101.507317	36.389874				113.571045		0.9767441860465116	0.5085714285714286				0.4782608695652174		10.0	10.0	NaN	6795.0	NaN	NaN	high		cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [EC:1.8.4.10]	Phosphoadenosine phosphosulfate reductase domain				phosphoadenosine phosphosulfate reductase	phrog_424	phosphoadenosine phosphosulfate reductase	PHROG	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000167594_3	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	pstS; phosphate transport system substrate-binding protein		HMMsoil60431	PF00691.26						29.313166	33.221489						0.5789473684210527	0.6020408163265306						6.0		NaN	3783.0	582.0	249.0	low		pstS; phosphate transport system substrate-binding protein	OmpA family					PF00691	OmpA family	Pfam	false		false		false	true	
vRhyme_bin_11__MHr2D2E2F_000000167594_5	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	ABC.SN.P; NitT/TauT family transport system permease protein	K02050	HMMsoil56955					phrog_6743	75.350517	79.698219					38.694649	0.5292792792792793	0.8370786516853933					0.38831615120274915				NaN	1122.0	NaN	NaN	low	ABC.SN.P; NitT/TauT family transport system permease protein	ABC.SN.P; NitT/TauT family transport system permease protein					""	HMMsoil56955	ABC.SN.P; NitT/TauT family transport system permease protein	FOAM	false		false		false	true	
vRhyme_bin_11__MHr2D2E2F_000000167594_7	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]	K02049	HMMsoil34383	PF00005.34				phrog_23675	187.712524	87.940643	93.874039				51.863831	0.43373493975903615	0.7415730337078652	0.9343065693430657				0.6293706293706294	10.0	10.0	3.42	NaN	6984.0	NaN	NaN	low	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]	ABC transporter				""	K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	KEGG	false		false		false	true	
vRhyme_bin_11__MHr2D2E2F_000000172760_31	vRhyme_bin_11__MHr2D2E2F_000000172760	MHr2D2E2F_vRhyme_bin_11	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	K00472	HMMsoil135564	PF13640.13					184.83075	55.355873	49.85622					0.3490566037735849	0.39823008849557523	1.0					10.0	10.0		1227.0	NaN	NaN	12243.0	medium	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	2OG-Fe(II) oxygenase superfamily					K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	KEGG	false		false		false	true	
vRhyme_bin_11__MHr2D2E2F_000000308642_61	vRhyme_bin_11__MHr2D2E2F_000000308642	MHr2D2E2F_vRhyme_bin_11	Sulfotransferase domain			PF00685.34							54.806705							0.984375						9.94		1374.0	NaN	NaN	NaN	high			Sulfotransferase domain					PF00685	Sulfotransferase domain	Pfam	false		false		false	true	
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_31	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	K13955	HMMsoil27784	PF00107.33				phrog_2640	262.0047	245.153305	106.871284				182.516815	0.9940298507462687	0.9813953488372092	0.9844961240310077				0.9623188405797102	2.58	2.29	2.24	1923.0	NaN	NaN	NaN	medium	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	Zinc-binding dehydrogenase				zinc containing alcohol dehydrogenase superfamily	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	KEGG	false		false		false	true	
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_4	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	K01953	HMMsoil7829	PF00733.28				phrog_16728	531.708191	264.192444	317.590759				490.512665	0.7878787878787878	0.9960629921259843	0.9943502824858758				0.998272884283247	10.0	10.0	9.0	768.0	2187.0	NaN	NaN	low	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	Asparagine synthase				""	K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	KEGG	false		false		true	false	
