id,cutoff_full,cutoff_domain
HMMsoil1,252.5,252.4
HMMsoil2,224.2,224.0
HMMsoil3,409.6,205.9
HMMsoil4,219.9,219.8
HMMsoil5,248.3,248.2
HMMsoil6,388.9,388.8
HMMsoil7,261.1,260.9
HMMsoil8,160.2,160.0
HMMsoil9,150.5,150.4
HMMsoil10,137.8,137.7
HMMsoil11,153.0,152.9
HMMsoil12,336.5,336.4
HMMsoil13,78.8,78.7
HMMsoil14,210.8,210.6
HMMsoil15,54.5,53.6
HMMsoil16,187.5,187.3
HMMsoil17,148.6,148.5
HMMsoil18,204.5,204.3
HMMsoil19,25.0,25.0
HMMsoil20,188.8,188.6
HMMsoil21,74.0,74.0
HMMsoil22,361.1,360.9
HMMsoil23,254.5,254.4
HMMsoil24,189.0,188.8
HMMsoil25,215.8,215.7
HMMsoil26,229.0,228.9
HMMsoil27,105.9,71.6
HMMsoil28,232.4,232.3
HMMsoil29,172.8,172.6
HMMsoil30,199.6,199.4
HMMsoil31,29.9,29.9
HMMsoil32,188.5,187.3
HMMsoil33,670.9,670.7
HMMsoil34,459.7,459.5
HMMsoil35,192.5,192.3
HMMsoil36,74.7,73.0
HMMsoil37,329.5,329.3
HMMsoil38,135.6,135.5
HMMsoil39,222.7,222.5
HMMsoil40,91.0,90.9
HMMsoil41,440.5,440.3
HMMsoil42,273.2,273.1
HMMsoil43,177.3,177.1
HMMsoil44,135.7,133.5
HMMsoil46,118.9,116.9
HMMsoil47,223.0,222.8
HMMsoil48,193.7,193.5
HMMsoil49,256.0,255.9
HMMsoil50,103.6,103.5
HMMsoil51,215.4,215.3
HMMsoil52,214.0,213.9
HMMsoil53,733.8,733.6
HMMsoil54,194.5,194.3
HMMsoil55,219.2,219.1
HMMsoil56,182.5,182.4
HMMsoil57,161.6,161.4
HMMsoil58,248.9,248.8
HMMsoil59,745.0,744.8
HMMsoil60,144.0,143.8
HMMsoil61,468.1,467.9
HMMsoil62,103.2,103.1
HMMsoil63,122.0,121.8
HMMsoil64,215.1,215.0
HMMsoil65,137.5,137.4
HMMsoil66,81.3,81.2
HMMsoil67,278.5,278.4
HMMsoil68,250.1,250.0
HMMsoil69,783.2,783.1
HMMsoil70,95.4,51.5
HMMsoil71,182.2,182.1
HMMsoil72,233.2,233.0
HMMsoil73,117.6,117.5
HMMsoil75,209.0,208.8
HMMsoil76,189.8,189.6
HMMsoil77,232.8,232.6
HMMsoil78,245.0,244.9
HMMsoil79,208.1,207.2
HMMsoil80,186.1,186.0
HMMsoil81,706.5,706.3
HMMsoil82,202.8,202.7
HMMsoil83,159.2,159.0
HMMsoil84,280.8,280.6
HMMsoil85,164.5,164.2
HMMsoil86,443.2,443.1
HMMsoil87,229.1,228.9
HMMsoil88,241.9,241.7
HMMsoil89,244.5,244.3
HMMsoil90,212.0,211.9
HMMsoil91,30.6,30.5
HMMsoil92,252.6,252.5
HMMsoil93,256.8,256.6
HMMsoil94,58.0,57.9
HMMsoil95,339.1,339.0
HMMsoil96,148.6,148.4
HMMsoil97,169.4,169.3
HMMsoil98,118.3,118.2
HMMsoil99,326.0,325.8
HMMsoil100,360.2,360.1
HMMsoil101,16.7,16.7
HMMsoil102,79.2,79.0
HMMsoil103,175.6,175.5
HMMsoil104,182.4,182.3
HMMsoil105,428.1,428.0
HMMsoil106,237.8,237.7
HMMsoil107,183.9,183.7
HMMsoil108,92.6,92.5
HMMsoil109,95.3,95.2
HMMsoil110,36.8,36.8
HMMsoil111,200.9,200.8
HMMsoil112,39.5,39.5
HMMsoil113,231.4,231.3
HMMsoil114,663.8,663.6
HMMsoil115,354.6,354.5
HMMsoil116,430.1,430.0
HMMsoil117,180.5,180.4
HMMsoil118,166.2,166.0
HMMsoil120,173.0,172.9
HMMsoil119,146.0,145.9
HMMsoil121,296.9,296.8
HMMsoil122,153.7,153.6
HMMsoil123,122.3,122.2
HMMsoil125,97.0,96.9
HMMsoil126,396.6,396.4
HMMsoil127,396.7,396.6
HMMsoil128,169.1,169.0
HMMsoil129,113.4,113.3
HMMsoil130,179.6,177.3
HMMsoil131,296.3,296.2
HMMsoil132,83.4,83.3
HMMsoil133,663.9,663.7
HMMsoil134,184.6,184.5
HMMsoil135,310.5,310.4
HMMsoil136,196.2,173.2
HMMsoil137,228.3,228.2
HMMsoil138,46.6,46.5
HMMsoil139,787.9,787.7
HMMsoil140,172.0,171.8
HMMsoil141,466.6,466.4
HMMsoil142,513.2,513.0
HMMsoil143,339.7,339.5
HMMsoil144,470.7,470.5
HMMsoil145,88.4,88.3
HMMsoil146,265.1,265.0
HMMsoil147,36.7,36.6
HMMsoil148,255.5,255.4
HMMsoil149,374.7,374.6
HMMsoil150,231.4,231.3
HMMsoil151,128.1,128.0
HMMsoil153,650.5,650.4
HMMsoil154,763.6,763.5
HMMsoil155,312.9,312.7
HMMsoil156,775.3,775.2
HMMsoil157,379.8,379.6
HMMsoil159,351.3,351.1
HMMsoil162,108.5,108.4
HMMsoil164,114.3,114.2
HMMsoil165,425.8,425.6
HMMsoil166,109.5,109.4
HMMsoil167,115.1,114.9
HMMsoil168,284.4,284.3
HMMsoil169,300.6,300.5
HMMsoil175,54.8,54.7
HMMsoil176,209.8,209.7
HMMsoil177,81.3,81.2
HMMsoil178,55.2,55.2
HMMsoil179,322.6,322.5
HMMsoil180,88.5,88.3
HMMsoil181,459.8,457.1
HMMsoil183,558.1,558.0
HMMsoil184,469.3,469.1
HMMsoil188,89.7,89.4
HMMsoil189,92.6,92.5
HMMsoil191,140.3,140.2
HMMsoil192,326.0,325.8
HMMsoil193,231.6,231.4
HMMsoil194,511.8,511.6
HMMsoil195,565.4,565.2
HMMsoil197,212.2,212.0
HMMsoil198,35.5,35.4
HMMsoil199,90.8,90.7
HMMsoil201,152.0,151.9
HMMsoil202,115.8,115.7
HMMsoil203,569.2,569.1
HMMsoil204,139.5,139.4
HMMsoil205,46.8,46.8
HMMsoil206,500.3,500.2
HMMsoil207,76.3,76.1
HMMsoil209,297.0,296.8
HMMsoil210,377.3,377.1
HMMsoil211,166.6,166.5
HMMsoil212,363.9,363.8
HMMsoil213,108.1,108.0
HMMsoil214,182.6,182.4
HMMsoil216,519.9,260.3
HMMsoil217,36.6,36.6
HMMsoil218,933.7,933.5
HMMsoil219,293.1,293.0
HMMsoil220,453.5,453.3
HMMsoil221,68.5,68.4
HMMsoil222,56.7,56.6
HMMsoil223,333.3,333.2
HMMsoil224,292.6,292.4
HMMsoil228,122.3,122.2
