Protein	Contig	Genome	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	category_L1	category_L2	category_L3
vRhyme_unbinned_48__MGr3G3H3I_000000154912_1	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	high	false	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]	Carbohydrate metabolism	Pentose phosphate pathway	
vRhyme_unbinned_48__MGr3G3H3I_000000154912_1	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	high	false	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]	Aromatic & xenobiotic degradation	PAH / polycyclic aromatic degradation	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_121	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	high	true	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Energy metabolism	Glycolysis / EMP	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_121	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	high	true	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Carbohydrate metabolism	Gluconeogenesis	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_121	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	high	true	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Energy metabolism	Methanotrophy / methane oxidation	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_121	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	high	true	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Amino acid metabolism	Glycine / serine / threonine metabolism	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_121	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	high	true	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Carbohydrate metabolism	Glycolysis / EMP	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_121	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	high	true	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Carbon fixation & C1 metabolism	Methanotrophy / methane oxidation	
vRhyme_bin_11__LABRr1A1B1C_000000270577_21	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	medium	true	Dual specificity phosphatase, catalytic domain	Phosphorus metabolism	Phosphatase / phosphate liberation	
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_31	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	medium	false	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	Other		
