id,name,V-score,VL-score,db
K04763,integrase/recombinase XerD,10.0,4.890951685,KEGG
K14059,integrase,10.0,4.882296801,KEGG
K03733,integrase/recombinase XerC,10.0,4.875391202,KEGG
K00571,site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],10.0,4.829278036,KEGG
K06909,phage terminase large subunit,10.0,4.826871359,KEGG
K22300,"HTH-type transcriptional regulator, cell division transcriptional repressor",10.0,4.775552198,KEGG
K07319,adenine-specific DNA-methyltransferase [EC:2.1.1.72],10.0,4.713700499,KEGG
K07729,putative transcriptional regulator,10.0,4.700201653,KEGG
K13581,modification methylase [EC:2.1.1.72],10.0,4.683632311,KEGG
K24451,modification methylase,10.0,4.671644847,KEGG
K02335,DNA polymerase I [EC:2.7.7.7],10.0,4.667135288,KEGG
K00590,site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113],10.0,4.648945182,KEGG
K02314,replicative DNA helicase [EC:5.6.2.3],10.0,4.6271712,KEGG
K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],10.0,4.62606307,KEGG
K06904,Escherichia/Staphylococcus phage prohead protease,10.0,4.58232477,KEGG
K22299,"HTH-type transcriptional regulator, competence development regulator",10.0,4.563291188,KEGG
K17680,twinkle protein [EC:5.6.2.3],10.0,4.5488192,KEGG
K07316,adenine-specific DNA-methyltransferase [EC:2.1.1.72],10.0,4.535863521,KEGG
K14440,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-],10.0,4.52045733,KEGG
K02316,DNA primase [EC:2.7.7.101],10.0,4.505367071,KEGG
K07358,type 1 fimbriae regulatory protein FimE,10.0,4.495530462,KEGG
K02349,DNA polymerase theta [EC:2.7.7.7],10.0,4.49310936,KEGG
K26901,Mesyanzhinovviridae DNA helicase,10.0,4.488226285,KEGG
K19789,DNA repair protein RadD,10.0,4.488071036,KEGG
K03497,"ParB family transcriptional regulator, chromosome partitioning protein",10.0,4.484769478,KEGG
K03111,single-strand DNA-binding protein,10.0,4.473968441,KEGG
K26864,Casjensviridae DNA helicase,10.0,4.471790277,KEGG
K26917,Phycodnaviridae DNA helicase,10.0,4.466422722,KEGG
K02334,DNA polymerase bacteriophage-type [EC:2.7.7.7],10.0,4.460972974,KEGG
K18830,HTH-type transcriptional regulator / antitoxin PezA,10.0,4.44836617,KEGG
K26928,Mycobacterium phage DnaB-like replicative helicase,10.0,4.442808893,KEGG
K13884,macrophage receptor with collagenous structure,10.0,4.440578515,KEGG
K01185,lysozyme [EC:3.2.1.17],10.0,4.439948166,KEGG
K15773,HTH-type transcriptional regulator / antitoxin HipB,10.0,4.438194141,KEGG
K19721,"collagen type V/XI/XXIV/XXVII, alpha",10.0,4.429138345,KEGG
K23779,"XRE family transcriptional regulator, regulator of sulfur utilization",10.0,4.422540597,KEGG
K19719,collagen type II alpha,10.0,4.42078062,KEGG
K08131,collagen type IX alpha,10.0,4.417471693,KEGG
K07357,type 1 fimbriae regulatory protein FimB,10.0,4.416939918,KEGG
K24213,complement C1q and tumor necrosis factor-related protein 9,10.0,4.405312203,KEGG
