Protein	Contig	Genome	Viral Probability (annotate)	Viral Confidence Level (annotate)	Viral Probability (de-novo)	Viral Confidence Level (de-novo)	Classification (annotate)	Function (annotate)	AVG-like Probability (de-novo)	AVG-like Confidence Level (de-novo)	Final AVG Probability (de-novo)	Final AVG Confidence Level (de-novo)
vRhyme_bin_1__BAr2D2E2F_000000009081_1	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.6608145	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_2	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.7967165	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_3	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.78871614	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_4	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.714851	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_5	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.50583833	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_6	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.53929394	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_7	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.5192864	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_8	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.4164883	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_9	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.5039502	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_10	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.38039562	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_11	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.56163585	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_12	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.5789054	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_13	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.08287477	low	1.0	very high	unclassified		0.843	high	0.843	high
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.5948072	medium	1.0	very high	regulatory	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	0.229	medium	0.229	medium
vRhyme_bin_1__BAr2D2E2F_000000009081_15	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.3914536	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_16	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.5024447	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_17	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.11119444	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_18	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.4343303	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_19	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.50145084	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_20	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.6313038	medium	1.0	very high	unclassified		0.0	low	0.0	low
