Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_48__MGr3G3H3I_000000154912_1	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	metabolic	high	false	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]			HMMsoil133058	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]											HMMsoil133058	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]	FOAM
vRhyme_unbinned_88__MGr3G3H3I_000000288833_121	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	metabolic	high	true	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	HMMsoil20885	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	PF00300.28	Histidine phosphatase superfamily (branch 1)							phrog_12933	""	HMMsoil20885	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	FOAM
vRhyme_bin_11__LABRr1A1B1C_000000270577_21	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	metabolic	medium	true	Dual specificity phosphatase, catalytic domain			HMMsoil84880	K14165; atypical dual specificity phosphatase [EC:3.1.3.16] [EC:3.1.3.48]; E3.1.3.16; protein phosphatase [EC:3.1.3.16]	PF00782.26	Dual specificity phosphatase, catalytic domain									HMMsoil84880	K14165; atypical dual specificity phosphatase [EC:3.1.3.16] [EC:3.1.3.48]; E3.1.3.16; protein phosphatase [EC:3.1.3.16]	FOAM
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_31	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	metabolic	medium	false	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	HMMsoil27784	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]									phrog_2640	zinc containing alcohol dehydrogenase superfamily	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	KEGG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_6	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	metabolic	medium	true	aroK, aroL; shikimate kinase [EC:2.7.1.71]			HMMsoil73877	aroK, aroL; shikimate kinase [EC:2.7.1.71]											HMMsoil73877	aroK, aroL; shikimate kinase [EC:2.7.1.71]	FOAM
vRhyme_unbinned_88__MGr3G3H3I_000000288833_90	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	metabolic	medium	true	dTDP-4-dehydrorhamnose 3,5-epimerase	K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]			PF00908.24	dTDP-4-dehydrorhamnose 3,5-epimerase							phrog_8784	dTDP-4-dehydrorhamnose 3,5-epimerase	K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000203956_1	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11	metabolic	low	false	Ribulose-phosphate 3 epimerase family			HMMsoil44705	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	PF00834.26	Ribulose-phosphate 3 epimerase family									PF00834	Ribulose-phosphate 3 epimerase family	Pfam
vRhyme_bin_11__MGr3G3H3I_000000044066_1	vRhyme_bin_11__MGr3G3H3I_000000044066	MGr3G3H3I_vRhyme_bin_11	metabolic	low	false	ABC.CD.P; putative ABC transport system permease protein			HMMsoil78089	ABC.CD.P; putative ABC transport system permease protein	PF02687.28	FtsX-like permease C-terminal									HMMsoil78089	ABC.CD.P; putative ABC transport system permease protein	FOAM
vRhyme_bin_11__MHr2D2E2F_000000167594_5	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	metabolic	low	false	ABC.SN.P; NitT/TauT family transport system permease protein			HMMsoil56955	ABC.SN.P; NitT/TauT family transport system permease protein											HMMsoil56955	ABC.SN.P; NitT/TauT family transport system permease protein	FOAM
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_22	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	metabolic	low	false	typA, bipA; GTP-binding protein	K06207	typA, bipA; GTP-binding protein	HMMsoil17302	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]									phrog_6880	translation elongation factor	K06207	typA, bipA; GTP-binding protein	KEGG
