id	V-score	VL-score	db	name
K01993	1.33	2.123851641	KEGG	ABC-2.TX; HlyD family secretion protein
K02005	1.49	2.173186268	KEGG	ABC.CD.TX; HlyD family secretion protein
K02022	1.15	2.06069784	KEGG	ABC.MR.TX; HlyD family secretion protein
K02382			KEGG	flbA; flagellar protein FlbA
K02383	0.02	0.301029996	KEGG	flbB; flagellar protein FlbB
K02384			KEGG	flbC; flagellar protein FlbC
K02385	0.12	1.079181246	KEGG	flbD; flagellar protein FlbD
K02386			KEGG	flgA; flagellar basal body P-ring formation protein FlgA
K02387	0.04	0.602059991	KEGG	flgB; flagellar basal-body rod protein FlgB
K02388	0.05	0.698970004	KEGG	flgC; flagellar basal-body rod protein FlgC
K02389	0.01	0.0	KEGG	flgD; flagellar basal-body rod modification protein FlgD
K02390	0.05	0.698970004	KEGG	flgE; flagellar hook protein FlgE
K02391	0.06	0.77815125	KEGG	flgF; flagellar basal-body rod protein FlgF
K02392	0.06	0.77815125	KEGG	flgG; flagellar basal-body rod protein FlgG
K02393			KEGG	flgH; flagellar L-ring protein FlgH
K02394			KEGG	flgI; flagellar P-ring protein FlgI
K02396	0.06	0.77815125	KEGG	flgK; flagellar hook-associated protein 1
K02397	1.13	2.053078443	KEGG	flgL; flagellar hook-associated protein 3 FlgL
K02399			KEGG	flgN; flagellar biosynthesis protein FlgN
K02400	0.03	0.477121255	KEGG	flhA; flagellar biosynthesis protein FlhA
K02401	0.02	0.301029996	KEGG	flhB; flagellar biosynthesis protein FlhB
K02404	0.15	1.176091259	KEGG	flhF; flagellar biosynthesis protein FlhF
K02407	0.09	0.954242509	KEGG	fliD; flagellar hook-associated protein 2
K02408	0.07	0.84509804	KEGG	fliE; flagellar hook-basal body complex protein FliE
K02409	0.02	0.301029996	KEGG	fliF; flagellar M-ring protein FliF
K02410	0.08	0.903089987	KEGG	fliG; flagellar motor switch protein FliG
K02411			KEGG	fliH; flagellar assembly protein FliH
K02412	0.11	1.041392685	KEGG	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
K02413	0.01	0.0	KEGG	fliJ; flagellar protein FliJ
K02414			KEGG	fliK; flagellar hook-length control protein FliK
K02415	0.01	0.0	KEGG	fliL; flagellar protein FliL
K02416	0.18	1.255272505	KEGG	fliM; flagellar motor switch protein FliM
K02417	0.12	1.079181246	KEGG	fliN; flagellar motor switch protein FliN
K02418			KEGG	fliO, fliZ; flagellar protein FliO/FliZ
K02419	0.02	0.301029996	KEGG	fliP; flagellar biosynthesis protein FliP
K02420			KEGG	fliQ; flagellar biosynthesis protein FliQ
K02421			KEGG	fliR; flagellar biosynthesis protein FliR
K02423			KEGG	fliT; flagellar protein FliT
K02450	10.0	3.505828034	KEGG	gspA; general secretion pathway protein A
K02451	0.01	0.0	KEGG	gspB; general secretion pathway protein B
K02452	0.19	1.278753601	KEGG	gspC; general secretion pathway protein C
K02453	5.07	2.705007959	KEGG	gspD; general secretion pathway protein D
