Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_ambig_region	nonviral_region_pos
vRhyme_bin_11__LABRr1A1B1C_000000110784_13	vRhyme_bin_11__LABRr1A1B1C_000000110784	LABRr1A1B1C_vRhyme_bin_11	anti-restriction protein							phrog_7245							235.537094							0.9567901234567902		10.0	10.0	3000.0				high							anti-restriction protein	phrog_7245	anti-restriction protein	PHROG	false		false		true	false	
vRhyme_bin_12__LABRr1A1B1C_000000124220_14	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	higB-1; toxin HigB-1	K07334							74.795143							0.489010989010989							10.0	4.7	4.17	1404.0	306.0	9186.0	6939.0	medium	higB-1; toxin HigB-1							K07334	higB-1; toxin HigB-1	KEGG	false		false		true	false	
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_1	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	Thoeris anti-defense 2-like domain			PF11195.15							64.883835							0.958904109589041						10.0	10.0		2961.0			high			Thoeris anti-defense 2-like domain					PF11195	Thoeris anti-defense 2-like domain	Pfam	false		false		true	false	
vRhyme_unbinned_11__MGr3G3H3I_000000030488_6	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	SERGEF; secretion-regulating guanine nucleotide exchange factor	K15421		PF25390.2					183.172958		289.216888					0.74235807860262		0.7107438016528925								4188.0				low	SERGEF; secretion-regulating guanine nucleotide exchange factor		RCC1-like domain					PF25390	RCC1-like domain	Pfam	false		false		false	true	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_1	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	AcrB/AcrD/AcrF family			PF00873.26							490.803375							0.4015670910871694					0.87	0.95	0.77		3852.0		4287.0	low			AcrB/AcrD/AcrF family					PF00873	AcrB/AcrD/AcrF family	Pfam	false		false		false	true	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_5	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system	K19166		PF09907.16				phrog_5734	118.262833		83.465561				86.716972	0.6203208556149733		0.972972972972973				0.9484536082474226	2.23	2.23	2.09		375.0		810.0	low	higB; mRNA interferase HigB [EC:3.1.-.-]		HigB_toxin, RelE-like toxic component of a toxin-antitoxin system				""	K19166	higB; mRNA interferase HigB [EC:3.1.-.-]	KEGG	false		false		false	true	
vRhyme_unbinned_27__MGr3G3H3I_000000077811_18	vRhyme_unbinned_27__MGr3G3H3I_000000077811	vRhyme_unbinned_27__MGr3G3H3I_000000077811	Antitoxin TacA 1-like			PF08681.19							82.414238							0.9625						1.6	0.3	510.0				low			Antitoxin TacA 1-like					PF08681	Antitoxin TacA 1-like	Pfam	false		false		false	true	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_25	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	cspA; cold shock protein	K03704		PF00313.29					143.443665		108.825539					0.4161490683229814		0.9696969696969697					10.0	10.0	10.0	6732.0		9618.0		low	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		false	true	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_3	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	anti-restriction protein			PF18818.8				phrog_7245			164.651077				177.518585			0.9841269841269841				0.5648148148148148		10.0	10.0		1617.0		9690.0	high			Zincin-like metallopeptidase				anti-restriction protein	phrog_7245	anti-restriction protein	PHROG	false		false		true	false	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_21	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	higA-1; antitoxin HigA-1	K21498							129.993515							0.5028571428571429							10.0	10.0	9.03	228.0	294.0		831.0	medium	higA-1; antitoxin HigA-1							K21498	higA-1; antitoxin HigA-1	KEGG	false		false		true	false	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_22	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	higB-1; toxin HigB-1	K07334		PF05015.19				phrog_3066	133.254517		71.696342				105.325386	0.5		0.8791208791208791				0.9787234042553191	10.0	4.7	4.17	294.0	537.0		537.0	medium	higB-1; toxin HigB-1		RelE-like toxin of type II toxin-antitoxin system HigB				toxin of TA system	K07334	higB-1; toxin HigB-1	KEGG	false		false		true	false	
vRhyme_unbinned_43__MGr3G3H3I_000000145042_20	vRhyme_unbinned_43__MGr3G3H3I_000000145042	vRhyme_unbinned_43__MGr3G3H3I_000000145042	BstA abortive infection system, replication inhibitor			PF26567.1				phrog_6287			129.580429				205.295349			0.9915966386554622				0.9407894736842105				1713.0		1713.0		medium			BstA C-terminal domain				BstA abortive infection system, replication inhibitor	phrog_6287	BstA abortive infection system, replication inhibitor	PHROG	false		false		false	true	
vRhyme_unbinned_60__MGr3G3H3I_000000180455_4	vRhyme_unbinned_60__MGr3G3H3I_000000180455	vRhyme_unbinned_60__MGr3G3H3I_000000180455	anti-restriction protein							phrog_7245							67.727516							0.7314814814814815		10.0	10.0		2937.0			medium							anti-restriction protein	phrog_7245	anti-restriction protein	PHROG	false		false		true	false	
vRhyme_unbinned_78__MGr3G3H3I_000000231783_12	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	cspA; cold shock protein	K03704		PF00313.29					73.803307		61.343327					0.40372670807453415		0.9848484848484849					10.0	10.0	10.0	3459.0	3768.0			high	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		true	false	
vRhyme_unbinned_78__MGr3G3H3I_000000231783_20	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	Virulence-associated protein E-like domain			PF05272.18				phrog_1313			174.297516				183.185974			0.9631336405529954				0.7253521126760564	10.0	10.0	10.0	3768.0				high			Virulence-associated protein E-like domain				DNA helicase	phrog_1313	DNA helicase	PHROG	false		false		true	false	
