#ncbi_accession	source_identifier	label	sequence_cutoff	domain_cutoff	hmm_length	family_type	for_structural_annotation	for_naming	for_AMRFinder	product_name	gene_symbol	gene_synonyms	ec_numbers	go_terms	pmids	taxonomic_range	taxonomic_range_name	taxonomic_rank_name	n_refseq_protein_hits	source	name_orig	hmm_name	comment
NF000008.1		trim_DfrA1_rpt	420	420	187	exception	Y	Y	Y	trimethoprim-resistant repeat-containing dihydrofolate reductase DfrA1	dfrA1			GO:0004146					0	NCBIFAM	trimethoprim-resistant repeat-containing dihydrofolate reductase DfrA1	trimethoprim-resistant repeat-containing dihydrofolate reductase DfrA1	
NF000019.2		trim_DfrA3	350	350	162	exception	Y	Y	Y	trimethoprim-resistant dihydrofolate reductase DfrA3	dfrA3		1.5.1.3	GO:0004146					0	NCBIFAM	trimethoprim-resistant dihydrofolate reductase DfrA3	trimethoprim-resistant dihydrofolate reductase DfrA3	
NF000032.1		D_ala_D_ser_VanL	750	750	349	exception	Y	Y	Y	D-alanine--D-serine ligase VanL	vanL		6.3.2.35						0	NCBIFAM	D-alanine--D-serine ligase VanL	D-alanine--D-serine ligase VanL	
NF000033.1		vanT-L-mem	675	675	329	exception	Y	Y	Y	serine racemase VanT-L membrane subunit	vanTm								0	NCBIFAM	serine racemase VanT-L membrane subunit	serine racemase VanT-L membrane subunit	
NF000048.1		AAC_6p_A40	400	400	184	exception	Y	Y	Y	aminoglycoside 6'-N-acetyltransferase AacA40	aacA40								0	NCBIFAM	aminoglycoside 6'-N-acetyltransferase AacA40	aminoglycoside 6'-N-acetyltransferase AacA40	
NF000059.1		tet_redox_37	225	225	108	exception	Y	Y	Y	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	tet(37)								0	NCBIFAM	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	
NF000072.1		MFS_efflux_PexA	800	800	415	equivalog	Y	Y	Y	phenicol efflux MFS transporter PexA	pexA								0	NCBIFAM	phenicol efflux MFS transporter PexA	phenicol efflux MFS transporter PexA	
NF000101.1		stregram_VatA	450	450	219	exception	Y	Y	Y	streptogramin A O-acetyltransferase Vat(A)	vat(A)			GO:0016740					0	NCBIFAM	streptogramin A O-acetyltransferase Vat(A)	streptogramin A O-acetyltransferase Vat(A)	
NF000106.1		40850658_otr	750	750	351	exception	Y	Y	N	oxytetracycline efflux ABC transporter Otr(C) ATP-binding subunit									0	NCBIFAM	oxytetracycline efflux ABC transporter Otr(C) ATP-binding subunit	oxytetracycline efflux ABC transporter Otr(C) ATP-binding subunit	
NF000115.2		AAC_6p_Iad	275	275	144	exception	Y	Y	Y	aminoglycoside N-acetyltransferase AAC(6')-Iad	aac(6')-Iad								0	NCBIFAM	aminoglycoside N-acetyltransferase AAC(6')-Iad	aminoglycoside N-acetyltransferase AAC(6')-Iad	
NF000122.1		485965_fosC	350	350	182	equivalog	Y	Y	Y	fosfomycin resistance kinase FosC	fosC								0	NCBIFAM	fosfomycin resistance kinase FosC	fosfomycin resistance kinase FosC	
NF000258.1		MupB	1900	1900	1033	exception	Y	Y	Y	mupirocin-resistant isoleucine--tRNA ligase MupB	mupB		6.1.1.5						0	NCBIFAM	mupirocin-resistant isoleucine--tRNA ligase MupB	mupirocin-resistant isoleucine--tRNA ligase MupB	
NF000342.3		glpA_Cterm	500	500	228	exception	Y	Y	N	aminoglycoside O-phosphotransferase APH(4)-Ib	glpA								0	NCBIFAM	aminoglycoside O-phosphotransferase APH(4)-Ib	aminoglycoside O-phosphotransferase APH(4)-Ib	The C-terminal half of CAA52372.1 shows homology to hygromycin-modifying enzyme APH(4)-Ia. The N-terminal region shows no homology to any other protein. The gene glpA was identified as one of two in a 3.0-kb DNA segment capable of conferring on E. coli the ability to degrade and use the phosphonate herbicide glyphosate as a sole carbon source. The expressed protein conferred minor (3-fold) increase in tolerance to hygromycin, but this protein probably should not be considered an aminoglycoside modifying enzyme associated with the spread of resistance in bacteria toward clinically important antimicrobials.
NF000359.1		sat3	360	360	180	exception	Y	Y	Y	streptothricin N-acetyltransferase Sat3	sat3								0	NCBIFAM	streptothricin N-acetyltransferase Sat3	streptothricin N-acetyltransferase Sat3	
NF000456.2		blaMSI-1_fam	550	550	289	exception	Y	Y	Y	MSI-1 family subclass B3 metallo-beta-lactamase	blaMSI			GO:0008800					0	NCBIFAM	MSI-1 family subclass B3 metallo-beta-lactamase	MSI-1 family subclass B3 metallo-beta-lactamase	
NF000459.2		blaSPG-1_fam	550	550	285	exception	Y	Y	Y	SPG-1 family subclass B3 metallo-beta-lactamase	blaSPG		3.5.2.6	GO:0008800					0	NCBIFAM	SPG-1 family subclass B3 metallo-beta-lactamase	SPG-1 family subclass B3 metallo-beta-lactamase	
NF000486.1		AAC_6p_Ip	390	390	173	exception	Y	Y	Y	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	aac(6')-Ip			GO:0008080					0	NCBIFAM	aminoglycoside N-acetyltransferase AAC(6')-Ip	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	
NF000504.1		stregram_VatH	475	425	216	exception	Y	Y	Y	streptogramin A O-acetyltransferase Vat(H)	vat(H)			GO:0016740					0	NCBIFAM	vatH: streptogramin A O-acetyltransferase Vat(H)	streptogramin A O-acetyltransferase Vat(H)	
NF001990.1	PRK00790	PRK00790.1-1	147	147	111	equivalog	Y	Y	N	flagellar hook-basal body complex protein FliE	fliE			GO:0003774,GO:0005198,GO:0009288,GO:0071973	17098908,9161424				0	NCBI Protein Cluster (PRK)	flagellar hook-basal body protein FliE	flagellar hook-basal body complex protein FliE	
NF002513.0	PRK01903	PRK01903.2-4	240	240	118	equivalog	Y	N	N	ribonuclease P									0	NCBI Protein Cluster (PRK)	ribonuclease P	ribonuclease P	
NF002515.0	PRK01903	PRK01903.3-2	175	175	85	subfamily	Y	N	N	ribonuclease P									0	NCBI Protein Cluster (PRK)	ribonuclease P	ribonuclease P	
NF004243.1	PRK05682	PRK05682.2-2	801	801	420	equivalog	Y	Y	N	flagellar hook protein FlgE	flgE				15839898				0	NCBI Protein Cluster (PRK)	flagellar hook protein FlgE	flagellar hook protein FlgE	
NF005256.0	PRK06762	PRK06762.3-1	160	160	67	equivalog	Y	N	N	hypothetical protein									0	NCBI Protein Cluster (PRK)	hypothetical protein	hypothetical protein	
NF012180.1		tet_MFS_43	999	999	484	exception	Y	Y	Y	tetracycline efflux MFS transporter Tet(43)	tet(43)			GO:0008493,GO:0015904					0	NCBIFAM	tetracycline efflux MFS transporter Tet(43)	tetracycline efflux MFS transporter Tet(43)	
NF012732.6	PF00522.23	VPR	25.5	25.5	83	domain	Y	Y	N	Vpr/Vpx protein				GO:0019058,GO:0042025					0	EBI-EMBL	VPR/VPX protein	Vpr/Vpx protein	
NF012749.6	PF00539.23	Tat	22.5	22.5	64	domain	Y	Y	N	tat protein				GO:0001070,GO:0042025,GO:0050434	10506122,2478293,7502045,7515512,9126842				0	EBI-EMBL	Transactivating regulatory protein (Tat)	tat protein	Tat (Trans-Activator of Transcription) is an regulatory protein from HIV-1.
NF013000.6	PF00802.24	Glycoprotein_G	27	27	263	domain	Y	Y	N	attachment glycoprotein G				GO:0055036	2441388				0	EBI-EMBL	Pneumovirus attachment glycoprotein G	attachment glycoprotein G	This family includes attachment proteins from respiratory synctial virus. Glycoprotein G has not been shown to have any neuraminidase or hemagglutinin activity (Swiss-Prot). The amino terminus is thought to be cytoplasmic, and the carboxyl terminus extracellular. The extracellular region contains four completely conserved cysteine residues. (from Pfam)
NF013513.6	PF01350.22	Flavi_NS4A	27	27	144	domain	Y	Y	N	non-structural protein NS4A				GO:0016032,GO:0016070,GO:0044423	2174669,2541547				0	EBI-EMBL	Flavivirus non-structural protein NS4A	Flavivirus non-structural protein NS4A	Flaviviruses encode a single polyprotein. This is cleaved into three structural and seven non-structural proteins. The NS4A protein is small and poorly conserved among the Flaviviruses. NS4A contains multiple hydrophobic potential membrane spanning regions (PMID: 2174669). NS4A has only been found in cells infected by Kunjin virus (PMID: 2541547). (from Pfam)
NF013711.6	PF01562.24	Pep_M12B_propep	23.7	23.7	93	domain	Y	Y	N	reprolysin family propeptide-containing metallopeptidase					7674922				0	EBI-EMBL	Reprolysin family propeptide	reprolysin family propeptide domain	Certified not prok.
NF014450.6	PF02393.21	US22	35	35	124	domain	Y	Y	N	US22 domain-containing protein					10405367,1321206,21306995				0	EBI-EMBL	US22 like	US22 like	US22 proteins have been found across many animal DNA viruses and some vertebrates (PMID: 21306995). The name sake of this family US22 Swiss:P09722 is an early nuclear protein that is secreted from cells (PMID: 1321206). The US22 family may have a role in virus replication and pathogenesis (PMID: 10405367). Domain analysis showed that US22 proteins usually contain two copies of conserved modules which is homologous to several other families like SMI1 and SYD (commonly called SUKH superfamily) (PMID: 21306995). Bacterial operon analysis revealed that all bacterial SUKH members function as immunity proteins against various toxins. Thus US22 family is predicted to counter diverse anti-viral responses by interacting with specific host proteins (PMID: 21306995). (from Pfam)
