Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_nonviral_region	nonviral_region_pos
vRhyme_bin_1__BAr2D2E2F_000000009081_13	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]		HMMsoil22408	PF00072.31						36.993263	32.321281						0.4954545454545455	0.8468468468468469						10.0		NaN	402.0	NaN	NaN	low		cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Response regulator receiver domain					HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	FOAM	false		false		true	false	
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497		PF17762.9				phrog_25613	73.905563		26.887453				97.708755	0.48857142857142855		0.6568627450980392				0.972972972972973	10.0	0.37	3.19	NaN	2181.0	NaN	NaN	low	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein		ParB HTH domain				""	phrog_25613	""	PHROG	false		false		true	false	
vRhyme_bin_1__BAr2D2E2F_000000009081_18	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	Sigma-70, region 4			PF04545.23							27.220856							0.6						10.0		NaN	2535.0	NaN	NaN	low			Sigma-70, region 4					PF04545	Sigma-70, region 4	Pfam	false		false		true	false	
vRhyme_bin_1__BAr2D2E2F_000000166864_20	vRhyme_bin_1__BAr2D2E2F_000000166864	BAr2D2E2F_vRhyme_bin_1	Bacterial regulatory protein, Fis family			PF02954.26							34.098309							0.7380952380952381						5.4		1014.0	NaN	2427.0	NaN	high			Bacterial regulatory protein, Fis family					PF02954	Bacterial regulatory protein, Fis family	Pfam	false		false		false	true	
vRhyme_bin_1__BAr2D2E2F_000000370749_12	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	ssb; single-strand DNA-binding protein	K03111		PF00436.32				phrog_44	155.41481		105.326241				153.249634	0.4045307443365696		0.9711538461538461				0.5387453874538746	10.0	10.0	10.0	1050.0	8400.0	NaN	NaN	high	ssb; single-strand DNA-binding protein		Single-strand binding protein family				single strand DNA binding protein	K03111	ssb; single-strand DNA-binding protein	KEGG	false		false		true	false	
vRhyme_bin_1__BAr2D2E2F_000000370749_39	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	lexA; repressor LexA [EC:3.4.21.88]	K01356		PF01726.23				phrog_4	185.197372		73.91098				66.033607	0.6724137931034483		0.9846153846153847				0.345	10.0	10.0	10.0	4146.0	759.0	NaN	NaN	high	lexA; repressor LexA [EC:3.4.21.88]		LexA DNA binding domain				transcriptional repressor	K01356	lexA; repressor LexA [EC:3.4.21.88]	KEGG	false		false		true	false	
vRhyme_bin_11__LABRr1A1B1C_000000014874_3	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	hipB; HTH-type transcriptional regulator / antitoxin HipB	K15773	HMMsoil3470	PF01381.29					45.61911	45.882122	39.603264					0.34375	0.9090909090909091	0.8909090909090909					10.0	10.0		NaN	873.0	5127.0	NaN	high	hipB; HTH-type transcriptional regulator / antitoxin HipB	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Helix-turn-helix					HMMsoil3470	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	FOAM	false		false		true	false	
vRhyme_bin_11__LABRr1A1B1C_000000080164_4	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	PucR C-terminal helix-turn-helix domain			PF13556.13				phrog_1745			27.689793				525.138855			0.559322033898305				0.8523985239852399		1.43	10.0	1215.0	2085.0	NaN	NaN	high			PucR C-terminal helix-turn-helix domain				DNA transfer protein	phrog_1745	DNA transfer protein	PHROG	false		false		true	false	
vRhyme_bin_11__LABRr1A1B1C_000000105942_4	vRhyme_bin_11__LABRr1A1B1C_000000105942	LABRr1A1B1C_vRhyme_bin_11	co-chaperonin GroES	K04078		PF00166.27				phrog_3188	35.314571		32.091694				36.328075	0.423728813559322		0.967741935483871				0.9479166666666666	10.0	10.0	3.67	NaN	NaN	10554.0	NaN	medium	groES, HSPE1; chaperonin GroES		Chaperonin 10 Kd subunit				co-chaperonin GroES	phrog_3188	co-chaperonin GroES	PHROG	false		false		false	true	
vRhyme_bin_11__LABRr1A1B1C_000000192364_4	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	RNA-binding protein			PF12961.14				phrog_986			89.478943				94.635498			0.974025974025974				0.30039525691699603		10.0	10.0	NaN	270.0	NaN	NaN	high			Domain of unknown function (DUF3850)				RNA-binding protein	phrog_986	RNA-binding protein	PHROG	false		false		true	false	
