Protein	Contig	Genome	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	category_L1	category_L2	category_L3
vRhyme_bin_11__MGr3G3H3I_000000213947_5	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	high	true	'Cold-shock' DNA-binding domain	Transcriptional regulation	DNA-binding transcription factor	
vRhyme_bin_11__MHr2D2E2F_000000342937_21	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	high	true	RNA-binding protein	Post-transcriptional / RNA-mediated regulation	RNA-binding regulator	
vRhyme_bin_11__MHr2D2E2F_000000342937_25	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	high	true	groES, HSPE1; chaperonin GroES	Regulatory chaperones & coregulators	Regulatory chaperone	
vRhyme_bin_1__BAr2D2E2F_000000370749_12	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	high	true	single strand DNA binding protein	Transcriptional regulation	DNA-binding transcription factor	
vRhyme_bin_1__BAr2D2E2F_000000370749_39	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	high	true	lexA; repressor LexA [EC:3.4.21.88]	Transcriptional regulation	Repressor	
vRhyme_unbinned_16__MGr3G3H3I_000000046301_8	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	high	true	late transcriptional activator	Transcriptional regulation	Activator	
vRhyme_unbinned_37__MGr3G3H3I_000000135683_12	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	high	true	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	Transcriptional regulation	General regulator	
vRhyme_unbinned_37__MGr3G3H3I_000000135683_13	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	high	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	Transcriptional regulation	General regulator	
vRhyme_unbinned_39__MGr3G3H3I_000000139510_17	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	high	true	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	Transcriptional regulation	General regulator	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_15	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	high	true	RNA-binding protein	Post-transcriptional / RNA-mediated regulation	RNA-binding regulator	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_5	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	high	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	Transcriptional regulation	General regulator	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_15	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	high	true	repA; regulatory protein RepA	Transcriptional regulation	General regulator	
vRhyme_unbinned_62__MGr3G3H3I_000000188077_25	vRhyme_unbinned_62__MGr3G3H3I_000000188077	vRhyme_unbinned_62__MGr3G3H3I_000000188077	high	true	late transcriptional activator	Transcriptional regulation	Activator	
vRhyme_unbinned_81__MGr3G3H3I_000000246984_4	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	high	false	groES, HSPE1; chaperonin GroES	Regulatory chaperones & coregulators	Regulatory chaperone	
vRhyme_unbinned_82__MGr3G3H3I_000000255661_3	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	high	true	groES, HSPE1; chaperonin GroES	Regulatory chaperones & coregulators	Regulatory chaperone	
vRhyme_unbinned_82__MGr3G3H3I_000000255661_5	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	high	true	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	Regulatory chaperones & coregulators	Regulatory chaperone	
vRhyme_unbinned_91__MGr3G3H3I_000000294607_14	vRhyme_unbinned_91__MGr3G3H3I_000000294607	vRhyme_unbinned_91__MGr3G3H3I_000000294607	high	true	groES, HSPE1; chaperonin GroES	Regulatory chaperones & coregulators	Regulatory chaperone	
vRhyme_bin_11__MHr2D2E2F_000000121636_5	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	medium	true	Global regulator protein family	Transcriptional regulation	General regulator	
vRhyme_bin_12__LABRr1A1B1C_000000124220_15	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	medium	true	higA; HTH-type transcriptional regulator / antitoxin HigA	Transcriptional regulation	General regulator	
