id	V-score	VL-score	db	name
acetate_citrate_lyase_aclA			METABOLIC	ATP-citrate lyase alpha-subunit
acetate_citrate_lyase_aclB			METABOLIC	ATP-citrate lyase beta-subunit
aioA			METABOLIC	arsenite oxidase large subunit
amoA			METABOLIC	methane/ammonia monooxygenase subunit A
amoB			METABOLIC	methane/ammonia monooxygenase subunit B
amoC			METABOLIC	methane/ammonia monooxygenase subunit C
aprA			METABOLIC	adenylylsulfate reductase, subunit A
aprA			METABOLIC	adenylylsulfate reductase, subunit A
aprB			METABOLIC	adenylylsulfate reductase, subunit B
arrA			METABOLIC	dissimilatory arsenate reductase
arsC_glut			METABOLIC	arsenate reductase (glutaredoxin)
arsC_thio			METABOLIC	arsenate reductase (thioredoxin)
arsM			METABOLIC	arsenite methyltransferase
arxA			METABOLIC	arsenite oxidase (molybdopterin subunit)
asrA			METABOLIC	anaerobic sulfite reductase subunit A
asrA			METABOLIC	anaerobic sulfite reductase subunit A
asrB			METABOLIC	anaerobic sulfite reductase subunit B
asrB			METABOLIC	anaerobic sulfite reductase subunit B
asrC			METABOLIC	anaerobic sulfite reductase subunit C
asrC			METABOLIC	anaerobic sulfite reductase subunit C
Cyc1			METABOLIC	Iron oxidation
Cyc2_repCluster1			METABOLIC	Iron oxidation
Cyc2_repCluster2			METABOLIC	Iron oxidation
Cyc2_repCluster3			METABOLIC	Iron oxidation
CymA			METABOLIC	Iron reduction
DFE_0448			METABOLIC	Iron reduction
DFE_0449			METABOLIC	Iron reduction
DFE_0450			METABOLIC	Iron reduction
DFE_0451			METABOLIC	Iron reduction
DFE_0461			METABOLIC	Iron reduction
DFE_0462			METABOLIC	Iron reduction
DFE_0463			METABOLIC	Iron reduction
DFE_0464			METABOLIC	Iron reduction
DFE_0465			METABOLIC	Iron reduction
DmkA			METABOLIC	Iron reduction
DmkB			METABOLIC	Iron reduction
dsrA			METABOLIC	dissimilatory sulfite reductase alpha subunit
dsrA			METABOLIC	dissimilatory sulfite reductase alpha subunit
dsrB			METABOLIC	dissimilatory sulfite reductase beta subunit
dsrB			METABOLIC	dissimilatory sulfite reductase beta subunit
dsrC			METABOLIC	dissimilatory sulfite reductase, subunit C
dsrD			METABOLIC	dissimilatory sulfite reductase delta subunit
dsrD			METABOLIC	dissimilatory sulfite reductase delta subunit
dsrE			METABOLIC	dissimilatory sulfite reductase, subunit E
dsrF			METABOLIC	dissimilatory sulfite reductase, subunit F
dsrH			METABOLIC	dissimilatory sulfite reductase, subunit H
dsrJ			METABOLIC	dissimilatory sulfite reductase, subunit J
dsrK			METABOLIC	dissimilatory sulfite reductase, subunit K
dsrM			METABOLIC	dissimilatory sulfite reductase, subunit M
dsrO			METABOLIC	dissimilatory sulfite reductase, subunit O
dsrP			METABOLIC	dissimilatory sulfite reductase, subunit P
dsrR			METABOLIC	dissimilatory sulfite reductase, subunit R
dsrS			METABOLIC	dissimilatory sulfite reductase, subunit S
dsrT			METABOLIC	dissimilatory sulfite reductase, subunit T
EetA			METABOLIC	Iron reduction
EetB			METABOLIC	Iron reduction
fe			METABOLIC	Fe hydrogenase, Bidirectional
fefe-group-a13			METABOLIC	FeFe hydrogenase, H2-evolution/Electron-bifurcation
fefe-group-a2			METABOLIC	FeFe hydrogenase, H2-uptake
fefe-group-a4			METABOLIC	FeFe hydrogenase, H2-uptake/Electron-bifurcation
fefe-group-b			METABOLIC	FeFe hydrogenase, H2-evolution
fefe-group-c1			METABOLIC	FeFe hydrogenase, H2-sensing
fefe-group-c2			METABOLIC	FeFe hydrogenase, H2-sensing
fefe-group-c3			METABOLIC	FeFe hydrogenase, H2-sensing
FmnA			METABOLIC	Iron reduction
FmnB			METABOLIC	Iron reduction
FoxA			METABOLIC	Iron oxidation
FoxB			METABOLIC	Iron oxidation
FoxC			METABOLIC	Iron oxidation
FoxE			METABOLIC	Iron oxidation
FoxY			METABOLIC	Iron oxidation
FoxZ			METABOLIC	Iron oxidation
hydrazine_oxidase_hzoA			METABOLIC	hydroxylamine dehydrogenase, alpha subunit
hydrazine_synthase_hzsA			METABOLIC	hydrazine synthase subunit, alpha subunit
methanol_dehydrogenase_pqq_xoxF_mxaF			METABOLIC	methanol dehydrogenase (cytochrome c) subunit 1
MtoA			METABOLIC	Iron oxidation
MtrA			METABOLIC	Metal (Iron/Manganese) reduction
MtrB_TIGR03509			METABOLIC	Metal (Iron/Manganese) reduction
MtrC_TIGR03507			METABOLIC	Metal (Iron/Manganese) reduction
Ndh2			METABOLIC	Iron reduction
nife-group-1			METABOLIC	Ni-Fe Hydrogenase, H2-uptake
nife-group-2ade			METABOLIC	Ni-Fe Hydrogenase, H2-uptake
nife-group-2bc			METABOLIC	Ni-Fe Hydrogenase, H2-uptake
nife-group-3abd			METABOLIC	Ni-Fe Hydrogenase, Bidirectional
nife-group-3c			METABOLIC	Ni-Fe Hydrogenase, Electron-bifurcation
nife-group-4a-g			METABOLIC	Ni-Fe Hydrogenase, H2-evolving
nife-group-4hi			METABOLIC	Ni-Fe Hydrogenase, H2-uptake
nitric_oxide_reductase_norB			METABOLIC	nitric oxide reductase subunit B
nitric_oxide_reductase_norC			METABOLIC	nitric oxide reductase subunit C
nitrite_oxidoreductase_nxrA			METABOLIC	nitrate reductase / nitrite oxidoreductase, alpha subunit
nitrite_oxidoreductase_nxrB			METABOLIC	nitrate reductase / nitrite oxidoreductase, beta subunit
nitrite_reductase_nirS			METABOLIC	nitrite reductase (NO-forming) / hydroxylamine reductase
OmcF			METABOLIC	Iron reduction
OmcS			METABOLIC	Iron reduction
OmcZ			METABOLIC	Iron reduction
PF00296			METABOLIC	methanesulfonate monooxygenase
PF01053			METABOLIC	methionine gamma-lyase
PF01613			METABOLIC	dimethyl-sulfide monooxygenase subunit B
PF01654			METABOLIC	cytochrome bd ubiquinol oxidase subunit I
PF02332			METABOLIC	DMS oxygenase beta subunit
PF02332			METABOLIC	DMS oxygenase beta subunit
PF02335			METABOLIC	nitrite reductase (cytochrome c-552)
PF02406			METABOLIC	methane monooxygenase regulatory protein B
PF03892			METABOLIC	cytochrome c-type protein NapB
PF05048			METABOLIC	nitrous oxidase accessory protein
PF06099			METABOLIC	DMS oxygenase alpha subunit
PF06099			METABOLIC	DMS oxygenase alpha subunit
PF06778			METABOLIC	chlorite dismutase
PF07682			METABOLIC	sulfur oxygenase/reductase
PF07682			METABOLIC	sulfur oxygenase/reductase
PF09242			METABOLIC	flavocytochrome c sulphide dehydrogenase, flavin-binding
PF09242			METABOLIC	flavocytochrome c sulphide dehydrogenase, flavin-binding
pmoA			METABOLIC	methane/ammonia monooxygenase subunit A
pmoB			METABOLIC	methane/ammonia monooxygenase subunit B
pmoC			METABOLIC	methane/ammonia monooxygenase subunit C
PplA			METABOLIC	Iron reduction
rubisco_form_I			METABOLIC	Form I RuBisCO large subunit
rubisco_form_II			METABOLIC	Form II RuBisCO large subunit
soxA			METABOLIC	L-cysteine S-thiosulfotransferase
soxB			METABOLIC	S-sulfosulfanyl-L-cysteine sulfohydrolase
soxB			METABOLIC	S-sulfosulfanyl-L-cysteine sulfohydrolase
soxC			METABOLIC	sulfane dehydrogenase subunit SoxC
soxC			METABOLIC	sulfane dehydrogenase subunit SoxC
soxD			METABOLIC	S-disulfanyl-L-cysteine oxidoreductase SoxD
soxX			METABOLIC	L-cysteine S-thiosulfotransferase
soxY			METABOLIC	sulfur-oxidizing protein SoxY
soxY			METABOLIC	sulfur-oxidizing protein SoxY
soxYZ_like_carrier			METABOLIC	Dissimilatory sulfur metabolism | Thiosulfate oxidation
soxZ			METABOLIC	sulfur-oxidizing protein SoxZ
sulfide_quinone_oxidoreductase_sqr			METABOLIC	sulfide:quinone oxidoreductase
sulfide_quinone_oxidoreductase_sqr			METABOLIC	sulfide:quinone oxidoreductase
sulfocyanin			METABOLIC	Iron oxidation
sulfur_dioxygenase_sdo			METABOLIC	sulfur dioxygenase
sulfur_dioxygenase_sdo			METABOLIC	sulfur dioxygenase
thiosulfate_reductase_phsA			METABOLIC	thiosulfate reductase / polysulfide reductase chain A
thiosulfate_reductase_phsA			METABOLIC	thiosulfate reductase / polysulfide reductase chain A
TIGR00016			METABOLIC	acetate kinase
TIGR00192			METABOLIC	urease subunit beta
TIGR00193			METABOLIC	urease subunit gamma
TIGR00203			METABOLIC	cytochrome bd ubiquinol oxidase subunit II
TIGR00339			METABOLIC	sulfate adenylyltransferase
TIGR00339			METABOLIC	sulfate adenylyltransferase
TIGR00651			METABOLIC	phosphate acetyltransferase
TIGR00780			METABOLIC	cytochrome c oxidase cbb3-type subunit I
TIGR00781			METABOLIC	cytochrome c oxidase cbb3-type subunit II
TIGR00782			METABOLIC	cytochrome c oxidase cbb3-type subunit III
TIGR01054			METABOLIC	reverse gyrase
TIGR01282			METABOLIC	nitrogenase molybdenum-iron protein alpha chain
TIGR01286			METABOLIC	nitrogenase molybdenum-iron protein beta chain
TIGR01287			METABOLIC	nitrogenase iron protein
TIGR01323			METABOLIC	nitrile hydratase subunit alpha
TIGR01432			METABOLIC	cytochrome aa3-600 menaquinol oxidase subunit II
TIGR01433			METABOLIC	cytochrome o ubiquinol oxidase subunit II
TIGR01580			METABOLIC	nitrate reductase / nitrite oxidoreductase, alpha subunit
TIGR01660			METABOLIC	nitrate reductase / nitrite oxidoreductase, beta subunit
TIGR01706			METABOLIC	periplasmic nitrate reductase NapA
TIGR01792			METABOLIC	urease subunit alpha
TIGR01860			METABOLIC	nitrogenase vanadium-iron protein, alpha chain
TIGR01861			METABOLIC	nitrogenase iron-iron protein, alpha subunit
TIGR02188			METABOLIC	acetyl-CoA synthetase
TIGR02374			METABOLIC	nitrite reductase (NADH) large subunit
TIGR02376			METABOLIC	nitrite reductase (NO-forming)
TIGR02378			METABOLIC	nitrite reductase (NADH) small subunit
TIGR02658			METABOLIC	methylamine dehydrogenase heavy chain
TIGR02659			METABOLIC	methylamine dehydrogenase light chain
TIGR02717			METABOLIC	acetyl coenzyme A synthetase (ADP forming), alpha domain
TIGR02818			METABOLIC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
TIGR02819			METABOLIC	glutathione-independent formaldehyde dehydrogenase
TIGR02821			METABOLIC	S-formylglutathione hydrolase 
TIGR02847			METABOLIC	cytochrome o ubiquinol oxidase subunit IV
TIGR02866			METABOLIC	cytochrome c oxidase subunit II
TIGR02882			METABOLIC	cytochrome aa3-600 menaquinol oxidase subunit I
TIGR02891			METABOLIC	cytochrome c oxidase subunit I
TIGR02929			METABOLIC	nitrogenase iron-iron protein, delta subunit
TIGR02930			METABOLIC	nitrogenase vanadium-iron protein, delta chain
TIGR02931			METABOLIC	nitrogenase iron-iron protein, beta subunit
TIGR02932			METABOLIC	nitrogenase vanadium-iron protein, beta chain
TIGR03126			METABOLIC	5,6,7,8-tetrahydromethanopterin hydro-lyase
TIGR03148			METABOLIC	cytochrome c nitrite reductase, NrfD subunit
TIGR03153			METABOLIC	cytochrome c nitrite reductase small subunit
TIGR03256			METABOLIC	methyl-coenzyme M reductase alpha subunit
TIGR03257			METABOLIC	methyl-coenzyme M reductase beta subunit
TIGR03259			METABOLIC	methyl-coenzyme M reductase subunit C
TIGR03312			METABOLIC	putative selenate reductase FAD-binding subunit
TIGR03313			METABOLIC	putative selenate reductase molybdopterin-binding subunit
TIGR03315			METABOLIC	putative selenate reductase
TIGR03451			METABOLIC	S-(hydroxymethyl)mycothiol dehydrogenase
TIGR03478			METABOLIC	perchlorate reductase, subunit beta
TIGR03479			METABOLIC	perchlorate reductase, subunit alpha
TIGR03888			METABOLIC	nitrile hydratase subunit beta
TIGR04246			METABOLIC	nitrous-oxide reductase
TIGR04266			METABOLIC	methanol dehydrogenase
TIGR04315			METABOLIC	nitrite reductase (Octaheme c-type cytochrome Shewanella-type)
TIGR04550			METABOLIC	methane monooxygenase component D
K00001	3.26	2.5132176	KEGG	alcohol dehydrogenase [EC:1.1.1.1]
K00002	1.69	2.227886705	KEGG	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	0.23	1.361727836	KEGG	homoserine dehydrogenase [EC:1.1.1.3]
K00005	0.65	1.812913357	KEGG	glycerol dehydrogenase [EC:1.1.1.6]
K00007	0.53	1.72427587	KEGG	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	3.21	2.506505032	KEGG	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	0.49	1.69019608	KEGG	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	5.41	2.733197265	KEGG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	1.4	2.146128036	KEGG	aldehyde reductase [EC:1.1.1.21]
K00013	0.12	1.079181246	KEGG	histidinol dehydrogenase [EC:1.1.1.23]
K00014	0.62	1.792391689	KEGG	shikimate dehydrogenase [EC:1.1.1.25]
K00015	1.86	2.269512944	KEGG	glyoxylate reductase [EC:1.1.1.26]
K00016	0.3	1.477121255	KEGG	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	1.89	2.276461804	KEGG	glycerate dehydrogenase [EC:1.1.1.29]
K00019	10	3.089551883	KEGG	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	2.84	2.45331834	KEGG	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	0.03	0.477121255	KEGG	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00023	10	3.158060794	KEGG	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	0.33	1.51851394	KEGG	malate dehydrogenase [EC:1.1.1.37]
K00029	0.16	1.204119983	KEGG	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	0.21	1.322219295	KEGG	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	0.26	1.414973348	KEGG	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	1.8	2.255272505	KEGG	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	1.88	2.274157849	KEGG	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	10	3.191171456	KEGG	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	2.07	2.315970345	KEGG	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	0.82	1.913813852	KEGG	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038	10	3.149834697	KEGG	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	10	3.064457989	KEGG	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	0.55	1.740362689	KEGG	fructuronate reductase [EC:1.1.1.57]
K00041	0.5	1.698970004	KEGG	tagaturonate reductase [EC:1.1.1.58]
K00042	2.43	2.385606274	KEGG	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	0.86	1.934498451	KEGG	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00045	0.6	1.77815125	KEGG	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00048	0.84	1.924279286	KEGG	lactaldehyde reductase [EC:1.1.1.77]
K00049	1.82	2.260071388	KEGG	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00052	0.25	1.397940009	KEGG	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	0.19	1.278753601	KEGG	ketol-acid reductoisomerase [EC:1.1.1.86]
K00055	3.01	2.478566496	KEGG	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00058	2.1	2.322219295	KEGG	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	10	3.233757363	KEGG	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	3.12	2.494154594	KEGG	threonine 3-dehydrogenase [EC:1.1.1.103]
K00064	1.78	2.250420002	KEGG	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	10	3.150449409	KEGG	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00067	10	4.061979947	KEGG	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	10	3.139249218	KEGG	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00074	0.28	1.447158031	KEGG	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00077	0.33	1.51851394	KEGG	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00082	0.06	0.77815125	KEGG	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00084	6.98	2.843855423	KEGG	carbonyl reductase 3 [EC:1.1.1.184]
K00086	1	2	KEGG	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00090	1.86	2.269512944	KEGG	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
