Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_ambig_region	nonviral_region_pos
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497						phrog_25613	62.063454						97.708755	0.5042735042735043						0.972972972972973	10.0	0.37	3.19	402.0	2181.0			medium	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein						""	phrog_25613	""	PHROG	false		false		true	false	
vRhyme_bin_1__BAr2D2E2F_000000370749_12	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	single strand DNA binding protein	K03111		PF00436.32				phrog_44	149.515854		105.326241				153.249634	0.41638225255972694		0.9711538461538461				0.5387453874538746	10.0	10.0	10.0	1050.0	8400.0			high	ssb; single-strand DNA-binding protein		Single-strand binding protein family				single strand DNA binding protein	phrog_44	single strand DNA binding protein	PHROG	false		false		true	false	
vRhyme_bin_1__BAr2D2E2F_000000370749_39	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	lexA; repressor LexA [EC:3.4.21.88]	K01356		PF00717.29					198.478943		69.666962					0.6456953642384106		1.0					10.0	10.0	10.0	4146.0	759.0			high	lexA; repressor LexA [EC:3.4.21.88]		Peptidase S24-like					K01356	lexA; repressor LexA [EC:3.4.21.88]	KEGG	false		false		true	false	
vRhyme_bin_12__LABRr1A1B1C_000000124220_15	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	higA; HTH-type transcriptional regulator / antitoxin HigA	K18831						phrog_2439	229.427689						64.923645	0.7265193370165746						0.6648501362397821	5.79	10.0	10.0	306.0	3531.0	9492.0	6633.0	medium	higA; HTH-type transcriptional regulator / antitoxin HigA						transcriptional regulator	K18831	higA; HTH-type transcriptional regulator / antitoxin HigA	KEGG	false		false		true	false	
vRhyme_bin_11__MGr3G3H3I_000000213947_5	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	'Cold-shock' DNA-binding domain			PF00313.29							99.704941							0.9696969696969697					10.0	10.0	10.0	3768.0	711.0			high			'Cold-shock' DNA-binding domain					PF00313	'Cold-shock' DNA-binding domain	Pfam	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000049988_25	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]		HMMsoil22408	PF00072.31						67.563881	67.017998						0.4954545454545455	0.8018018018018018					10.0	10.0	5.81	816.0	1581.0			low		cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Response regulator receiver domain					HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	FOAM	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000121636_5	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	Global regulator protein family			PF02599.22				phrog_9500			103.542549				71.70816			0.9433962264150944				0.7692307692307693	10.0	10.0	10.0		4389.0			medium			Global regulator protein family				CsrA-like regulator	PF02599	Global regulator protein family	Pfam	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000342937_21	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	RNA-binding protein	K11089		PF05731.18				phrog_850	599.674011		136.588104				277.158569	0.7988165680473372		0.8986486486486487				0.9621848739495799				2673.0	2835.0			high	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein		TROVE domain				RNA-binding protein	K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein	KEGG	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000342937_25	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	groES, HSPE1; chaperonin GroES	K04078		PF00166.27				phrog_3188	133.517242		110.188286				92.173882	0.46859903381642515		0.978494623655914				0.9791666666666666	10.0	10.0	3.67	5508.0	1224.0			high	groES, HSPE1; chaperonin GroES		Chaperonin 10 Kd subunit				co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG	false		false		true	false	
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_2	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	transcriptional repressor							phrog_4							60.781254							0.46	10.0	10.0	10.0		1794.0			medium							transcriptional repressor	phrog_4	transcriptional repressor	PHROG	false		false		true	false	
