id	name	V-score	VL-score	db	genomad_plasmid_marker
K04763	integrase/recombinase XerD	10.0	4.890951685	KEGG	False
K14059	integrase	10.0	4.882296801	KEGG	False
K03733	integrase/recombinase XerC	10.0	4.875391202	KEGG	False
K03497	ParB family transcriptional regulator, chromosome partitioning protein	10.0	4.484769478	KEGG	True
K06400	site-specific DNA recombinase	10.0	4.37329828	KEGG	False
K07450	putative resolvase	10.0	4.204933522	KEGG	False
K07496	putative transposase	10.0	3.890700398	KEGG	False
K07497	putative transposase	10.0	3.754730469	KEGG	False
K03496	chromosome partitioning protein	10.0	3.661244609	KEGG	True
K12055	chromosome partitioning related protein ParA	10.0	3.562768543	KEGG	False
K02621	topoisomerase IV subunit A [EC:5.6.2.2]	10.0	3.400537989	KEGG	True
K19732	LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids	10.0	3.211921084	KEGG	True
K07482	transposase, IS30 family	10.0	3.186391216	KEGG	False
K07483	transposase	10.0	3.182699903	KEGG	False
K12212	intracellular multiplication protein IcmJ	10.0	3.164352856	KEGG	True
K07486	transposase	10.0	3.118925753	KEGG	False
K07467	putative DNA relaxase	10.0	3.10720997	KEGG	True
K18640	plasmid segregation protein ParM	10.0	3.102433706	KEGG	True
K07488	transposase	10.0	3.08170727	KEGG	False
K12063	conjugal transfer ATP-binding protein TraC	10.0	3.022840611	KEGG	True
K07491	REP-associated tyrosine transposase	8.51	2.92992956	KEGG	False
K07449	similar to archaeal holliday junction resolvase and Mrr protein	8.07	2.906873535	KEGG	False
K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	8.05	2.90579588	KEGG	True
K07492	putative transposase	6.81	2.833147112	KEGG	False
K07481	transposase, IS5 family	6.48	2.811575006	KEGG	False
K07485	transposase	5.8	2.763427994	KEGG	False
K07499	putative transposase	5.56	2.745074792	KEGG	False
K07487	transposase	5.48	2.738780558	KEGG	False
K07493	putative transposase	5.48	2.738780558	KEGG	False
K12071	conjugal transfer pilus assembly protein TraD	4.98	2.697229343	KEGG	True
K03199	type IV secretion system protein VirB4 [EC:7.4.2.8]	4.79	2.680335513	KEGG	True
K15338	holliday junction resolvase GEN1/YEN1 [EC:3.1.-.-]	4.71	2.673020907	KEGG	False
K03552	holliday junction resolvase [EC:3.1.21.10]	4.69	2.671172843	KEGG	False
K07484	transposase	4.09	2.611723308	KEGG	False
K07494	putative transposase	3.88	2.588831726	KEGG	False
K26534	Poxviridae DNA holliday junction resolvase [EC:3.1.-.-]	3.7	2.568201724	KEGG	False
K01664	para-aminobenzoate synthetase component II [EC:2.6.1.85]	2.47	2.392696953	KEGG	False
K07495	putative transposase	2.45	2.389166084	KEGG	False
K13791	invasion plasmid antigen	2.44	2.387389826	KEGG	False
K13950	para-aminobenzoate synthetase [EC:2.6.1.85]	2.16	2.334453751	KEGG	False
K07332	archaeal flagellar protein FlaI	1.94	2.28780173	KEGG	True
K12062	conjugal transfer pilin signal peptidase TrbI	1.84	2.264817823	KEGG	True
K03194	type IV secretion system protein VirB1	1.47	2.167317335	KEGG	True
