Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	step5_in_merged_region	nonviral_region_pos	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	protein_in_nonviral_region
vRhyme_bin_1__BAr2D2E2F_000000009081_1	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	Putative peptidoglycan binding domain			PF01471.24							36.04829							0.8947368421052632						10.0		NaN	7116.0	NaN	NaN	true		high			Putative peptidoglycan binding domain					PF01471	Putative peptidoglycan binding domain	Pfam	false
vRhyme_bin_1__BAr2D2E2F_000000009081_2	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	6405.0	NaN	NaN	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000009081_3	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	5790.0	NaN	NaN	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000009081_4	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	5367.0	NaN	NaN	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000009081_5	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	4887.0	NaN	NaN	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_6	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	4428.0	NaN	NaN	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_7	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	4245.0	NaN	NaN	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_8	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	3564.0	NaN	NaN	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_9	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	3297.0	NaN	NaN	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000009081_10	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	2136.0	NaN	NaN	true		high											false
