Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_bin_11__MHr2D2E2F_000000047197_2	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	metabolic	high	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [EC:1.8.4.10]			HMMsoil57593	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [EC:1.8.4.10]	PF01507.26	Phosphoadenosine phosphosulfate reductase domain							phrog_424	phosphoadenosine phosphosulfate reductase	phrog_424	phosphoadenosine phosphosulfate reductase	PHROG
vRhyme_bin_12__LABRr1A1B1C_000000137286_10	vRhyme_bin_12__LABRr1A1B1C_000000137286	LABRr1A1B1C_vRhyme_bin_12	metabolic	high	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]			HMMsoil126565	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]	PF09479.17	Listeria-Bacteroides repeat domain (List_Bact_rpt)									PF09479.17	Listeria-Bacteroides repeat domain (List_Bact_rpt)	Pfam
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_8	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	metabolic	high	Iron reduction					PF01436.28	NHL repeat			DFE_0451	Iron reduction					PF01436.28	NHL repeat	Pfam
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	metabolic	high	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]			HMMsoil25269	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	PF00571.34	CBS domain									HMMsoil25269	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	FOAM
vRhyme_unbinned_30__MGr3G3H3I_000000102693_23	vRhyme_unbinned_30__MGr3G3H3I_000000102693	vRhyme_unbinned_30__MGr3G3H3I_000000102693	metabolic	high	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]			HMMsoil126565	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]											HMMsoil126565	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]; nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1] [EC:1.7.99.1]	FOAM
vRhyme_unbinned_72__MGr3G3H3I_000000211191_24	vRhyme_unbinned_72__MGr3G3H3I_000000211191	vRhyme_unbinned_72__MGr3G3H3I_000000211191	metabolic	high	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]			HMMsoil84266	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]											HMMsoil84266	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	FOAM
vRhyme_unbinned_88__MGr3G3H3I_000000288833_135	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	metabolic	high	livF; branched-chain amino acid transport system ATP-binding protein			HMMsoil125912	livF; branched-chain amino acid transport system ATP-binding protein											HMMsoil125912	livF; branched-chain amino acid transport system ATP-binding protein	FOAM
vRhyme_unbinned_88__MGr3G3H3I_000000288833_93	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	metabolic	high	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]; PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]			HMMsoil93440	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]; PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	PF00676.26	Dehydrogenase E1 component							phrog_34187	""	phrog_34187	""	PHROG
vRhyme_unbinned_98__MGr3G3H3I_000000054290|provirus_3_6002_10	vRhyme_unbinned_98__MGr3G3H3I_000000054290|provirus_3_6002	vRhyme_unbinned_98__MGr3G3H3I_000000054290|provirus_3_6002	metabolic	high	alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]			HMMsoil40965	alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]	PF01381.29	Helix-turn-helix							phrog_2104	""	HMMsoil40965	alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]	FOAM
vRhyme_bin_11__MGr3G3H3I_000000044066_1	vRhyme_bin_11__MGr3G3H3I_000000044066	MGr3G3H3I_vRhyme_bin_11	metabolic	medium	ABC.CD.P; putative ABC transport system permease protein			HMMsoil78089	ABC.CD.P; putative ABC transport system permease protein	PF02687.28	FtsX-like permease C-terminal									HMMsoil78089	ABC.CD.P; putative ABC transport system permease protein	FOAM
