Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_ambig_region	nonviral_region_pos
vRhyme_bin_11__LABRr1A1B1C_000000203956_1	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11	Ribulose-phosphate 3 epimerase family		HMMsoil44705	PF00834.26						84.290543	97.940231						0.525	0.5303030303030303					0.3	0.27			315.0			low		rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	Ribulose-phosphate 3 epimerase family					PF00834	Ribulose-phosphate 3 epimerase family	Pfam	true	hard|nucleotide|FOAM|HMMsoil44705	true	hard|nucleotide|FOAM|HMMsoil44705	false	true	
vRhyme_bin_11__LABRr1A1B1C_000000270577_21	vRhyme_bin_11__LABRr1A1B1C_000000270577	LABRr1A1B1C_vRhyme_bin_11	Dual specificity phosphatase, catalytic domain		HMMsoil84880	PF00782.26						71.837044	66.42421						0.8695652173913043	0.9022556390977443					6.63	9.08	0.07	1242.0	678.0			medium		K14165; atypical dual specificity phosphatase [EC:3.1.3.16] [EC:3.1.3.48]; E3.1.3.16; protein phosphatase [EC:3.1.3.16]	Dual specificity phosphatase, catalytic domain					HMMsoil84880	K14165; atypical dual specificity phosphatase [EC:3.1.3.16] [EC:3.1.3.48]; E3.1.3.16; protein phosphatase [EC:3.1.3.16]	FOAM	false		false		true	false	
vRhyme_bin_11__MGr3G3H3I_000000044066_1	vRhyme_bin_11__MGr3G3H3I_000000044066	MGr3G3H3I_vRhyme_bin_11	ABC.CD.P; putative ABC transport system permease protein		HMMsoil78089	PF02687.28						158.37764	80.085152						0.8873239436619719	0.9916666666666667					1.16	1.71	0.16		2445.0			low		ABC.CD.P; putative ABC transport system permease protein	FtsX-like permease C-terminal					HMMsoil78089	ABC.CD.P; putative ABC transport system permease protein	FOAM	false		false		false	true	
vRhyme_bin_11__MHr2D2E2F_000000167594_5	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	ABC.SN.P; NitT/TauT family transport system permease protein		HMMsoil56955							79.698219							0.8370786516853933										1122.0			low		ABC.SN.P; NitT/TauT family transport system permease protein						HMMsoil56955	ABC.SN.P; NitT/TauT family transport system permease protein	FOAM	false		false		false	true	
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_31	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	K13955	HMMsoil27784					phrog_2640	262.0047	245.153305					182.516815	0.9940298507462687	0.9813953488372092					0.9623188405797102	2.58	2.29	2.24	1923.0				medium	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]					zinc containing alcohol dehydrogenase superfamily	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	KEGG	false		false		false	true	
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_22	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	typA, bipA; GTP-binding protein	K06207	HMMsoil17302					phrog_6880	977.649536	79.532555					417.816376	0.7534766118836915	0.538083538083538					0.8741721854304636	2.35	4.02	1.74	8394.0	1797.0			low	typA, bipA; GTP-binding protein	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]					translation elongation factor	K06207	typA, bipA; GTP-binding protein	KEGG	true	hard|nucleotide|KEGG|K06207	true	hard|nucleotide|KEGG|K06207	false	true	
vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434_1	vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434	vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	K21064		PF08282.19				phrog_4901	159.629715		155.693008				95.913498	0.825		1.0				0.6446886446886447	2.13	2.12	0.51		6675.0			low	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]		haloacid dehalogenase-like hydrolase				hydrolase	K21064	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	KEGG	true	hard|nucleotide|KEGG|K21064	true	hard|nucleotide|KEGG|K21064	false	true	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_2	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	K04487	HMMsoil86550	PF00266.26				phrog_12787	481.804535	415.759857	241.258102				356.25882	0.688212927756654	0.9781420765027322	0.9730458221024259				0.9560723514211886	7.63	8.55	6.49		1134.0		7785.0	low	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	Aminotransferase class-V				""	K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	KEGG	false		false		false	true	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_15	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	Iron reduction	K18235		PF08450.19		DFE_0463			144.762207		74.709846		154.275818			0.8391304347826087		0.45528455284552843		0.5366666666666666			9.99	3.47	0.57	3966.0		8559.0		low	vgb; virginiamycin B lyase [EC:4.2.99.-]		SMP-30/Gluconolactonase/LRE-like region		Iron reduction			DFE_0463	Iron reduction	METABOLIC	false		false		false	true	
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]		HMMsoil25269	PF00571.34						113.760544	109.729401						0.9814814814814815	0.9824561403508771					1.36	1.73		2811.0				low		ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	CBS domain					HMMsoil25269	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	FOAM	false		false		false	true	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_23	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	NADH dehydrogenase ubiquinone Fe-S protein 4		HMMsoil4371	PF04800.18						114.846161	109.088951						1.0	0.9791666666666666					0.52	0.52		5949.0	783.0	8835.0		low		NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	NADH dehydrogenase ubiquinone Fe-S protein 4					HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	FOAM	false		false		false	true	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_26	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	K09251	HMMsoil34373	PF00202.28				phrog_2736	427.51001	501.223633	299.811218				107.9188	0.7481884057971014	0.9968051118210862	0.967741935483871				0.8540540540540541	4.42	4.46	1.22	549.0		10167.0		low	patA; putrescine aminotransferase [EC:2.6.1.82]	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	Aminotransferase class-III				aminotransferase	HMMsoil34373	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	FOAM	true	hard|glucan|PHROG|phrog_2736	true	hard|glucan|PHROG|phrog_2736	false	true	
vRhyme_unbinned_48__MGr3G3H3I_000000154912_1	vRhyme_unbinned_48__MGr3G3H3I_000000154912	vRhyme_unbinned_48__MGr3G3H3I_000000154912	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]		HMMsoil133058							103.652306							0.5727272727272728										492.0			high		deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]						HMMsoil133058	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]	FOAM	true	hard|nucleotide|FOAM|HMMsoil133058	true	hard|nucleotide|FOAM|HMMsoil133058	false	true	
vRhyme_unbinned_53__MGr3G3H3I_000000162938_6	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	aroK, aroL; shikimate kinase [EC:2.7.1.71]		HMMsoil73877							74.833595							0.9454545454545454						10.0	10.0	4.76	660.0	7746.0		10611.0	medium		aroK, aroL; shikimate kinase [EC:2.7.1.71]						HMMsoil73877	aroK, aroL; shikimate kinase [EC:2.7.1.71]	FOAM	true	hard|nucleotide|FOAM|HMMsoil73877	true	hard|nucleotide|FOAM|HMMsoil73877	true	false	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_90	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	dTDP-4-dehydrorhamnose 3,5-epimerase	K01790		PF00908.24				phrog_8784	204.361313		170.489578				133.154785	0.6377358490566037		0.9523809523809523				0.8	6.61	5.68	4.45	627.0	546.0	36369.0		medium	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]		dTDP-4-dehydrorhamnose 3,5-epimerase				dTDP-4-dehydrorhamnose 3,5-epimerase	K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	KEGG	true	hard|glucan|KEGG|K01790	true	hard|glucan|KEGG|K01790	true	false	
