Protein	Contig	Genome	Classification	Function	Final AVG Probability	Final AVG Confidence Level
vRhyme_bin_1__BAr2D2E2F_000000009081_1	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_2	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_3	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_4	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_5	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_6	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_7	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_8	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_9	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_10	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_11	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_12	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_13	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.843	high
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	regulatory	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	0.229	medium
vRhyme_bin_1__BAr2D2E2F_000000009081_15	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_16	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_17	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_18	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_19	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_20	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_21	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified	acm; lysozyme	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_22	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified	DNA methyltransferase	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_23	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_24	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_25	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_26	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_27	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_28	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_29	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_30	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_31	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	unclassified	""	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_1	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_2	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_3	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_4	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified	PDF, def; peptide deformylase [EC:3.5.1.88]	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_5	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_6	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified	udg; uracil-DNA glycosylase [EC:3.2.2.27]	0.8987	high
vRhyme_bin_1__BAr2D2E2F_000000011539_7	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_8	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_9	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_10	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_11	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	unclassified		0.0	low
