Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	step5_in_merged_region	nonviral_region_pos	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	protein_in_ambig_region
vRhyme_bin_1__BAr2D2E2F_000000009081_1	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																							10.0	10.0			7116.0		7518.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_2	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										711.0	6405.0		6807.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_3	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1326.0	5790.0		6192.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_4	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1749.0	5367.0		5769.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_5	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										2229.0	4887.0		5289.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_6	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										2688.0	4428.0		4830.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_7	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										2871.0	4245.0		4647.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_8	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										3552.0	3564.0		3966.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_9	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										3819.0	3297.0		3699.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_10	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										4980.0	2136.0		2538.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_11	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										5847.0	1269.0		1671.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_12	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										6522.0	594.0		996.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_13	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																							10.0	10.0	5.81	7116.0	402.0		402.0	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497						phrog_25613	62.063454						97.708755	0.5042735042735043						0.972972972972973	10.0	0.37	3.19	402.0	2181.0			true		medium	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein						""	phrog_25613	""	PHROG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_15	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										918.0	1263.0	918.0		true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_16	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1671.0	510.0	1671.0		true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_17	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																							10.0	10.0	10.0	2181.0	846.0	2181.0		true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_18	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																							10.0	10.0		846.0	2535.0	3027.0		true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_19	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1053.0	1482.0	4080.0		true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_20	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1614.0	921.0	4641.0		true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_21	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	acm; lysozyme	K07273		PF01183.27	GH25			phrog_6219	244.193115		151.30217	172.676987			125.304916	0.47341772151898737		1.0	1.0			0.5828220858895705	10.0	10.0	10.0	2535.0	723.0	5562.0		true		medium	acm; lysozyme		Glycosyl hydrolases family 25	lysozyme (EC 3.2.1.17)			endolysin	K07273	acm; lysozyme	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_22	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	DNA methyltransferase			PF02086.22				phrog_56			190.726501				210.319733			1.0				0.401854714064915	10.0	10.0	10.0	723.0		6285.0		true		low			D12 class N6 adenine-specific DNA methyltransferase				DNA methyltransferase	phrog_56	DNA methyltransferase	PHROG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_23	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										837.0		7122.0		false		low											true
vRhyme_bin_1__BAr2D2E2F_000000009081_24	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										990.0		7275.0		false		low											true
vRhyme_bin_1__BAr2D2E2F_000000009081_25	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1383.0		7668.0		false		low											true
vRhyme_bin_1__BAr2D2E2F_000000009081_26	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1536.0		7821.0		false		low											true
vRhyme_bin_1__BAr2D2E2F_000000009081_27	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1872.0		8157.0		false		low											true
vRhyme_bin_1__BAr2D2E2F_000000009081_28	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																								3.96		2001.0		8286.0		false		low											true
vRhyme_bin_1__BAr2D2E2F_000000009081_29	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										2499.0		8784.0		false		low											true
