genome	contig	protein	gene_number	contig_pos_start	contig_pos_end	frame	is_bin	KEGG_score	METABOLIC_score	Pfam_score	dbCAN_score	PHROG_score	FOAM_score	KEGG_alignment_type	METABOLIC_alignment_type	Pfam_alignment_type	dbCAN_alignment_type	PHROG_alignment_type	FOAM_alignment_type	KEGG_hmm_id	METABOLIC_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	PHROG_hmm_id	FOAM_hmm_id	KEGG_evalue	METABOLIC_evalue	Pfam_evalue	dbCAN_evalue	PHROG_evalue	FOAM_evalue	KEGG_coverage_sequence	METABOLIC_coverage_sequence	Pfam_coverage_sequence	dbCAN_coverage_sequence	PHROG_coverage_sequence	FOAM_coverage_sequence	KEGG_coverage_hmm	METABOLIC_coverage_hmm	Pfam_coverage_hmm	dbCAN_coverage_hmm	PHROG_coverage_hmm	FOAM_coverage_hmm	Pfam_V-score	Pfam_VL-score	KEGG_V-score	KEGG_VL-score	PHROG_V-score	PHROG_VL-score	CAMPER_score	CAMPER_alignment_type	CAMPER_hmm_id	CAMPER_evalue	CAMPER_coverage_sequence	CAMPER_coverage_hmm	gene_length_bases	prot_length_AAs	contig_left_end_dist	contig_right_end_dist	contig_left_end_gene_dist	contig_right_end_gene_dist	contig_avg_KEGG_V-score	contig_avg_Pfam_V-score	contig_avg_PHROG_V-score	contig_avg_KEGG_VL-score	contig_avg_Pfam_VL-score	contig_avg_PHROG_VL-score	circular_contig	window_avg_KEGG_VL-score	window_avg_Pfam_VL-score	window_avg_PHROG_VL-score	window_avg_KEGG_V-score	window_avg_Pfam_V-score	window_avg_PHROG_V-score	candidate_region_id	refined_region_id	viral_region_id	step1_seed_strict_wvl	step1_in_candidate_region	step2_passes_vscore_gate	step2_in_refined_core	step3_bridge_ok	step3_in_walkback_extended	step4_in_snapped_region	step5_in_merged_region	KEGG_viral_left_dist	KEGG_viral_right_dist	Pfam_viral_left_dist	Pfam_viral_right_dist	PHROG_viral_left_dist	PHROG_viral_right_dist	KEGG_MGE_left_dist	KEGG_MGE_right_dist	Pfam_MGE_left_dist	Pfam_MGE_right_dist	PHROG_MGE_left_dist	PHROG_MGE_right_dist	KEGG_V-score_left_MGE	KEGG_V-score_right_MGE	KEGG_VL-score_left_MGE	KEGG_VL-score_right_MGE	Pfam_V-score_left_MGE	Pfam_V-score_right_MGE	Pfam_VL-score_left_MGE	Pfam_VL-score_right_MGE	PHROG_V-score_left_MGE	PHROG_V-score_right_MGE	PHROG_VL-score_left_MGE	PHROG_VL-score_right_MGE	LGBM_viral_prob	Viral_Origin_Confidence
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_1	1	22	732	1	true			36.04829						full						PF01471.24						1.2e-9						0.270042194092827						0.8947368421052632				10.0	4.091772441											711	237	21.0	20274.0	0.0	30.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	NaN	4.091772441	NaN	NaN	10.0	NaN	0	0	0	true	true	true	true	true	true	true	true	NaN	7518.0	NaN	7116.0	NaN	13080.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8799807	high
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_2	2	784	1398	1	true																																																	615	205	783.0	19608.0	1.0	29.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	NaN	4.091772441	NaN	NaN	10.0	NaN	0	0	0	true	true	false	true	true	true	true	true	NaN	6807.0	711.0	6405.0	NaN	12369.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.89972913	high
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_3	3	1405	1827	1	true																																																	423	141	1404.0	19179.0	2.0	28.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	NaN	4.091772441	NaN	NaN	10.0	NaN	0	0	0	true	true	false	true	true	true	true	true	NaN	6192.0	1326.0	5790.0	NaN	11754.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9070375	high
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_4	4	1983	2462	-1	true																																																	480	160	1982.0	18544.0	3.0	27.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	NaN	3.7532893605	NaN	NaN	10.0	NaN	0	0	0	true	true	false	true	true	true	true	true	NaN	5769.0	1749.0	5367.0	NaN	11331.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.90119845	high
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_5	5	2516	2974	1	true																																																	459	153	2515.0	18032.0	4.0	26.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.484769478	3.024926815	2.503790683	10.0	6.79	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	5289.0	2229.0	4887.0	NaN	10851.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.75218195	medium
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_6	6	3063	3245	1	true																																																	183	61	3062.0	17761.0	5.0	25.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.484769478	3.024926815	2.503790683	10.0	6.79	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	4830.0	2688.0	4428.0	NaN	10392.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7643812	medium
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_7	7	3467	4147	-1	true																																																	681	227	3466.0	16859.0	6.0	24.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.484769478	3.024926815	2.503790683	10.0	6.79	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	4647.0	2871.0	4245.0	NaN	10209.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7872534	medium
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_8	8	4252	4518	-1	true																																																	267	89	4251.0	16488.0	7.0	23.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.484769478	3.024926815	2.503790683	10.0	6.79	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	3966.0	3552.0	3564.0	NaN	9528.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.84538966	medium
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_9	9	4515	5675	-1	true																																																	1161	387	4514.0	15331.0	8.0	22.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.184158678499999	3.20120889925	2.503790683	10.0	7.5925	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	3699.0	3819.0	3297.0	NaN	9261.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.89475715	high
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_10	10	5755	6621	1	true																																																	867	289	5754.0	14385.0	9.0	21.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.184158678499999	3.3081666962	2.503790683	10.0	8.074000000000002	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	2538.0	4980.0	2136.0	NaN	8100.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.915609	high
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_11	11	6631	7305	-1	true																																																	675	225	6630.0	13701.0	10.0	20.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.184158678499999	3.11226526	2.503790683	10.0	7.592500000000001	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	1671.0	5847.0	1269.0	NaN	7233.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.83827776	medium
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_12	12	7308	7901	-1	true					38.040791						full						phrog_29367						2e-10						0.51010101010101						0.3412969283276451														594	198	7307.0	13105.0	11.0	19.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.184158678499999	3.11226526	2.503790683	10.0	7.592500000000001	3.19	0	0	0	true	true	false	true	true	true	true	true	NaN	996.0	6522.0	594.0	NaN	6558.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7986429	medium
BAr2D2E2F_vRhyme_bin_1	vRhyme_bin_1__BAr2D2E2F_000000009081	vRhyme_bin_1__BAr2D2E2F_000000009081_13	13	7906	8307	-1	true			32.321281			36.993263			full			full			PF00072.31			HMMsoil22408			1.8e-8			5.1e-10			0.7686567164179104			0.8582089552238806			0.8468468468468469			0.4954545454545455	10.0	3.41480628											402	134	7905.0	12699.0	12.0	18.0	10.0	8.04125	7.7299999999999995	4.15069028475	3.412651674125	3.5447131946666666	false	4.184158678499999	3.11226526	2.503790683	10.0	7.592500000000001	3.19	0	0	0	true	true	true	true	true	true	true	true	NaN	402.0	7116.0	2583.0	NaN	5964.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.0	NaN	4.4847693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3474914	low
