id,threshold
K00001,402.33
K00002,442.77
K00003,282.1
K00004,386.33
K00005,327.1
K00006,297.03
K00007,508.6
K00008,424.6
K00009,163.67
K00010,272.37
K00011,575.9
K00012,388.27
K00013,505.87
K00014,291.17
K00015,417.03
K00016,302.37
K00018,324.73
K00019,189.47
K00020,353.03
K00021,447.47
K00022,360.57
K00023,340.03
K00024,384.33
K00025,549.8
K00026,496.57
K00027,527.13
K00028,747.67
K00029,298.3
K00030,432.13
K00031,64.8
K00032,491.8
K00033,157.1
K00034,314.3
K00035,363.07
K00036,378.67
K00037,660.5
K00038,310.53
K00039,269.8
K00040,594.3
K00041,283.33
K00042,398
K00043,430.33
K00044,399.17
K00045,650.2
K00046,316.73
K00048,557.93
K00049,442.83
K00051,634.93
K00052,439.2
K00053,164.43
K00054,300.57
K00055,382.23
K00057,276.97
K00058,329.87
K00059,264.47
K00060,334.1
K00061,507.17
K00062,325.7
K00063,435.77
K00064,259.47
K00065,334.23
K00066,476
K00067,294.43
K00068,276.67
K00069,220.17
K00070,397.77
K00071,470.97
K00072,199
K00073,537.5
K00074,342.4
K00075,78.17
K00076,269.97
K00077,74.47
K00078,264.23
K00079,325.03
K00081,444.57
K00082,350.83
K00083,542.13
K00084,472.33
K00085,660.43
K00086,610.23
K00087,390.67
K00088,371.5
K00089,742.03
K00090,432.23
K00091,342.07
K00093,425.27
K00094,465.17
K00095,
K00096,159.97
K00097,425.67
K00098,356.27
K00099,224.9
K00100,547.93
K00101,511.6
K00102,526.27
K00103,389.17
K00104,527.23
K00105,558.23
K00106,1529
K00107,513.23
K00108,720.97
K00109,430.47
K00111,160.87
K00112,129.2
K00113,270.27
K00114,666.3
K00115,712.1
K00116,176.7
K00117,790.63
K00118,530
K00119,519.1
K00120,514.37
K00121,624.03
K00122,231.73
K00123,833.3
K00124,152.5
K00125,192.23
K00126,53.2
K00127,80.77
K00128,590.77
K00129,780.47
K00130,680.5
K00131,478.7
K00132,654.27
K00133,212.67
K00134,412.47
K00135,584.5
K00137,684.2
K00138,746.57
K00139,811.4
K00140,505.77
K00141,628.03
