pfam_acc	hmmer_rejected	hmmer_supported	hmmer_borderline	total	frac_rejected
PF03659	128006	9	30	128045	0.9996954195790543
PF01474	108794	16	12	108822	0.9997426990865818
PF01384	102503	190	51	102744	0.9976543642451141
PF02224	94983	240	2193	97416	0.9750246366100025
PF07971	95175	207	16	95398	0.9976624247887796
PF00920	94795	283	13	95091	0.9968871922684587
PF01053	91505	1118	1630	94253	0.9708444293550338
PF01373	90807	0	10	90817	0.999889888457007
PF01293	88852	107	239	89198	0.9961209892598488
PF00310	88440	0	18	88458	0.9997965135996745
PF00490	87526	131	44	87701	0.9980045837561715
PF00162	84576	234	16	84826	0.9970527904180322
PF00016	80523	56	10	80589	0.9991810296690615
PF00464	78902	452	112	79466	0.992902625022022
PF00393	79122	159	24	79305	0.9976924531870626
PF03320	78949	33	35	79017	0.9991394256932052
PF01218	78558	75	34	78667	0.9986144126507939
PF01259	78258	314	4	78576	0.9959529627367135
PF01070	76919	569	606	78094	0.9849540297590084
PF02781	77731	146	11	77888	0.9979842851273624
PF02548	75853	222	51	76126	0.9964138402122796
PF01077	75711	141	25	75877	0.9978122487710374
PF01654	75085	69	12	75166	0.9989223851209323
PF09206	74678	145	62	74885	0.9972357615009682
PF00456	73402	770	162	74334	0.9874619958565394
PF01120	72099	274	23	72396	0.9958975634012929
PF05221	69798	242	4	70044	0.9964879218776769
PF00723	69580	27	17	69624	0.9993680340112605
PF02350	68979	446	156	69581	0.9913482128742042
PF04724	68715	246	31	68992	0.9959850417439703
PF00113	68504	327	28	68859	0.9948445373879957
PF03331	66897	203	20	67120	0.9966775923718713
PF02562	62298	1379	3097	66774	0.9329679216461497
PF00463	65552	88	12	65652	0.9984768171571315
PF02445	65463	88	5	65556	0.998581365550064
PF14100	65192	47	14	65253	0.999065177079981
PF00274	64815	43	10	64868	0.999182956157119
PF00135	63980	211	167	64358	0.9941266043071568
PF06508	62042	921	1173	64136	0.9673506299114382
PF00926	63469	230	31	63730	0.9959045975207909
PF00262	62914	0	9	62923	0.9998569680403032
PF00343	62595	257	11	62863	0.995736760892735
PF02401	62564	227	25	62816	0.9959882832399388
PF00389	61810	804	74	62688	0.9859941296579887
PF02867	60749	1636	137	62522	0.9716419820223281
PF02347	61963	282	201	62446	0.9922653172340903
PF00330	61360	405	10	61775	0.9932820720356131
PF13640	60014	1424	182	61620	0.9739370334307044
PF00625	60342	480	450	61272	0.9848217783000391
PF04131	60249	35	634	60918	0.9890180242292919
PF01116	59552	287	28	59867	0.9947383366462325
PF00406	57847	384	577	58808	0.9836586858930758
PF00941	58117	109	11	58237	0.9979394542988135
PF00749	57615	526	59	58200	0.9899484536082475
PF00485	54201	381	3198	57780	0.9380581516095535
PF00034	53997	2077	833	56907	0.9488639358954083
PF03332	56589	53	20	56662	0.9987116586071794
PF02543	54697	380	8	55085	0.9929563402015068
PF06213	52478	63	54	52595	0.9977754539404886
PF01717	51884	96	19	51999	0.9977884190080578
PF11775	51194	176	176	51546	0.9931711481007256
PF03328	50200	295	204	50699	0.990157596796781
PF02522	50575	36	21	50632	0.9988742297361353
PF00701	49495	559	41	50095	0.9880227567621519
PF05138	49384	149	19	49552	0.9966096222150468
PF05935	49242	79	30	49351	0.9977913314826448
PF01786	48968	13	12	48993	0.9994897230216562
PF00141	48783	74	10	48867	0.9982810485603781
PF01148	48193	266	24	48483	0.9940185219561496
PF00834	47910	347	182	48439	0.9890790478746465
PF13532	48161	130	36	48327	0.9965650671467295
PF04896	48014	24	17	48055	0.9991468109457913
PF01227	46792	872	67	47731	0.98032725063376
PF05045	47301	65	3	47369	0.998564461989909
PF01832	46459	718	176	47353	0.9811205203471797
PF04107	46931	49	18	46998	0.9985744074215924
PF02507	45675	6	32	45713	0.9991687266204362
PF13714	45291	136	258	45685	0.9913757250738755
PF00977	44008	736	867	45611	0.9648549691960273
PF02826	40824	1554	2762	45140	0.9043863535666814
PF10014	44821	20	31	44872	0.9988634337671599
PF03721	41629	1088	1762	44479	0.9359248184536523
PF09037	44163	10	60	44233	0.9984174711188479
PF00120	43620	504	16	44140	0.9882193022202084
PF02649	43735	86	24	43845	0.997491162048124
PF09778	43643	0	103	43746	0.997645499017053
PF02274	42898	55	48	43001	0.9976047068672822
PF02531	42860	4	11	42875	0.9996501457725947
PF01073	36021	5406	1206	42633	0.8449088734079234
PF00733	40971	440	882	42293	0.9687418721774289
PF00676	40649	871	229	41749	0.9736520635224796
PF09290	41383	35	27	41445	0.9985040415007842
PF00384	40655	324	31	41010	0.9913435747378688
PF07969	40507	1	29	40537	0.9992599353676888
PF00208	39247	307	619	40173	0.9769496925795933
PF13561	34257	4249	326	38832	0.8821847960444994
PF03016	38292	97	181	38570	0.9927923256416904
PF00108	36684	873	904	38461	0.9537973531629442
PF04358	37557	73	105	37735	0.9952828938651119
PF00479	37419	144	26	37589	0.9954774003032802
PF13469	36718	654	190	37562	0.977530482934881
PF13759	36240	652	638	37530	0.9656274980015987
PF00124	37438	71	12	37521	0.9977879054396205
PF01596	36001	492	891	37384	0.9630055638775947
PF00109	35572	1378	312	37262	0.9546454833342279
PF00171	36137	1038	34	37209	0.971189765916848
PF02633	37079	97	33	37209	0.9965062216130506
PF00742	36787	253	33	37073	0.9922854907884444
PF01619	36916	76	12	37004	0.9976218787158145
PF04095	36531	299	15	36845	0.9914778124575926
PF02882	34871	567	486	35924	0.9706881193630998
PF02397	35077	664	8	35749	0.9812022713922067
PF02666	35107	272	22	35401	0.9916951498545239
PF02737	31145	662	3376	35183	0.885228661569508
PF04321	26395	6512	2268	35175	0.7503909026297086
PF04362	34918	51	49	35018	0.9971443257753155
PF13631	34909	88	9	35006	0.9972290464491801
PF06206	34921	29	3	34953	0.9990844848796956
PF02423	34487	96	160	34743	0.9926316092450278
PF01370	23357	9996	1236	34589	0.6752724854722599
PF04800	33896	13	100	34009	0.9966773501132054
PF00289	33676	299	29	34004	0.9903540759910598
PF00933	33266	700	4	33970	0.9792758316161319
PF06339	33602	48	104	33754	0.9954968300053327
PF01637	28667	148	4904	33719	0.8501734926895815
PF10396	33317	276	36	33629	0.9907222932587945
PF02502	33172	344	49	33565	0.9882913749441382
PF14819	33085	117	193	33395	0.9907171732295253
PF00685	32555	594	198	33347	0.9762497376075809
PF00491	33033	252	17	33302	0.9919224070626389
PF03567	32811	183	133	33127	0.9904609533009328
PF13091	32454	606	65	33125	0.979743396226415
PF01050	31460	597	742	32799	0.9591755846214823
PF00101	32657	21	24	32702	0.9986239373738609
PF00494	32475	194	20	32689	0.9934534552907706
PF05013	32517	63	24	32604	0.9973316157526684
PF02585	31763	508	43	32314	0.9829485671845021
PF01923	31695	239	40	31974	0.9912741602552073
PF00150	31469	319	149	31937	0.9853461502332718
PF02541	31326	271	183	31780	0.9857142857142858
PF13661	31020	218	119	31357	0.989252798418216
PF00719	30830	196	58	31084	0.9918285934886115
PF00487	30055	653	62	30770	0.9767630809229769
PF00255	29793	244	529	30566	0.9747104626055094
PF00044	29797	344	351	30492	0.9772071362980453
PF00348	29303	504	24	29831	0.9823002916429218
PF01761	29332	375	113	29820	0.9836351441985245
PF00301	29014	263	456	29733	0.9758181145528537
PF05996	29612	90	7	29709	0.9967349961291191
PF00155	27100	2355	164	29619	0.9149532394746616
PF02668	29188	157	25	29370	0.9938032005447736
PF01597	28547	304	394	29245	0.976132672251667
PF01791	28812	240	98	29150	0.9884048027444254
PF01118	27835	458	719	29012	0.9594305804494692
PF00504	28696	0	181	28877	0.993732035876303
PF00032	28689	72	9	28770	0.99718456725756
PF00596	28255	500	14	28769	0.9821335465257742
PF01762	28557	59	55	28671	0.9960238568588469
PF02787	28282	210	121	28613	0.9884318316848985
PF06967	28523	7	8	28538	0.9994743850304857
PF00116	28305	172	20	28497	0.9932624486788083
PF01182	28078	275	22	28375	0.9895330396475771
PF02729	27455	740	18	28213	0.9731329528940559
PF00378	27793	278	101	28172	0.9865469260258413
