Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_nonviral_region	nonviral_region_pos
vRhyme_bin_11__LABRr1A1B1C_000000080164_12	vRhyme_bin_11__LABRr1A1B1C_000000080164	LABRr1A1B1C_vRhyme_bin_11	cas2; CRISPR-associated protein Cas2	K09951	HMMsoil94024	PF00929.32				phrog_192	29.550898	57.985306	37.852184				80.618256	0.5206896551724138	0.9811320754716981	0.9878048780487805				0.5667506297229219	0.8	10.0	10.0	1521.0	1296.0	NaN	NaN	high	cas2; CRISPR-associated protein Cas2	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]; dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	Exonuclease				DNA polymerase exonuclease subunit	phrog_192	DNA polymerase exonuclease subunit	PHROG	false		false		true	false	
vRhyme_bin_11__LABRr1A1B1C_000000110784_13	vRhyme_bin_11__LABRr1A1B1C_000000110784	LABRr1A1B1C_vRhyme_bin_11	anti-restriction protein			PF18818.8				phrog_7245			114.330437				235.537094			0.8492063492063492				0.9567901234567902		10.0	10.0	3000.0	NaN	NaN	NaN	high			Zincin-like metallopeptidase				anti-restriction protein	phrog_7245	anti-restriction protein	PHROG	false		false		true	false	
vRhyme_bin_12__LABRr1A1B1C_000000105372_6	vRhyme_bin_12__LABRr1A1B1C_000000105372	LABRr1A1B1C_vRhyme_bin_12	CRISPR/Cas system associated							phrog_1706							41.882183							0.46757679180887374				NaN	NaN	NaN	285.0	medium							CRISPR/Cas system associated	phrog_1706	CRISPR/Cas system associated	PHROG	false		false		false	true	
vRhyme_bin_12__LABRr1A1B1C_000000124220_14	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	RelE-like toxin of type II toxin-antitoxin system HigB	K07334		PF05015.19				phrog_3066	71.666626		32.679661				54.301853	0.36259541984732824		0.8351648351648352				0.8829787234042553	10.0	4.7	4.17	1404.0	306.0	NaN	NaN	medium	higB-1; toxin HigB-1		RelE-like toxin of type II toxin-antitoxin system HigB				toxin of TA system	K07334	higB-1; toxin HigB-1	KEGG	false		false		true	false	
vRhyme_bin_11__MGr3G3H3I_000000213947_5	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	cspA; cold shock protein	K03704		PF00313.29					109.415161		99.704941					0.34594594594594597		0.9696969696969697					10.0	10.0		3768.0	711.0	NaN	NaN	high	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000040067_31	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	Stress-induced bacterial acidophilic repeat motif	K06884		PF10685.15					33.195919		50.580555					0.3108108108108108		0.8181818181818182					2.47	2.31		NaN	NaN	NaN	NaN	high	K06884; uncharacterized protein		Stress-induced bacterial acidophilic repeat motif					PF10685	Stress-induced bacterial acidophilic repeat motif	Pfam	false		false		false	true	
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_1	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	Thoeris anti-defense 2-like domain			PF11195.15				phrog_1048			64.883835				72.650467			0.958904109589041				0.3886255924170616		10.0	10.0	NaN	2961.0	822.0	15303.0	high			Thoeris anti-defense 2-like domain				""	phrog_1048	""	PHROG	false		false		true	false	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_1	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	AcrB/AcrD/AcrF family			PF00873.26				phrog_7301			490.803375				325.744843			0.4015670910871694				0.39420289855072466		0.95	0.77	NaN	3852.0	NaN	NaN	low			AcrB/AcrD/AcrF family				""	PF00873	AcrB/AcrD/AcrF family	Pfam	false		false		false	true	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_5	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system	K19166		PF09907.16				phrog_5734	118.754936		83.465561				86.716972	0.6203208556149733		0.972972972972973				0.9484536082474226	2.23	2.23	2.09	NaN	375.0	NaN	NaN	low	higB; mRNA interferase HigB [EC:3.1.-.-]		HigB_toxin, RelE-like toxic component of a toxin-antitoxin system				""	K19166	higB; mRNA interferase HigB [EC:3.1.-.-]	KEGG	false		false		false	true	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_25	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	cspA; cold shock protein	K03704		PF00313.29					151.919586		108.825539					0.3891891891891892		0.9696969696969697					10.0	10.0		6732.0	NaN	NaN	NaN	low	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		true	false	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_3	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	anti-restriction protein			PF18818.8				phrog_7245			164.651077				177.518585			0.9841269841269841				0.5648148148148148		10.0	10.0	NaN	1617.0	NaN	NaN	high			Zincin-like metallopeptidase				anti-restriction protein	phrog_7245	anti-restriction protein	PHROG	false		false		true	false	
vRhyme_unbinned_43__MGr3G3H3I_000000145042_1	vRhyme_unbinned_43__MGr3G3H3I_000000145042	vRhyme_unbinned_43__MGr3G3H3I_000000145042	AbiTii			PF18864.7							45.510532							0.5238095238095238						1.46		NaN	3945.0	NaN	NaN	low			AbiTii					PF18864	AbiTii	Pfam	false		false		false	true	
vRhyme_unbinned_43__MGr3G3H3I_000000145042_3	vRhyme_unbinned_43__MGr3G3H3I_000000145042	vRhyme_unbinned_43__MGr3G3H3I_000000145042	Antitoxin Phd_YefM, type II toxin-antitoxin system	K19165		PF02604.27					36.298061		36.298485					0.4421052631578947		0.5135135135135135					2.9	5.82		NaN	183.0	NaN	NaN	low	phd; antitoxin Phd		Antitoxin Phd_YefM, type II toxin-antitoxin system					PF02604	Antitoxin Phd_YefM, type II toxin-antitoxin system	Pfam	false		false		false	true	
vRhyme_unbinned_43__MGr3G3H3I_000000145042_20	vRhyme_unbinned_43__MGr3G3H3I_000000145042	vRhyme_unbinned_43__MGr3G3H3I_000000145042	BstA abortive infection system, replication inhibitor			PF26567.1				phrog_6287			129.580429				205.295349			0.9915966386554622				0.9407894736842105				1713.0	NaN	NaN	NaN	medium			BstA C-terminal domain				BstA abortive infection system, replication inhibitor	phrog_6287	BstA abortive infection system, replication inhibitor	PHROG	false		false		false	true	
vRhyme_unbinned_60__MGr3G3H3I_000000180455_4	vRhyme_unbinned_60__MGr3G3H3I_000000180455	vRhyme_unbinned_60__MGr3G3H3I_000000180455	anti-restriction protein			PF08401.17				phrog_7245			48.649853				67.727516			0.7154471544715447				0.7314814814814815		10.0	10.0	NaN	NaN	3444.0	NaN	high			N-terminal domain of anti-restriction factor ArdC				anti-restriction protein	phrog_7245	anti-restriction protein	PHROG	false		false		true	false	
vRhyme_unbinned_60__MGr3G3H3I_000000180455_7	vRhyme_unbinned_60__MGr3G3H3I_000000180455	vRhyme_unbinned_60__MGr3G3H3I_000000180455	Abortive infection alpha			PF14337.14							51.371559							0.9128205128205128						4.9		1464.0	NaN	5187.0	NaN	medium			Abortive infection alpha					PF14337	Abortive infection alpha	Pfam	false		false		true	false	
vRhyme_unbinned_63__MGr3G3H3I_000000188717_24	vRhyme_unbinned_63__MGr3G3H3I_000000188717	vRhyme_unbinned_63__MGr3G3H3I_000000188717	Stress-induced bacterial acidophilic repeat motif	K06884		PF10685.15					45.151142		47.496494					0.35135135135135137		1.0					2.47	2.31		7350.0	NaN	1512.0	NaN	medium	K06884; uncharacterized protein		Stress-induced bacterial acidophilic repeat motif					PF10685	Stress-induced bacterial acidophilic repeat motif	Pfam	false		false		false	true	
vRhyme_unbinned_78__MGr3G3H3I_000000231783_12	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	cspA; cold shock protein	K03704		PF00313.29					77.466614		61.343327					0.3567567567567568		0.9848484848484849					10.0	10.0		NaN	3768.0	NaN	NaN	high	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		true	false	
vRhyme_unbinned_78__MGr3G3H3I_000000231783_20	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	Virulence-associated protein E-like domain			PF05272.18				phrog_256			174.297516				207.151245			0.9631336405529954				0.39974937343358397		10.0	10.0	NaN	NaN	NaN	8553.0	medium			Virulence-associated protein E-like domain				DNA helicase	phrog_256	DNA helicase	PHROG	false		false		true	false	
vRhyme_unbinned_9__MGr3G3H3I_000000020590_15	vRhyme_unbinned_9__MGr3G3H3I_000000020590	vRhyme_unbinned_9__MGr3G3H3I_000000020590	Antitoxin Phd_YefM, type II toxin-antitoxin system	K28297		PF02604.27					45.225075		34.104786					0.7049180327868853		0.581081081081081						5.82		NaN	NaN	7176.0	NaN	low	relB_F; antitoxin RelB/F		Antitoxin Phd_YefM, type II toxin-antitoxin system					K28297	relB_F; antitoxin RelB/F	KEGG	false		false		false	true	
